dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 20:48:06,Bing,Carnegie Mellon University,0,0,7,46,46,95,146,146,287,287,391
2023-12-05 20:48:06,Amazon,Carnegie Mellon University,0,1,5,76,77,144,220,220,319,319,327
2023-12-05 20:48:10,Youtube,Carnegie Mellon University,0,0,1,141,142,253,533,533,706,706,713
2023-12-05 20:48:15,Bing,Airbnb,0,0,10,11,11,103,195,196,407,407,442
2023-12-05 20:48:15,Amazon,Airbnb,0,4,9,12,12,81,162,162,250,250,259
2023-12-05 20:48:19,Youtube,Airbnb,0,0,0,3,4,57,505,506,618,618,627
2023-12-05 20:48:24,Bing,Facebook,0,0,12,52,52,94,155,155,258,258,282
2023-12-05 20:48:29,Youtube,Facebook,0,0,2,4,5,54,293,294,437,437,447
2023-12-05 20:48:34,Bing,Youtube,0,0,7,7,7,47,120,120,303,303,388
2023-12-05 20:48:34,Amazon,Youtube,0,0,6,8,8,68,141,142,235,236,244
2023-12-05 20:48:38,Youtube,Youtube,0,1,2,5,5,60,358,358,477,477,486
2023-12-05 20:48:43,Bing,cirtic,0,0,7,77,78,112,169,170,282,282,307
2023-12-05 20:48:51,Bing,when would there be,0,0,9,9,9,46,105,105,257,257,274
2023-12-05 20:48:52,Amazon,when would there be,0,1,3,5,5,81,153,153,240,241,248
2023-12-05 20:48:55,Youtube,when would there be,0,0,1,2,3,71,323,324,434,434,441
2023-12-05 20:49:00,Bing,search the map for new,0,0,10,10,11,108,239,239,402,402,439
2023-12-05 20:49:00,Amazon,search the map for new,0,1,3,57,57,123,188,188,268,268,279
2023-12-05 20:49:04,Youtube,search the map for new,0,0,2,5,6,59,332,333,435,435,447
2023-12-05 20:49:09,Bing,suggestions on finals,0,0,8,75,76,124,191,191,384,384,410
2023-12-05 20:49:18,Bing,start,0,0,10,86,86,143,208,208,380,380,404
2023-12-05 20:49:22,Youtube,start,0,0,1,4,4,72,297,298,399,399,408
2023-12-05 20:49:26,Bing,ending,0,0,9,9,9,46,123,124,282,282,301
2023-12-05 20:49:27,Amazon,ending,0,1,3,4,5,54,100,100,207,207,217
2023-12-05 20:49:30,Youtube,ending,0,0,2,4,4,66,352,352,451,451,459
2023-12-05 20:49:35,Bing,safety,0,0,8,8,9,55,118,118,218,218,259
2023-12-05 20:49:35,Amazon,safety,0,1,4,55,56,113,171,171,237,237,245
2023-12-05 20:49:39,Youtube,safety,0,0,2,41,42,106,400,400,515,515,528
2023-12-05 20:49:43,Bing,data,0,0,8,8,8,66,132,133,254,254,272
2023-12-05 20:49:44,Amazon,data,0,1,3,4,5,59,133,133,207,207,215
2023-12-05 20:49:48,Youtube,data,0,0,1,3,3,73,323,323,468,468,484
