dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 22:18:20,222,380,555,778,158,65,Bing,Carnegie Mellon University
2023-12-04 22:18:24,324,495,675,1026,171,180,Amazon,Carnegie Mellon University
2023-12-04 22:18:29,191,346,732,935,155,48,Youtube,Carnegie Mellon University
2023-12-04 22:18:34,14,171,429,656,157,70,Bing,Airbnb
2023-12-04 22:18:38,3,170,342,691,167,182,Amazon,Airbnb
2023-12-04 22:18:43,49,205,589,783,156,38,Youtube,Airbnb
2023-12-04 22:18:47,7,166,337,590,159,94,Bing,Facebook
2023-12-04 22:18:50,14,177,351,685,163,171,Amazon,Facebook
2023-12-04 22:18:55,43,202,743,949,159,47,Youtube,Facebook
2023-12-04 22:19:00,6,172,345,573,166,62,Bing,Youtube
2023-12-04 22:19:03,5,170,343,696,165,188,Amazon,Youtube
2023-12-04 22:19:07,48,202,774,975,154,47,Youtube,Youtube
2023-12-04 22:19:12,7,165,337,563,158,68,Bing,cirtic
2023-12-04 22:19:15,7,172,343,681,165,173,Amazon,cirtic
2023-12-04 22:19:20,177,341,888,1117,164,65,Youtube,cirtic
2023-12-04 22:19:25,162,319,499,734,157,78,Bing,when would there be
2023-12-04 22:19:28,10,172,348,685,162,175,Amazon,when would there be
2023-12-04 22:19:35,39,204,759,954,165,30,Youtube,when would there be
2023-12-04 22:19:40,349,512,692,921,163,66,Bing,search the map for new
2023-12-04 22:19:45,257,422,675,1010,165,170,Amazon,search the map for new
2023-12-04 22:19:52,38,223,1129,1352,185,38,Youtube,search the map for new
2023-12-04 22:19:56,7,163,334,562,156,72,Bing,suggestions on finals
2023-12-04 22:20:00,8,173,345,686,165,176,Amazon,suggestions on finals
2023-12-04 22:20:13,450,660,878,1254,210,166,Bing,start
2023-12-04 22:20:18,5,262,506,1105,257,342,Amazon,start
2023-12-04 22:20:22,56,56,1178,1373,0,195,Youtube,start
2023-12-04 22:20:27,6,162,335,564,156,73,Bing,ending
2023-12-04 22:20:30,8,171,345,688,163,180,Amazon,ending
2023-12-04 22:20:38,50,210,958,1171,160,53,Youtube,ending
2023-12-04 22:20:48,6,235,410,748,229,109,Amazon,safety
2023-12-04 22:21:00,332,491,657,874,159,58,Bing,data
2023-12-04 22:21:06,427,589,824,1178,162,192,Amazon,data
2023-12-04 22:21:11,56,298,771,1181,242,168,Youtube,data
2023-12-04 22:21:16,6,163,549,765,157,59,Bing,DDIO
2023-12-04 22:21:19,9,174,345,976,165,466,Amazon,DDIO
2023-12-04 22:21:26,47,204,1055,1292,157,80,Youtube,DDIO
2023-12-04 22:21:32,251,410,761,975,159,55,Bing,MSFG
2023-12-04 22:21:35,5,172,350,679,167,162,Amazon,MSFG
2023-12-04 22:21:46,9,164,334,558,155,69,Bing,HOA
2023-12-04 22:21:49,7,169,341,676,162,173,Amazon,HOA
2023-12-04 22:21:53,51,208,752,954,157,45,Youtube,HOA
2023-12-04 22:21:58,7,166,336,558,159,63,Bing,FAFR
2023-12-04 22:22:01,6,166,338,675,160,177,Amazon,FAFR
2023-12-04 22:22:06,40,198,781,976,158,37,Youtube,FAFR
2023-12-04 22:22:11,7,160,333,550,153,64,Bing,WieSOichDichEmpfangen
2023-12-04 22:22:14,5,166,341,671,161,169,Amazon,WieSOichDichEmpfangen
2023-12-04 22:22:21,38,195,727,928,157,44,Youtube,WieSOichDichEmpfangen
2023-12-04 22:22:25,265,427,690,919,162,67,Bing,sagmichbitte
2023-12-04 22:22:29,217,382,566,1017,165,286,Amazon,sagmichbitte
2023-12-04 22:22:45,4,390,772,1282,386,124,Amazon,ilAuraitSuffi
2023-12-04 22:22:51,26,186,985,1186,160,41,Youtube,ilAuraitSuffi
2023-12-04 22:23:06,162,319,499,736,157,80,Bing,Carnegie Mellon University
2023-12-04 22:23:10,4,168,340,679,164,175,Amazon,Carnegie Mellon University
2023-12-04 22:23:15,58,225,605,801,167,29,Youtube,Carnegie Mellon University
2023-12-04 22:23:20,7,168,345,578,161,72,Bing,Airbnb
2023-12-04 22:23:23,6,173,342,671,167,162,Amazon,Airbnb
2023-12-04 22:23:27,43,200,576,780,157,47,Youtube,Airbnb
2023-12-04 22:23:32,7,161,339,562,154,69,Bing,Facebook
2023-12-04 22:23:35,10,173,344,673,163,166,Amazon,Facebook
2023-12-04 22:23:39,41,197,731,932,156,45,Youtube,Facebook
2023-12-04 22:23:44,257,413,584,809,156,69,Bing,Youtube
2023-12-04 22:23:47,215,376,545,871,161,165,Amazon,Youtube
2023-12-04 22:23:51,51,208,583,787,157,47,Youtube,Youtube
2023-12-04 22:23:56,6,200,388,649,194,67,Bing,cirtic
2023-12-04 22:23:59,6,210,384,752,204,164,Amazon,cirtic
2023-12-04 22:24:04,44,243,1057,1274,199,18,Youtube,cirtic
2023-12-04 22:24:08,7,170,347,583,163,73,Bing,when would there be
2023-12-04 22:24:11,6,167,336,668,161,171,Amazon,when would there be
2023-12-04 22:24:16,47,209,744,952,162,46,Youtube,when would there be
2023-12-04 22:24:21,142,297,470,998,155,373,Bing,search the map for new
2023-12-04 22:24:26,5,5,920,1463,0,543,Amazon,search the map for new
2023-12-04 22:24:33,42,222,929,1126,180,17,Youtube,search the map for new
2023-12-04 22:24:37,223,382,557,880,159,164,Bing,suggestions on finals
2023-12-04 22:24:41,13,276,478,822,263,81,Amazon,suggestions on finals
2023-12-04 22:24:46,47,205,971,1223,158,94,Youtube,suggestions on finals
2023-12-04 22:24:50,6,165,337,583,159,87,Bing,start
2023-12-04 22:24:53,6,167,336,664,161,167,Amazon,start
2023-12-04 22:24:58,44,201,788,999,157,54,Youtube,start
2023-12-04 22:25:02,264,420,596,815,156,63,Bing,ending
