dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:26:59,Bing,Carnegie Mellon University,0,0,6,121,121,203,304,304,468,468,545
2023-12-05 21:27:01,Amazon,Carnegie Mellon University,0,1,6,159,160,343,545,545,868,868,883
2023-12-05 21:27:06,Youtube,Carnegie Mellon University,0,0,1,169,170,333,1251,1251,1427,1427,1467
2023-12-05 21:27:11,Bing,Airbnb,0,0,7,7,7,93,194,194,348,348,380
2023-12-05 21:27:12,Amazon,Airbnb,0,1,6,7,7,105,203,203,375,375,383
2023-12-05 21:27:16,Youtube,Airbnb,0,0,1,3,3,147,476,476,642,642,652
2023-12-05 21:27:21,Bing,Facebook,0,0,9,83,83,169,271,271,487,487,537
2023-12-05 21:27:22,Amazon,Facebook,0,1,12,143,144,230,324,324,509,509,518
2023-12-05 21:27:25,Youtube,Facebook,0,0,1,3,4,83,427,428,589,589,598
2023-12-05 21:27:30,Bing,Youtube,0,0,8,8,8,160,349,350,615,615,649
2023-12-05 21:27:31,Amazon,Youtube,0,1,5,6,6,88,198,199,370,371,380
2023-12-05 21:27:37,Youtube,Youtube,0,0,1,3,3,80,411,411,752,752,761
2023-12-05 21:27:42,Bing,cirtic,0,0,7,7,8,102,219,220,435,435,548
2023-12-05 21:27:43,Amazon,cirtic,0,1,5,6,7,83,194,194,371,371,387
2023-12-05 21:27:47,Youtube,cirtic,0,0,1,3,3,88,466,466,657,657,668
2023-12-05 21:27:52,Bing,when would there be,0,0,7,91,92,176,318,318,526,526,564
2023-12-05 21:27:53,Amazon,when would there be,0,1,4,5,6,105,519,520,699,699,709
2023-12-05 21:27:57,Youtube,when would there be,0,0,1,3,3,141,491,491,652,652,661
2023-12-05 21:28:02,Bing,search the map for new,0,0,8,8,8,89,210,210,892,892,1178
2023-12-05 21:28:04,Amazon,search the map for new,0,0,7,8,8,91,199,199,400,400,410
2023-12-05 21:28:10,Youtube,search the map for new,0,0,2,4,5,97,592,594,913,913,926
2023-12-05 21:28:15,Bing,suggestions on finals,0,0,7,7,8,98,205,206,384,384,430
2023-12-05 21:28:16,Amazon,suggestions on finals,0,1,5,7,8,82,174,174,360,360,369
2023-12-05 21:28:19,Youtube,suggestions on finals,0,0,1,5,5,130,570,571,725,725,734
2023-12-05 21:28:25,Bing,start,0,0,10,86,86,168,269,269,592,592,617
2023-12-05 21:28:26,Amazon,start,0,1,4,5,6,90,188,188,371,371,396
2023-12-05 21:28:29,Youtube,start,0,0,0,3,3,100,435,436,595,595,606
2023-12-05 21:28:34,Bing,ending,0,0,7,141,141,230,327,328,517,517,566
2023-12-05 21:28:37,Amazon,ending,0,0,3,4,5,85,179,179,407,407,416
2023-12-05 21:28:41,Youtube,ending,0,39,41,44,45,133,440,441,593,593,607
2023-12-05 21:28:46,Bing,safety,0,0,6,6,6,107,206,207,377,377,409
2023-12-05 21:28:47,Amazon,safety,0,2,4,95,95,181,275,275,445,445,454
2023-12-05 21:28:52,Youtube,safety,0,0,1,3,3,82,417,417,562,562,578
2023-12-05 21:28:57,Bing,data,0,0,16,16,17,146,403,403,609,609,666
2023-12-05 21:28:58,Amazon,data,0,1,3,5,6,96,219,219,388,388,396
2023-12-05 21:29:07,Bing,DDIO,0,0,6,7,8,92,195,195,386,386,422
2023-12-05 21:29:08,Amazon,DDIO,0,1,3,4,5,103,192,193,357,357,366
2023-12-05 21:29:12,Youtube,DDIO,0,0,1,3,3,136,481,481,660,660,687
2023-12-05 21:29:17,Bing,MSFG,0,0,8,8,8,99,199,199,390,390,457
2023-12-05 21:29:18,Amazon,MSFG,0,1,6,7,9,92,186,186,372,372,381
2023-12-05 21:29:24,Youtube,MSFG,0,0,1,2,3,82,407,407,561,561,575
2023-12-05 21:29:28,Bing,HOA,0,0,8,90,90,173,271,271,429,429,461
2023-12-05 21:29:29,Amazon,HOA,0,1,5,92,92,172,258,258,421,422,431
2023-12-05 21:29:33,Youtube,HOA,0,0,1,3,4,113,443,443,584,584,594
2023-12-05 21:29:38,Bing,FAFR,0,0,7,7,7,90,323,328,731,731,849
2023-12-05 21:29:39,Amazon,FAFR,0,1,7,8,8,105,204,205,368,368,377
2023-12-05 21:29:45,Youtube,FAFR,0,0,1,3,3,82,467,467,625,625,634
