dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 02:22:09,Bing,Carnegie Mellon University,0,0,2,38,39,78,136,136,218,292,364
2023-12-06 02:22:11,Amazon,Carnegie Mellon University,0,1,12,98,99,253,414,415,698,699,706
2023-12-06 02:22:14,Youtube,Carnegie Mellon University,0,0,1,37,38,122,427,427,546,546,564
2023-12-06 02:22:18,Bing,Airbnb,0,0,1,5,6,47,103,103,192,261,331
2023-12-06 02:22:20,Amazon,Airbnb,0,1,9,10,11,164,326,326,609,609,624
2023-12-06 02:22:22,Youtube,Airbnb,0,0,1,3,3,88,358,358,493,493,506
2023-12-06 02:22:26,Bing,Facebook,0,0,2,7,8,51,114,114,203,267,221
2023-12-06 02:22:27,Amazon,Facebook,0,0,13,13,14,167,334,335,953,960,966
2023-12-06 02:22:30,Youtube,Facebook,0,0,1,3,3,89,350,350,464,464,473
2023-12-06 02:22:35,Bing,Youtube,0,0,2,49,49,99,157,157,242,315,264
2023-12-06 02:22:36,Amazon,Youtube,0,1,12,13,14,167,329,329,608,608,616
2023-12-06 02:22:39,Youtube,Youtube,0,0,1,3,4,86,345,346,466,466,479
2023-12-06 02:22:44,Bing,cirtic,0,0,1,7,7,281,488,488,640,758,770
2023-12-06 02:22:48,Youtube,cirtic,0,0,0,2,3,84,349,349,452,452,465
2023-12-06 02:22:52,Bing,when would there be,0,0,1,7,8,57,118,119,209,319,229
2023-12-06 02:22:54,Amazon,when would there be,0,1,12,13,13,169,334,334,613,613,622
2023-12-06 02:22:57,Youtube,when would there be,0,0,2,4,4,88,345,345,459,459,475
2023-12-06 02:23:01,Bing,search the map for new,0,0,2,6,7,51,111,111,229,282,247
2023-12-06 02:23:02,Amazon,search the map for new,0,1,11,13,13,168,331,332,610,611,617
2023-12-06 02:23:05,Youtube,search the map for new,0,0,1,3,3,88,361,361,473,473,490
2023-12-06 02:23:10,Bing,suggestions on finals,0,0,2,8,10,50,105,105,193,238,316
2023-12-06 02:23:11,Amazon,suggestions on finals,0,1,8,9,10,161,327,328,603,605,612
2023-12-06 02:23:14,Youtube,suggestions on finals,0,0,1,3,3,88,373,373,487,487,500
2023-12-06 02:23:19,Bing,start,0,0,2,6,8,51,113,114,200,270,311
2023-12-06 02:23:20,Amazon,start,0,1,10,11,12,166,328,329,608,613,618
2023-12-06 02:23:23,Youtube,start,0,0,1,2,3,89,338,338,454,454,462
2023-12-06 02:23:28,Bing,ending,0,0,2,178,179,220,274,275,369,452,388
2023-12-06 02:23:29,Amazon,ending,0,1,13,98,99,255,418,418,697,697,708
2023-12-06 02:23:32,Youtube,ending,0,0,1,3,3,85,351,351,467,467,475
2023-12-06 02:23:36,Bing,safety,0,0,1,6,7,51,108,108,204,275,224
2023-12-06 02:23:37,Amazon,safety,0,1,13,13,14,168,334,335,614,614,624
2023-12-06 02:23:40,Youtube,safety,0,0,0,2,4,90,356,356,472,472,483
2023-12-06 02:23:44,Bing,data,0,0,2,6,7,50,110,110,216,282,240
2023-12-06 02:23:45,Amazon,data,0,0,13,14,15,170,336,337,613,616,622
2023-12-06 02:23:48,Youtube,data,0,0,2,4,4,86,353,353,466,466,477
2023-12-06 02:23:52,Bing,DDIO,0,0,2,6,7,51,116,116,208,256,234
2023-12-06 02:23:53,Amazon,DDIO,0,1,9,10,10,165,329,330,611,611,619
2023-12-06 02:23:56,Youtube,DDIO,0,0,1,3,3,84,348,348,450,450,461
2023-12-06 02:24:00,Bing,MSFG,0,0,2,121,121,167,233,233,349,397,371
2023-12-06 02:24:01,Amazon,MSFG,0,1,12,13,14,166,330,331,609,610,618
2023-12-06 02:24:04,Youtube,MSFG,0,0,1,3,3,86,350,350,468,468,481
2023-12-06 02:24:09,Bing,HOA,0,0,2,7,7,53,116,117,257,303,279
2023-12-06 02:24:10,Amazon,HOA,0,1,11,12,12,162,323,323,600,600,610
2023-12-06 02:24:13,Youtube,HOA,0,0,2,5,5,91,354,354,493,493,502
2023-12-06 02:24:17,Bing,FAFR,0,0,2,8,9,54,112,113,214,269,232
2023-12-06 02:24:18,Amazon,FAFR,0,0,10,12,12,166,334,334,614,617,623
2023-12-06 02:24:21,Youtube,FAFR,0,0,1,3,3,90,341,342,447,447,460
2023-12-06 02:24:25,Bing,WieSOichDichEmpfangen,0,0,1,4,5,50,111,112,207,253,230
2023-12-06 02:24:27,Amazon,WieSOichDichEmpfangen,0,0,12,13,14,176,340,341,957,958,970
2023-12-06 02:24:30,Youtube,WieSOichDichEmpfangen,0,0,1,3,4,90,353,354,509,509,518
2023-12-06 02:24:34,Bing,sagmichbitte,0,0,1,51,52,98,162,162,256,299,274
2023-12-06 02:24:35,Amazon,sagmichbitte,0,1,9,9,10,162,323,324,598,599,606
2023-12-06 02:24:38,Youtube,sagmichbitte,0,0,0,4,4,86,341,341,458,458,466
2023-12-06 02:24:42,Bing,ilAuraitSuffi,0,0,2,7,8,52,109,110,196,241,218
2023-12-06 02:24:43,Amazon,ilAuraitSuffi,0,0,11,13,13,171,336,336,616,617,625
2023-12-06 02:24:46,Youtube,ilAuraitSuffi,0,0,1,4,4,89,367,368,475,475,487
2023-12-06 02:24:50,Bing,Carnegie Mellon University,0,0,2,78,78,122,176,177,259,332,280
2023-12-06 02:24:52,Amazon,Carnegie Mellon University,0,1,12,48,49,199,359,360,638,638,650
2023-12-06 02:24:55,Youtube,Carnegie Mellon University,0,0,1,2,3,86,358,359,511,511,529
2023-12-06 02:24:59,Bing,Airbnb,0,0,2,7,8,52,110,110,197,244,215
2023-12-06 02:25:00,Amazon,Airbnb,0,1,12,13,13,161,324,324,601,602,609
2023-12-06 02:25:03,Youtube,Airbnb,0,0,1,3,3,84,342,342,468,468,476
2023-12-06 02:25:07,Bing,Facebook,0,0,1,41,41,83,140,141,227,285,246
2023-12-06 02:25:09,Amazon,Facebook,0,1,12,13,14,165,328,328,946,947,958
2023-12-06 02:25:11,Youtube,Facebook,0,0,0,2,3,88,337,337,458,458,468
2023-12-06 02:25:15,Bing,Youtube,0,0,1,6,7,50,109,109,198,264,326
2023-12-06 02:25:17,Amazon,Youtube,0,1,9,11,11,165,327,327,608,609,621
2023-12-06 02:25:20,Youtube,Youtube,0,0,1,3,4,88,338,339,450,450,459
2023-12-06 02:25:24,Bing,cirtic,0,0,6,6,6,50,112,112,204,204,286
2023-12-06 02:25:25,Amazon,cirtic,0,4,6,8,8,159,326,326,602,604,619
2023-12-06 02:25:27,Youtube,cirtic,0,0,1,3,3,87,361,361,481,481,500
2023-12-06 02:25:31,Bing,when would there be,0,0,2,48,48,93,150,150,310,354,327
2023-12-06 02:25:33,Amazon,when would there be,0,1,9,11,11,166,329,330,606,609,616
