dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 02:12:40,Bing,Carnegie Mellon University,0,0,1,42,43,93,157,157,258,343,356
2023-12-06 02:12:51,Bing,Airbnb,0,0,2,7,8,57,125,125,225,294,342
2023-12-06 02:12:52,Amazon,Airbnb,0,1,11,12,12,63,126,127,219,219,231
2023-12-06 02:12:54,Youtube,Airbnb,0,0,1,4,4,65,286,287,400,400,408
2023-12-06 02:12:59,Bing,Facebook,0,0,1,71,71,121,189,190,372,434,406
2023-12-06 02:12:59,Amazon,Facebook,0,0,10,11,11,57,118,119,192,193,201
2023-12-06 02:13:02,Youtube,Facebook,0,0,1,73,73,135,488,488,604,604,617
2023-12-06 02:13:06,Bing,Youtube,0,0,1,8,9,59,129,129,218,333,257
2023-12-06 02:13:07,Amazon,Youtube,0,1,12,13,14,60,117,118,188,191,197
2023-12-06 02:13:09,Youtube,Youtube,0,0,4,6,6,62,289,290,401,401,412
2023-12-06 02:13:13,Bing,cirtic,0,0,1,5,7,55,119,119,216,284,237
2023-12-06 02:13:14,Amazon,cirtic,0,1,8,9,10,57,112,112,185,185,193
2023-12-06 02:13:17,Youtube,cirtic,0,0,4,5,5,62,279,279,395,395,405
2023-12-06 02:13:21,Bing,when would there be,0,0,1,6,6,56,126,126,212,272,242
2023-12-06 02:13:21,Amazon,when would there be,0,1,11,14,14,60,117,118,194,194,203
2023-12-06 02:13:24,Youtube,when would there be,0,0,2,3,3,56,282,282,395,395,404
2023-12-06 02:13:29,Bing,search the map for new,0,0,2,42,43,91,161,161,245,302,310
2023-12-06 02:13:29,Amazon,search the map for new,0,0,12,13,13,64,121,122,196,196,208
2023-12-06 02:13:32,Youtube,search the map for new,0,0,0,2,2,57,286,287,404,404,421
2023-12-06 02:13:36,Bing,suggestions on finals,0,0,2,7,9,60,124,124,266,319,346
2023-12-06 02:13:37,Amazon,suggestions on finals,0,1,10,12,13,60,118,118,191,191,200
2023-12-06 02:13:40,Youtube,suggestions on finals,0,0,1,3,3,59,281,282,393,393,406
2023-12-06 02:13:44,Bing,start,0,0,1,3,5,51,122,123,218,290,323
2023-12-06 02:13:45,Amazon,start,0,1,11,12,12,60,118,119,190,190,198
2023-12-06 02:13:48,Youtube,start,0,0,1,2,3,56,288,290,682,682,693
2023-12-06 02:13:52,Bing,ending,0,0,1,45,46,94,156,156,248,512,273
2023-12-06 02:13:52,Amazon,ending,0,0,12,13,13,63,120,121,191,192,199
2023-12-06 02:13:55,Youtube,ending,0,0,2,2,3,57,287,287,389,389,399
2023-12-06 02:14:00,Bing,safety,0,0,1,6,6,55,119,119,210,436,340
2023-12-06 02:14:01,Amazon,safety,0,1,16,88,88,137,209,210,279,279,289
2023-12-06 02:14:04,Youtube,safety,0,0,1,3,4,62,305,306,423,423,442
2023-12-06 02:14:08,Bing,data,0,0,2,6,7,55,132,132,279,358,331
2023-12-06 02:14:08,Amazon,data,0,1,12,13,14,60,119,120,191,191,200
2023-12-06 02:14:11,Youtube,data,0,0,1,3,3,62,297,298,418,418,429
2023-12-06 02:14:15,Bing,DDIO,0,0,1,42,43,94,163,163,252,341,282
2023-12-06 02:14:16,Amazon,DDIO,0,0,9,10,10,57,115,116,194,194,204
2023-12-06 02:14:18,Youtube,DDIO,0,0,1,3,3,60,296,297,417,417,429
2023-12-06 02:14:23,Bing,MSFG,0,0,2,45,45,92,155,155,254,307,271
2023-12-06 02:14:23,Amazon,MSFG,0,1,11,12,13,60,121,121,194,195,203
2023-12-06 02:14:26,Youtube,MSFG,0,0,1,3,4,62,288,288,390,390,397
2023-12-06 02:14:30,Bing,HOA,0,0,2,6,7,54,121,121,216,284,374
2023-12-06 02:14:31,Amazon,HOA,0,1,12,13,14,68,128,128,201,201,213
2023-12-06 02:14:34,Youtube,HOA,0,0,1,3,3,59,288,289,398,398,408
2023-12-06 02:14:38,Bing,FAFR,0,0,2,6,7,61,121,121,272,496,310
2023-12-06 02:14:39,Amazon,FAFR,0,1,11,12,12,62,121,121,191,191,199
2023-12-06 02:14:41,Youtube,FAFR,0,0,1,2,2,58,285,285,400,400,412
2023-12-06 02:14:46,Bing,WieSOichDichEmpfangen,0,0,2,49,50,100,165,166,248,304,268
2023-12-06 02:14:46,Amazon,WieSOichDichEmpfangen,0,0,11,13,13,62,119,119,191,191,200
2023-12-06 02:14:49,Youtube,WieSOichDichEmpfangen,0,0,1,3,3,58,273,274,385,385,395
2023-12-06 02:14:53,Bing,sagmichbitte,0,0,1,8,9,57,126,126,213,268,318
2023-12-06 02:14:53,Amazon,sagmichbitte,0,0,12,14,14,59,119,119,195,196,203
2023-12-06 02:14:56,Youtube,sagmichbitte,0,0,1,2,3,62,285,285,396,396,407
2023-12-06 02:15:00,Bing,ilAuraitSuffi,0,0,2,6,8,65,138,138,230,288,334
2023-12-06 02:15:01,Amazon,ilAuraitSuffi,0,0,7,9,9,56,117,118,192,192,200
2023-12-06 02:15:04,Youtube,ilAuraitSuffi,0,0,1,2,3,59,287,287,404,404,415
2023-12-06 02:15:08,Bing,Carnegie Mellon University,0,0,1,7,8,55,122,122,302,381,336
2023-12-06 02:15:08,Amazon,Carnegie Mellon University,0,0,13,14,14,64,124,124,197,197,205
2023-12-06 02:15:11,Youtube,Carnegie Mellon University,0,0,0,2,2,60,289,289,398,398,413
2023-12-06 02:15:15,Bing,Airbnb,0,0,2,7,8,56,119,119,221,375,346
2023-12-06 02:15:16,Amazon,Airbnb,0,1,12,14,14,62,119,120,193,193,200
2023-12-06 02:15:18,Youtube,Airbnb,0,0,1,2,2,58,293,294,422,422,431
2023-12-06 02:15:23,Bing,Facebook,0,0,1,82,83,137,205,205,295,372,331
2023-12-06 02:15:24,Amazon,Facebook,0,1,10,88,88,137,198,199,273,273,284
2023-12-06 02:15:26,Youtube,Facebook,0,0,1,2,3,63,283,283,405,405,413
2023-12-06 02:15:31,Bing,Youtube,0,0,1,6,7,54,121,121,341,412,370
2023-12-06 02:15:31,Amazon,Youtube,0,1,12,14,14,65,126,126,198,199,207
2023-12-06 02:15:33,Youtube,Youtube,0,0,1,3,4,59,302,303,399,399,410
