dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 01:53:57,Bing,Carnegie Mellon University,0,0,1,104,104,147,208,208,293,372,338
2023-12-06 01:53:58,Amazon,Carnegie Mellon University,0,1,12,214,215,274,340,340,431,431,438
2023-12-06 01:54:01,Youtube,Carnegie Mellon University,0,0,1,139,140,209,516,516,644,644,652
2023-12-06 01:54:05,Bing,Airbnb,0,0,1,6,7,47,100,100,188,257,319
2023-12-06 01:54:06,Amazon,Airbnb,0,1,10,11,12,67,132,132,264,264,271
2023-12-06 01:54:08,Youtube,Airbnb,0,0,1,2,2,73,348,348,463,463,477
2023-12-06 01:54:13,Bing,Facebook,0,0,2,47,48,89,154,154,251,317,335
2023-12-06 01:54:13,Amazon,Facebook,0,1,12,14,14,72,138,138,230,230,238
2023-12-06 01:54:16,Youtube,Facebook,0,0,1,3,3,73,346,346,465,465,473
2023-12-06 01:54:21,Bing,Youtube,0,0,1,51,52,109,184,184,285,351,348
2023-12-06 01:54:21,Amazon,Youtube,0,1,13,15,15,73,135,135,227,227,236
2023-12-06 01:54:23,Youtube,Youtube,0,0,1,2,3,73,334,335,458,458,467
2023-12-06 01:54:28,Bing,cirtic,0,0,2,7,8,56,113,113,207,254,334
2023-12-06 01:54:28,Amazon,cirtic,0,1,11,12,13,66,128,129,218,219,229
2023-12-06 01:54:31,Youtube,cirtic,0,0,1,3,3,74,415,415,535,535,552
2023-12-06 01:54:35,Bing,when would there be,0,0,1,4,5,54,118,118,229,272,339
2023-12-06 01:54:36,Amazon,when would there be,0,1,11,12,13,66,132,133,223,223,231
2023-12-06 01:54:39,Youtube,when would there be,0,0,1,3,4,72,345,345,483,483,500
2023-12-06 01:54:43,Bing,search the map for new,0,0,1,3,4,48,112,112,201,272,294
2023-12-06 01:54:43,Amazon,search the map for new,0,0,8,8,9,67,131,131,216,216,223
2023-12-06 01:54:46,Youtube,search the map for new,0,0,2,4,5,82,355,355,472,472,480
2023-12-06 01:54:50,Bing,suggestions on finals,0,0,2,6,7,53,115,115,199,249,220
2023-12-06 01:54:51,Amazon,suggestions on finals,0,0,12,13,13,71,141,143,236,236,245
2023-12-06 01:54:54,Youtube,suggestions on finals,0,0,1,2,3,75,354,354,478,478,487
2023-12-06 01:54:58,Bing,start,0,0,1,5,7,54,111,111,199,271,334
2023-12-06 01:54:58,Amazon,start,0,1,11,11,12,74,154,154,250,250,257
2023-12-06 01:55:01,Youtube,start,0,0,1,2,3,75,362,363,488,488,504
2023-12-06 01:55:06,Bing,ending,0,0,1,199,199,243,302,302,672,714,693
2023-12-06 01:55:06,Amazon,ending,0,0,10,11,11,68,138,138,228,229,236
2023-12-06 01:55:10,Youtube,ending,0,0,1,3,4,81,349,349,478,478,488
2023-12-06 01:55:14,Bing,safety,0,0,2,4,4,47,104,104,207,284,227
2023-12-06 01:55:14,Amazon,safety,0,0,12,14,15,80,158,158,259,259,269
2023-12-06 01:55:17,Youtube,safety,0,0,1,2,2,75,357,358,484,484,498
2023-12-06 01:55:21,Bing,data,0,0,1,6,7,48,103,103,292,382,310
2023-12-06 01:55:22,Amazon,data,0,1,10,94,95,155,221,221,309,309,316
2023-12-06 01:55:25,Youtube,data,0,0,1,3,3,69,338,339,462,462,470
2023-12-06 01:55:29,Bing,DDIO,0,0,1,6,7,51,117,117,211,311,348
2023-12-06 01:55:30,Amazon,DDIO,0,1,9,11,11,65,130,131,221,221,231
2023-12-06 01:55:33,Youtube,DDIO,0,0,1,3,3,79,362,363,491,491,503
2023-12-06 01:55:37,Bing,MSFG,0,0,2,49,50,90,146,146,239,292,329
2023-12-06 01:55:38,Amazon,MSFG,0,1,9,9,10,78,149,149,241,241,249
