dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:38:30,Bing,Carnegie Mellon University,0,0,7,54,54,84,177,177,279,279,291
2023-12-05 21:38:31,Amazon,Carnegie Mellon University,0,1,5,44,44,86,183,183,452,454,460
2023-12-05 21:38:34,Youtube,Carnegie Mellon University,0,0,1,43,43,77,354,355,439,439,456
2023-12-05 21:38:38,Bing,Airbnb,0,0,6,11,12,43,168,168,234,234,255
2023-12-05 21:38:39,Amazon,Airbnb,0,0,8,10,10,60,125,125,205,205,214
2023-12-05 21:38:41,Youtube,Airbnb,0,0,3,6,6,36,246,247,335,335,345
2023-12-05 21:38:46,Bing,Facebook,0,0,10,33,33,64,143,143,226,226,239
2023-12-05 21:38:46,Amazon,Facebook,0,0,5,6,6,56,113,113,186,186,196
2023-12-05 21:38:50,Youtube,Facebook,0,0,1,4,4,37,313,314,393,393,402
2023-12-05 21:38:55,Bing,Youtube,0,0,9,10,10,36,110,110,182,182,194
2023-12-05 21:38:55,Amazon,Youtube,0,0,4,75,76,126,212,212,299,299,312
2023-12-05 21:38:59,Youtube,Youtube,0,0,2,5,6,56,273,274,399,399,410
2023-12-05 21:39:03,Bing,cirtic,0,0,5,5,5,31,117,117,209,209,336
2023-12-05 21:39:04,Amazon,cirtic,0,0,6,8,8,70,133,133,253,253,262
2023-12-05 21:39:07,Youtube,cirtic,0,0,1,4,4,66,326,327,406,406,416
2023-12-05 21:39:11,Bing,when would there be,0,0,4,4,5,30,113,114,201,201,272
2023-12-05 21:39:12,Amazon,when would there be,0,1,3,5,5,49,104,105,188,188,195
2023-12-05 21:39:15,Youtube,when would there be,0,0,1,3,3,31,267,267,371,371,382
2023-12-05 21:39:19,Bing,search the map for new,0,0,6,7,7,43,111,111,196,196,207
2023-12-05 21:39:20,Amazon,search the map for new,0,4,11,14,15,60,115,115,201,201,211
2023-12-05 21:39:23,Youtube,search the map for new,0,0,11,14,14,55,297,297,380,380,389
2023-12-05 21:39:27,Bing,suggestions on finals,0,0,8,8,8,58,130,131,201,201,228
2023-12-05 21:39:37,Bing,start,0,0,7,7,7,30,83,83,153,153,278
2023-12-05 21:39:37,Amazon,start,0,4,10,12,12,49,99,99,164,164,174
2023-12-05 21:39:40,Youtube,start,0,0,2,7,7,34,440,440,521,521,534
2023-12-05 21:39:44,Bing,ending,0,0,8,9,9,45,116,116,192,192,206
2023-12-05 21:39:44,Amazon,ending,0,0,3,85,86,133,188,189,290,290,300
2023-12-05 21:39:48,Youtube,ending,0,0,2,5,6,39,391,392,478,478,487
2023-12-05 21:39:52,Bing,safety,0,0,8,45,45,75,172,172,249,249,264
2023-12-05 21:39:52,Amazon,safety,0,1,3,4,5,48,107,108,203,203,210
