dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:46:36,Bing,Carnegie Mellon University,0,0,8,48,48,88,167,167,237,237,267
2023-12-05 21:46:36,Amazon,Carnegie Mellon University,0,0,7,34,34,95,168,168,287,287,300
2023-12-05 21:46:40,Youtube,Carnegie Mellon University,0,0,1,35,36,82,328,328,437,437,446
2023-12-05 21:46:45,Bing,Airbnb,0,0,9,10,10,47,132,132,204,204,330
2023-12-05 21:46:46,Amazon,Airbnb,0,3,7,9,10,59,118,119,205,206,215
2023-12-05 21:46:49,Youtube,Airbnb,0,0,2,4,5,50,234,234,344,344,359
2023-12-05 21:46:53,Bing,Facebook,0,0,6,7,7,35,211,211,299,299,311
2023-12-05 21:46:54,Amazon,Facebook,0,0,4,5,6,62,144,144,252,252,261
2023-12-05 21:46:57,Youtube,Facebook,0,0,4,6,6,81,331,332,467,467,480
2023-12-05 21:47:01,Bing,Youtube,0,0,8,8,8,41,130,130,204,204,258
2023-12-05 21:47:01,Amazon,Youtube,0,1,4,6,6,68,125,126,226,228,235
2023-12-05 21:47:04,Youtube,Youtube,0,0,1,3,4,82,312,313,420,420,432
2023-12-05 21:47:09,Bing,cirtic,0,0,11,12,12,52,140,140,220,220,231
2023-12-05 21:47:09,Amazon,cirtic,0,13,15,17,17,67,127,128,225,225,233
2023-12-05 21:47:13,Youtube,cirtic,0,0,1,4,4,61,274,274,373,373,383
2023-12-05 21:47:19,Bing,when would there be,0,0,11,11,11,64,128,128,201,201,211
2023-12-05 21:47:19,Amazon,when would there be,0,2,5,7,8,54,118,118,212,212,224
2023-12-05 21:47:21,Youtube,when would there be,0,0,1,4,5,71,352,352,507,507,518
2023-12-05 21:47:26,Bing,search the map for new,0,0,8,8,8,35,114,114,185,185,313
2023-12-05 21:47:27,Amazon,search the map for new,0,1,4,88,88,129,188,188,271,271,282
2023-12-05 21:47:30,Youtube,search the map for new,0,0,1,3,3,55,253,253,342,342,353
2023-12-05 21:47:34,Bing,suggestions on finals,0,0,9,9,11,49,121,121,189,189,200
2023-12-05 21:47:35,Amazon,suggestions on finals,0,1,7,8,8,60,119,120,252,253,261
2023-12-05 21:47:37,Youtube,suggestions on finals,0,0,2,3,4,86,374,375,508,508,523
2023-12-05 21:47:41,Bing,start,0,0,8,9,9,104,181,182,261,261,309
2023-12-05 21:47:42,Amazon,start,0,3,7,9,9,64,122,124,220,220,229
2023-12-05 21:47:45,Youtube,start,0,0,2,4,4,109,426,426,535,535,545
2023-12-05 21:47:49,Bing,ending,0,0,6,6,7,43,114,114,202,202,334
2023-12-05 21:47:49,Amazon,ending,0,2,4,5,6,48,112,113,267,267,276
2023-12-05 21:47:52,Youtube,ending,0,0,1,3,3,57,258,259,351,351,367
2023-12-05 21:47:56,Bing,safety,0,0,6,162,162,187,272,272,345,345,357
2023-12-05 21:47:57,Amazon,safety,0,2,5,7,8,51,118,118,214,214,222
2023-12-05 21:48:00,Youtube,safety,0,0,1,4,4,52,274,274,361,361,370
2023-12-05 21:48:05,Bing,data,0,0,6,7,8,30,104,104,174,174,186
2023-12-05 21:48:07,Amazon,data,0,1,4,5,6,79,312,313,446,447,464
2023-12-05 21:48:10,Youtube,data,0,0,1,4,5,5,1561,1563,1727,1727,1743
2023-12-05 21:48:15,Bing,DDIO,0,0,6,6,7,80,149,149,215,215,344
2023-12-05 21:48:15,Amazon,DDIO,0,1,4,6,7,62,123,124,204,204,213
2023-12-05 21:48:18,Youtube,DDIO,0,0,1,4,5,66,289,291,400,400,411
2023-12-05 21:48:23,Bing,MSFG,0,0,6,6,7,43,110,110,231,231,246
2023-12-05 21:48:23,Amazon,MSFG,0,1,5,5,6,53,134,135,224,224,234
2023-12-05 21:48:27,Youtube,MSFG,0,0,1,5,6,65,302,302,426,426,437
2023-12-05 21:48:31,Bing,HOA,0,0,4,4,4,41,325,325,404,404,415
2023-12-05 21:48:35,Youtube,HOA,0,0,2,5,5,47,273,274,383,383,394
2023-12-05 21:48:40,Bing,FAFR,0,0,7,11,11,43,116,116,184,184,196
2023-12-05 21:48:40,Amazon,FAFR,0,1,6,8,9,71,184,184,265,265,273
2023-12-05 21:48:42,Youtube,FAFR,0,0,1,4,4,71,287,287,387,387,396
2023-12-05 21:48:47,Bing,WieSOichDichEmpfangen,0,0,8,8,8,39,108,108,178,178,189
2023-12-05 21:48:48,Amazon,WieSOichDichEmpfangen,0,1,10,40,41,90,159,159,339,341,347
2023-12-05 21:48:51,Youtube,WieSOichDichEmpfangen,0,0,1,4,4,52,292,292,410,410,421
2023-12-05 21:48:56,Bing,sagmichbitte,0,0,7,7,7,42,269,269,337,337,350
2023-12-05 21:48:56,Amazon,sagmichbitte,0,1,6,7,9,76,215,217,487,487,505
2023-12-05 21:49:01,Youtube,sagmichbitte,0,0,1,3,4,51,376,376,516,516,525
2023-12-05 21:49:05,Bing,ilAuraitSuffi,0,0,6,6,7,60,145,146,211,211,336
2023-12-05 21:49:10,Youtube,ilAuraitSuffi,0,0,1,4,4,64,289,290,396,396,407
2023-12-05 21:49:14,Bing,Carnegie Mellon University,0,0,7,49,49,72,132,132,202,202,214
2023-12-05 21:49:15,Amazon,Carnegie Mellon University,0,2,8,10,10,56,113,113,214,214,226
