dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:18:18,Bing,Carnegie Mellon University,0,0,8,67,67,143,273,273,400,400,410
2023-12-05 21:18:19,Amazon,Carnegie Mellon University,0,1,6,70,71,156,263,264,387,387,394
2023-12-05 21:18:22,Youtube,Carnegie Mellon University,0,0,1,65,66,121,569,569,659,659,668
2023-12-05 21:18:26,Bing,Airbnb,0,0,6,7,7,69,208,208,325,325,336
2023-12-05 21:18:27,Amazon,Airbnb,0,1,3,4,5,74,179,179,349,351,357
2023-12-05 21:18:30,Youtube,Airbnb,0,0,1,2,2,75,420,420,539,539,549
2023-12-05 21:18:35,Bing,Facebook,0,0,7,70,70,123,395,395,514,514,527
2023-12-05 21:18:35,Amazon,Facebook,0,3,7,8,8,72,235,236,384,385,398
2023-12-05 21:18:39,Youtube,Facebook,0,0,1,4,4,70,365,366,486,486,497
2023-12-05 21:18:43,Bing,Youtube,0,0,7,7,7,375,519,520,643,643,656
2023-12-05 21:18:44,Amazon,Youtube,0,1,6,7,7,98,174,174,282,282,290
2023-12-05 21:18:47,Youtube,Youtube,0,0,2,5,5,67,313,314,417,417,428
2023-12-05 21:18:51,Bing,cirtic,0,0,9,9,10,71,206,206,331,331,344
2023-12-05 21:18:52,Amazon,cirtic,0,1,4,5,6,72,157,157,290,290,300
2023-12-05 21:18:55,Youtube,cirtic,0,0,1,3,4,60,289,290,447,447,460
2023-12-05 21:19:00,Bing,when would there be,0,0,4,4,4,58,193,193,304,304,317
2023-12-05 21:19:00,Amazon,when would there be,0,1,3,4,5,74,158,158,284,284,291
2023-12-05 21:19:03,Youtube,when would there be,0,0,1,64,65,129,381,381,498,498,514
2023-12-05 21:19:08,Bing,search the map for new,0,0,7,62,62,127,276,276,400,400,425
2023-12-05 21:19:08,Amazon,search the map for new,0,1,3,62,62,133,208,208,302,302,315
