dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 01:43:32,Bing,Carnegie Mellon University,0,0,7,120,120,235,361,361,558,558,603
2023-12-06 01:43:35,Amazon,Carnegie Mellon University,0,1,3,320,321,459,854,854,1170,1170,1178
2023-12-06 01:43:39,Youtube,Carnegie Mellon University,0,0,1,114,114,238,1037,1037,1205,1205,1216
2023-12-06 01:43:44,Bing,Airbnb,0,0,7,8,8,121,248,248,420,420,490
2023-12-06 01:43:45,Amazon,Airbnb,0,1,4,5,5,139,285,286,542,544,551
2023-12-06 01:43:49,Youtube,Airbnb,0,0,1,3,4,126,528,529,703,703,716
2023-12-06 01:43:53,Bing,Facebook,0,0,7,118,118,233,364,364,534,534,609
2023-12-06 01:43:55,Amazon,Facebook,0,1,6,7,7,142,286,287,543,544,554
2023-12-06 01:43:58,Youtube,Facebook,0,0,1,3,3,127,522,522,679,679,688
2023-12-06 01:44:03,Bing,Youtube,0,0,7,7,7,120,248,248,426,426,494
2023-12-06 01:44:04,Amazon,Youtube,0,2,6,7,8,143,286,286,877,878,891
2023-12-06 01:44:08,Youtube,Youtube,0,0,2,4,6,131,535,535,690,690,709
2023-12-06 01:44:13,Bing,cirtic,0,0,7,324,324,441,573,573,827,827,842
2023-12-06 01:44:18,Youtube,cirtic,0,0,2,4,4,129,545,546,703,703,719
2023-12-06 01:44:23,Bing,when would there be,0,0,7,7,7,121,254,254,421,421,436
2023-12-06 01:44:24,Amazon,when would there be,0,4,16,18,19,153,311,311,570,570,578
2023-12-06 01:44:28,Youtube,when would there be,0,0,1,3,4,128,531,531,694,694,702
2023-12-06 01:44:32,Bing,search the map for new,0,0,7,7,8,120,252,253,434,434,490
2023-12-06 01:44:34,Amazon,search the map for new,0,1,7,8,9,145,292,292,548,549,555
2023-12-06 01:44:37,Youtube,search the map for new,0,0,1,4,4,130,534,534,692,692,712
2023-12-06 01:44:42,Bing,suggestions on finals,0,0,6,6,7,124,253,254,424,424,495
2023-12-06 01:44:43,Amazon,suggestions on finals,0,4,15,16,16,152,305,305,570,572,578
2023-12-06 01:44:47,Youtube,suggestions on finals,0,0,1,2,3,126,536,537,700,700,712
2023-12-06 01:44:51,Bing,start,0,0,7,7,8,118,247,248,419,419,484
2023-12-06 01:44:53,Amazon,start,0,2,8,162,162,301,450,450,1041,1041,1048
2023-12-06 01:44:57,Youtube,start,0,0,1,2,3,127,528,528,699,699,710
2023-12-06 01:45:01,Bing,ending,0,0,7,114,114,225,358,358,527,527,600
2023-12-06 01:45:03,Amazon,ending,0,1,8,10,11,148,295,295,551,552,560
2023-12-06 01:45:06,Youtube,ending,0,0,2,4,5,128,530,530,700,700,715
2023-12-06 01:45:11,Bing,safety,0,0,7,114,114,229,362,362,533,533,596
2023-12-06 01:45:14,Amazon,safety,0,3,9,10,11,147,296,296,933,933,942
2023-12-06 01:45:18,Youtube,safety,0,49,52,57,58,183,460,461,645,645,656
2023-12-06 01:45:23,Bing,data,0,0,8,8,9,130,257,258,427,427,503
2023-12-06 01:45:24,Amazon,data,0,1,9,11,12,146,290,291,550,551,558
2023-12-06 01:45:28,Youtube,data,0,0,1,3,4,127,527,527,701,701,709
