dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 02:03:16,Bing,Carnegie Mellon University,0,0,6,109,110,212,332,332,505,505,574
2023-12-06 02:03:17,Amazon,Carnegie Mellon University,0,5,10,118,119,247,378,379,611,611,623
2023-12-06 02:03:21,Youtube,Carnegie Mellon University,0,1,1,111,112,216,735,736,882,882,897
2023-12-06 02:03:26,Bing,Airbnb,0,0,9,9,10,111,240,241,422,422,471
2023-12-06 02:03:27,Amazon,Airbnb,0,1,6,7,7,120,241,241,471,471,480
2023-12-06 02:03:32,Youtube,Airbnb,0,0,1,3,3,113,454,454,609,609,621
2023-12-06 02:03:37,Bing,Facebook,0,0,10,10,10,115,230,230,395,395,446
2023-12-06 02:03:38,Amazon,Facebook,0,1,20,21,21,134,262,262,488,491,505
2023-12-06 02:03:43,Youtube,Facebook,0,0,1,4,4,110,458,458,589,589,603
2023-12-06 02:03:48,Bing,Youtube,0,0,7,108,109,212,332,333,513,513,580
2023-12-06 02:03:49,Amazon,Youtube,0,1,4,5,6,119,241,241,468,469,479
2023-12-06 02:03:53,Youtube,Youtube,0,0,1,3,3,111,457,457,612,612,621
2023-12-06 02:03:57,Bing,cirtic,0,0,8,8,9,112,232,233,489,489,519
2023-12-06 02:03:59,Amazon,cirtic,0,2,4,6,6,119,242,242,472,473,492
2023-12-06 02:04:04,Youtube,cirtic,0,0,1,3,4,107,449,449,605,605,620
2023-12-06 02:04:09,Bing,when would there be,0,0,8,110,111,214,332,333,529,529,568
2023-12-06 02:04:10,Amazon,when would there be,0,1,7,9,9,121,244,245,474,474,489
2023-12-06 02:04:14,Youtube,when would there be,0,0,1,3,3,105,435,435,580,580,592
2023-12-06 02:04:19,Bing,search the map for new,0,0,8,9,9,111,226,227,428,428,471
2023-12-06 02:04:20,Amazon,search the map for new,0,1,5,6,7,118,239,240,469,469,477
2023-12-06 02:04:24,Youtube,search the map for new,0,0,1,4,4,121,468,468,615,615,625
2023-12-06 02:04:29,Bing,suggestions on finals,0,0,8,8,8,111,228,228,408,408,444
2023-12-06 02:04:30,Amazon,suggestions on finals,0,1,3,5,6,118,239,239,474,476,484
2023-12-06 02:04:34,Youtube,suggestions on finals,0,0,1,2,3,103,437,437,577,577,589
2023-12-06 02:04:39,Bing,start,0,0,8,109,109,209,332,332,494,494,543
2023-12-06 02:04:40,Amazon,start,0,1,3,155,156,268,393,393,942,944,961
2023-12-06 02:04:44,Youtube,start,0,0,1,4,5,113,443,443,577,577,585
2023-12-06 02:04:48,Bing,ending,0,0,7,7,7,113,233,233,412,412,449
2023-12-06 02:04:49,Amazon,ending,0,1,3,5,5,118,240,240,470,470,485
2023-12-06 02:04:53,Youtube,ending,0,0,3,5,6,109,447,447,598,598,608
2023-12-06 02:04:57,Bing,safety,0,0,9,9,9,110,238,238,432,432,473
2023-12-06 02:04:58,Amazon,safety,0,2,4,5,5,121,240,242,467,468,475
2023-12-06 02:05:02,Youtube,safety,0,0,1,2,3,105,442,442,577,577,586
2023-12-06 02:05:06,Bing,data,0,0,7,119,120,228,348,348,530,530,581
2023-12-06 02:05:07,Amazon,data,0,2,15,17,17,129,255,256,482,483,493
2023-12-06 02:05:11,Youtube,data,0,0,1,3,3,105,452,452,606,606,622
2023-12-06 02:05:16,Bing,DDIO,0,0,7,7,7,110,230,230,403,403,465
2023-12-06 02:05:17,Amazon,DDIO,0,1,11,13,14,129,265,265,493,494,501
2023-12-06 02:05:19,Youtube,DDIO,0,0,3,5,5,108,446,447,604,604,613
2023-12-06 02:05:24,Bing,MSFG,0,0,9,9,10,114,229,229,405,405,464
2023-12-06 02:05:25,Amazon,MSFG,0,1,6,7,8,124,249,250,481,481,493
2023-12-06 02:05:28,Youtube,MSFG,0,0,1,3,4,106,450,451,614,614,634
2023-12-06 02:05:33,Bing,HOA,0,0,5,111,111,214,334,335,524,524,586
2023-12-06 02:05:34,Amazon,HOA,0,5,8,11,12,126,248,248,486,486,502
2023-12-06 02:05:38,Youtube,HOA,0,0,1,3,4,106,454,455,613,613,630
2023-12-06 02:05:43,Bing,FAFR,0,0,7,7,8,111,230,230,386,386,453
2023-12-06 02:05:44,Amazon,FAFR,0,3,8,9,10,124,250,250,790,791,805
2023-12-06 02:05:48,Youtube,FAFR,0,0,1,3,4,106,463,463,600,600,608
2023-12-06 02:05:52,Bing,WieSOichDichEmpfangen,0,0,11,11,11,119,238,240,461,461,491
2023-12-06 02:05:53,Amazon,WieSOichDichEmpfangen,0,1,4,5,6,120,241,241,470,472,478
2023-12-06 02:05:56,Youtube,WieSOichDichEmpfangen,0,0,1,3,3,107,449,449,601,601,612
2023-12-06 02:06:01,Bing,sagmichbitte,0,0,8,107,107,211,329,329,504,504,552
2023-12-06 02:06:02,Amazon,sagmichbitte,0,0,3,130,130,246,367,367,602,602,616
2023-12-06 02:06:05,Youtube,sagmichbitte,0,0,1,110,111,215,562,563,739,739,750
2023-12-06 02:06:10,Bing,ilAuraitSuffi,0,0,8,8,8,110,231,232,391,391,455
2023-12-06 02:06:11,Amazon,ilAuraitSuffi,0,1,4,6,7,121,244,245,476,476,485
2023-12-06 02:06:14,Youtube,ilAuraitSuffi,0,0,0,4,5,107,439,439,585,585,595
2023-12-06 02:06:19,Bing,Carnegie Mellon University,0,0,7,111,111,214,341,342,507,507,558
2023-12-06 02:06:20,Amazon,Carnegie Mellon University,0,1,3,4,4,118,238,238,468,471,476
2023-12-06 02:06:26,Youtube,Carnegie Mellon University,0,0,1,3,3,107,456,457,598,598,607
2023-12-06 02:06:30,Bing,Airbnb,0,1,7,109,109,212,335,336,514,514,553
2023-12-06 02:06:31,Amazon,Airbnb,0,0,4,6,6,118,238,238,781,781,788
2023-12-06 02:06:35,Youtube,Airbnb,0,0,0,3,4,106,442,442,588,588,597
2023-12-06 02:06:40,Bing,Facebook,0,0,6,6,7,109,226,227,397,397,444
2023-12-06 02:06:41,Amazon,Facebook,0,1,6,7,7,117,238,239,781,782,791
2023-12-06 02:06:45,Youtube,Facebook,0,0,1,2,3,107,456,458,613,613,623
2023-12-06 02:06:49,Bing,Youtube,0,0,6,7,7,111,235,235,395,395,411
2023-12-06 02:06:50,Amazon,Youtube,0,2,3,6,6,125,245,246,476,476,485
2023-12-06 02:06:53,Youtube,Youtube,0,0,1,3,3,108,446,446,596,596,605
2023-12-06 02:06:58,Bing,cirtic,0,0,6,6,7,112,240,240,421,421,440
2023-12-06 02:06:59,Amazon,cirtic,0,1,6,7,7,124,249,249,478,479,486
2023-12-06 02:07:02,Youtube,cirtic,0,0,1,3,3,108,460,461,602,602,610
2023-12-06 02:07:06,Bing,when would there be,0,0,6,6,7,110,237,237,403,403,462
2023-12-06 02:07:08,Amazon,when would there be,0,1,6,7,7,118,570,570,801,801,810
2023-12-06 02:07:11,Youtube,when would there be,0,0,1,3,3,106,446,446,586,586,595
2023-12-06 02:07:16,Bing,search the map for new,0,0,8,8,8,112,230,230,389,389,447
2023-12-06 02:07:17,Amazon,search the map for new,0,2,12,13,14,125,248,249,477,477,492
2023-12-06 02:07:20,Youtube,search the map for new,0,0,1,2,2,105,455,456,589,589,598
2023-12-06 02:07:25,Bing,suggestions on finals,0,0,7,8,8,112,230,231,396,396,449
2023-12-06 02:07:26,Amazon,suggestions on finals,0,1,4,121,122,235,361,361,590,590,600
2023-12-06 02:07:29,Youtube,suggestions on finals,0,0,1,4,4,107,460,461,616,616,634
2023-12-06 02:07:34,Bing,start,0,0,8,135,135,240,358,358,523,523,582
2023-12-06 02:07:35,Amazon,start,0,2,4,6,6,118,240,241,472,472,482
2023-12-06 02:07:39,Youtube,start,0,0,1,4,4,109,461,461,606,606,628
2023-12-06 02:07:43,Bing,ending,0,0,7,7,7,229,402,402,570,570,767
2023-12-06 02:07:45,Amazon,ending,0,1,5,7,7,202,324,324,763,764,777
2023-12-06 02:07:48,Youtube,ending,0,0,1,3,4,114,462,462,605,605,612
2023-12-06 02:07:52,Bing,safety,0,0,6,6,7,111,232,232,410,410,449
2023-12-06 02:07:54,Amazon,safety,0,2,9,11,11,125,249,249,790,791,807
2023-12-06 02:07:57,Youtube,safety,0,0,1,4,4,110,460,460,610,610,622
2023-12-06 02:08:02,Bing,data,0,0,4,112,113,216,332,333,497,497,554
2023-12-06 02:08:03,Amazon,data,0,1,9,9,9,124,250,251,479,480,486
2023-12-06 02:08:06,Youtube,data,0,0,1,3,3,106,446,446,596,596,605
2023-12-06 02:08:10,Bing,DDIO,0,0,6,6,8,110,229,229,412,412,484
2023-12-06 02:08:11,Amazon,DDIO,0,4,7,9,9,123,246,246,476,476,485
2023-12-06 02:08:15,Youtube,DDIO,0,0,1,3,3,109,449,449,585,585,595
2023-12-06 02:08:19,Bing,MSFG,0,0,9,10,10,111,232,233,415,415,464
2023-12-06 02:08:20,Amazon,MSFG,0,1,4,4,5,118,239,240,467,468,475
2023-12-06 02:08:23,Youtube,MSFG,0,0,1,3,3,106,441,441,584,584,592
2023-12-06 02:08:27,Bing,HOA,0,0,7,7,7,110,226,226,388,388,444
2023-12-06 02:08:28,Amazon,HOA,0,2,8,9,10,128,251,251,483,483,491
2023-12-06 02:08:32,Youtube,HOA,0,0,4,6,6,116,460,460,607,607,616
2023-12-06 02:08:36,Bing,FAFR,0,0,4,4,5,116,236,236,409,409,451
2023-12-06 02:08:37,Amazon,FAFR,0,1,14,15,15,131,260,261,695,695,703
2023-12-06 02:08:40,Youtube,FAFR,0,0,1,3,4,108,450,450,604,604,611
2023-12-06 02:08:45,Bing,WieSOichDichEmpfangen,0,0,9,9,9,109,229,229,409,409,453
2023-12-06 02:08:46,Amazon,WieSOichDichEmpfangen,0,1,4,147,147,263,389,390,617,618,626
2023-12-06 02:08:49,Youtube,WieSOichDichEmpfangen,0,0,1,4,4,108,447,448,592,592,609
2023-12-06 02:08:53,Bing,sagmichbitte,0,0,8,113,114,219,336,336,502,502,552
2023-12-06 02:08:54,Amazon,sagmichbitte,0,1,12,13,14,128,247,248,479,479,498
2023-12-06 02:08:57,Youtube,sagmichbitte,0,0,0,2,3,107,457,458,598,598,614
2023-12-06 02:09:02,Bing,ilAuraitSuffi,0,0,7,7,7,107,229,230,398,398,450
2023-12-06 02:09:03,Amazon,ilAuraitSuffi,0,1,4,5,6,118,243,243,475,475,483
2023-12-06 02:09:06,Youtube,ilAuraitSuffi,0,0,1,3,3,105,447,448,583,583,592
2023-12-06 02:09:11,Bing,Carnegie Mellon University,0,0,8,8,8,112,231,231,432,432,497
2023-12-06 02:09:12,Amazon,Carnegie Mellon University,0,1,6,7,7,123,243,243,472,472,482
2023-12-06 02:09:15,Youtube,Carnegie Mellon University,0,0,1,4,4,107,566,567,711,711,723
2023-12-06 02:09:20,Bing,Airbnb,0,0,7,7,8,111,229,229,391,391,447
2023-12-06 02:09:21,Amazon,Airbnb,0,1,4,5,5,119,242,242,470,472,480
2023-12-06 02:09:24,Youtube,Airbnb,0,0,1,3,3,111,453,454,603,603,612
2023-12-06 02:09:29,Bing,Facebook,0,0,6,6,7,113,230,230,408,408,469
2023-12-06 02:09:30,Amazon,Facebook,0,1,6,8,8,125,248,248,480,481,488
2023-12-06 02:09:33,Youtube,Facebook,0,0,1,3,3,107,460,460,614,614,630
2023-12-06 02:09:37,Bing,Youtube,0,0,7,109,109,215,339,339,520,520,580
2023-12-06 02:09:38,Amazon,Youtube,0,1,11,12,13,127,249,249,478,478,487
2023-12-06 02:09:43,Youtube,Youtube,0,0,1,3,3,119,471,471,611,611,619
2023-12-06 02:09:47,Bing,cirtic,0,0,7,7,7,110,230,231,414,414,464
2023-12-06 02:09:49,Amazon,cirtic,0,2,6,8,8,119,240,240,781,785,791
2023-12-06 02:09:52,Youtube,cirtic,0,0,1,3,4,109,452,453,586,586,595
2023-12-06 02:09:56,Bing,when would there be,0,0,6,6,7,114,231,231,394,394,454
2023-12-06 02:09:57,Amazon,when would there be,0,5,12,14,14,132,261,261,490,491,504
2023-12-06 02:10:01,Youtube,when would there be,0,0,1,3,3,111,464,465,610,610,628
2023-12-06 02:10:06,Bing,search the map for new,0,0,7,110,110,216,335,336,498,498,554
2023-12-06 02:10:07,Amazon,search the map for new,0,2,9,157,158,272,394,395,623,624,632
2023-12-06 02:10:11,Youtube,search the map for new,0,0,1,3,4,112,455,455,599,599,610
2023-12-06 02:10:16,Bing,suggestions on finals,0,0,8,109,110,212,332,332,498,498,553
2023-12-06 02:10:17,Amazon,suggestions on finals,0,3,9,10,11,123,248,248,477,477,485
2023-12-06 02:10:20,Youtube,suggestions on finals,0,0,1,5,5,110,460,461,601,601,617
2023-12-06 02:10:25,Bing,start,0,0,6,6,6,111,236,236,416,416,454
2023-12-06 02:10:26,Amazon,start,0,1,8,10,11,125,250,251,491,491,503
2023-12-06 02:10:30,Youtube,start,0,0,1,4,4,111,456,456,593,593,609
2023-12-06 02:10:34,Bing,ending,0,0,7,107,108,214,334,334,533,533,565
2023-12-06 02:10:35,Amazon,ending,0,1,6,7,7,121,244,244,473,474,482
2023-12-06 02:10:38,Youtube,ending,0,0,0,2,3,111,449,450,604,604,614
2023-12-06 02:10:43,Bing,safety,0,0,7,7,7,112,230,230,413,413,441
2023-12-06 02:10:44,Amazon,safety,0,2,5,6,7,124,248,248,480,482,494
2023-12-06 02:10:48,Youtube,safety,0,0,1,3,4,109,457,458,612,612,622
2023-12-06 02:10:52,Bing,data,0,0,9,9,9,114,229,230,404,404,449
2023-12-06 02:10:53,Amazon,data,0,2,6,7,8,125,246,246,476,478,484
2023-12-06 02:10:57,Youtube,data,0,0,1,4,4,105,451,451,610,610,621
2023-12-06 02:11:02,Bing,DDIO,0,0,8,109,109,214,339,340,542,542,572
2023-12-06 02:11:03,Amazon,DDIO,0,1,4,6,6,125,252,252,795,795,804
2023-12-06 02:11:07,Youtube,DDIO,0,0,1,3,4,106,456,457,615,615,627
2023-12-06 02:11:11,Bing,MSFG,0,0,7,113,113,217,341,342,532,532,572
2023-12-06 02:11:12,Amazon,MSFG,0,1,4,5,5,119,243,243,471,473,480
2023-12-06 02:11:15,Youtube,MSFG,0,0,1,3,3,104,442,442,582,582,591
2023-12-06 02:11:20,Bing,HOA,0,0,8,8,8,111,230,231,436,436,481
2023-12-06 02:11:21,Amazon,HOA,0,1,7,9,9,123,251,251,485,486,501
2023-12-06 02:11:24,Youtube,HOA,0,0,1,2,3,106,445,446,586,586,595
2023-12-06 02:11:29,Bing,FAFR,0,0,7,108,109,214,331,331,502,502,554
2023-12-06 02:11:30,Amazon,FAFR,0,0,5,172,172,285,412,412,644,644,656
2023-12-06 02:11:35,Youtube,FAFR,0,0,1,2,3,108,463,464,601,601,609
2023-12-06 02:11:39,Bing,WieSOichDichEmpfangen,0,0,7,7,7,110,232,232,398,398,456
