dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 20:59:36,Bing,Carnegie Mellon University,0,0,10,193,200,294,640,641,1076,1076,1093
2023-12-05 20:59:37,Amazon,Carnegie Mellon University,0,1,7,272,273,308,355,355,433,435,444
2023-12-05 20:59:42,Youtube,Carnegie Mellon University,0,0,1,103,104,145,612,613,694,694,703
2023-12-05 20:59:47,Bing,Airbnb,0,0,8,8,8,305,407,407,542,542,665
2023-12-05 20:59:48,Amazon,Airbnb,0,1,8,8,9,69,127,127,201,201,211
2023-12-05 20:59:54,Youtube,Airbnb,0,0,1,3,3,81,518,518,653,653,670
2023-12-05 21:00:00,Bing,Facebook,0,0,8,84,85,187,295,295,559,559,706
2023-12-05 21:00:01,Amazon,Facebook,0,1,3,266,267,303,347,347,418,418,430
2023-12-05 21:00:04,Youtube,Facebook,0,0,1,4,5,73,544,544,763,763,774
2023-12-05 21:00:09,Bing,Youtube,0,0,8,8,9,140,235,235,367,367,434
2023-12-05 21:00:10,Amazon,Youtube,0,1,8,9,11,46,95,95,176,176,188
2023-12-05 21:00:13,Youtube,Youtube,0,0,3,5,6,49,239,239,340,340,349
2023-12-05 21:00:19,Bing,cirtic,0,0,8,82,84,169,267,267,570,570,655
2023-12-05 21:00:19,Amazon,cirtic,0,1,3,45,45,90,167,167,274,274,286
2023-12-05 21:00:23,Youtube,cirtic,0,0,1,124,124,163,309,310,401,401,413
2023-12-05 21:00:28,Bing,when would there be,0,0,7,7,8,100,196,197,397,397,430
2023-12-05 21:00:28,Amazon,when would there be,0,1,3,5,6,60,117,118,196,196,204
2023-12-05 21:00:31,Youtube,when would there be,0,0,1,3,3,62,259,259,385,385,392
2023-12-05 21:00:36,Bing,search the map for new,0,0,7,39,39,125,236,236,402,402,456
2023-12-05 21:00:37,Amazon,search the map for new,0,1,8,9,10,74,137,138,216,216,224
2023-12-05 21:00:40,Youtube,search the map for new,0,0,1,3,3,42,211,211,330,330,343
