64 bytes from 154.6.85.138: icmp_seq=0 ttl=49 time=33.796 ms
64 bytes from 154.6.85.138: icmp_seq=1 ttl=49 time=32.928 ms
64 bytes from 154.6.85.138: icmp_seq=2 ttl=49 time=35.893 ms
64 bytes from 154.6.85.138: icmp_seq=3 ttl=49 time=32.295 ms
64 bytes from 154.6.85.138: icmp_seq=4 ttl=49 time=38.480 ms
64 bytes from 154.6.85.138: icmp_seq=5 ttl=49 time=38.977 ms
64 bytes from 154.6.85.138: icmp_seq=6 ttl=49 time=34.213 ms
64 bytes from 154.6.85.138: icmp_seq=7 ttl=49 time=36.044 ms
64 bytes from 154.6.85.138: icmp_seq=8 ttl=49 time=38.993 ms
64 bytes from 154.6.85.138: icmp_seq=9 ttl=49 time=37.707 ms
64 bytes from 154.6.85.138: icmp_seq=10 ttl=49 time=38.552 ms

connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
4,58,121,207,54,86
6,61,123,202,55,79
99,154,213,286,55,73
4,57,118,190,53,72
4,250,316,407,246,91
7,64,124,197,57,73
4,57,116,187,53,71
9,64,127,202,55,75
5,75,135,212,70,77
5,382,445,864,377,419
4,112,178,254,108,76
3,58,118,193,55,75
4,69,133,211,65,78
3,56,112,185,53,73
3,56,124,198,53,74
3,57,115,192,54,77
3,58,116,188,55,72
3,56,114,188,53,74
4,60,119,193,56,74
5,59,121,195,54,74
3,57,116,187,54,71
4,57,118,193,53,75
3,56,118,190,53,72
3,57,117,192,54,75
36,89,148,224,53,76
2,56,121,193,54,72
