dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 14:53:35,Bing,Carnegie Mellon University,0,0,5,50,50,72,119,119,183,183,309
2023-12-05 14:53:37,Amazon,Carnegie Mellon University,0,0,6,53,55,76,106,107,191,191,200
2023-12-05 14:53:39,Youtube,Carnegie Mellon University,0,50,52,77,78,109,252,252,318,318,329
2023-12-05 14:53:43,Bing,Airbnb,0,0,5,6,7,28,77,77,144,144,275
2023-12-05 14:53:45,Amazon,Airbnb,0,7,24,26,26,49,82,82,175,175,185
2023-12-05 14:53:48,Youtube,Airbnb,0,68,69,71,73,103,223,224,296,296,326
2023-12-05 14:53:53,Bing,Facebook,0,0,4,5,5,25,73,73,141,141,259
2023-12-05 14:53:54,Amazon,Facebook,0,7,11,13,15,38,72,73,166,166,177
2023-12-05 14:53:56,Youtube,Facebook,0,39,41,44,44,72,185,185,265,265,275
2023-12-05 14:54:01,Bing,Youtube,0,0,5,5,6,90,237,237,421,421,440
2023-12-05 14:54:02,Amazon,Youtube,0,1,4,5,6,29,61,61,168,168,178
2023-12-05 14:54:04,Youtube,Youtube,0,58,60,64,66,94,398,399,480,480,496
2023-12-05 14:54:09,Bing,cirtic,0,0,4,4,5,73,184,185,324,324,376
2023-12-05 14:54:10,Amazon,cirtic,0,1,5,6,6,146,180,181,330,330,342
2023-12-05 14:54:13,Youtube,cirtic,0,46,56,61,62,109,230,231,308,308,320
2023-12-05 14:54:18,Bing,when would there be,0,0,6,7,7,206,480,481,577,577,593
2023-12-05 14:54:22,Youtube,when would there be,0,55,57,62,63,92,211,211,287,287,305
2023-12-05 14:54:26,Bing,search the map for new,0,0,4,28,29,52,102,104,168,168,290
2023-12-05 14:54:31,Youtube,search the map for new,0,58,65,95,96,124,238,239,302,302,315
2023-12-05 14:54:35,Bing,suggestions on finals,0,0,6,7,7,27,75,75,147,147,285
