dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 22:50:48,213,246,295,371,33,43,Bing,Carnegie Mellon University
2023-12-04 22:50:50,120,173,221,334,53,60,Amazon,Carnegie Mellon University
2023-12-04 22:50:54,91,142,358,626,51,217,Youtube,Carnegie Mellon University
2023-12-04 22:50:58,5,38,87,166,33,46,Bing,Airbnb
2023-12-04 22:50:59,5,42,88,213,37,88,Amazon,Airbnb
2023-12-04 22:51:02,42,93,266,373,51,56,Youtube,Airbnb
2023-12-04 22:51:06,8,41,101,179,33,45,Bing,Facebook
2023-12-04 22:51:07,5,39,87,216,34,95,Amazon,Facebook
2023-12-04 22:51:09,52,103,277,383,51,55,Youtube,Facebook
2023-12-04 22:51:14,6,85,141,230,79,10,Bing,Youtube
2023-12-04 22:51:16,5,39,80,197,34,83,Amazon,Youtube
2023-12-04 22:51:19,54,217,387,697,163,147,Youtube,Youtube
2023-12-04 22:51:23,6,39,85,162,33,44,Bing,cirtic
2023-12-04 22:51:24,4,40,85,223,36,102,Amazon,cirtic
2023-12-04 22:51:27,37,81,248,352,44,60,Youtube,cirtic
2023-12-04 22:51:31,6,39,100,197,33,64,Bing,when would there be
2023-12-04 22:51:32,4,36,88,216,32,96,Amazon,when would there be
2023-12-04 22:51:34,42,89,262,363,47,54,Youtube,when would there be
2023-12-04 22:51:38,40,74,124,208,34,50,Bing,search the map for new
2023-12-04 22:51:40,99,137,182,318,38,98,Amazon,search the map for new
2023-12-04 22:51:43,55,104,275,369,49,45,Youtube,search the map for new
2023-12-04 22:51:47,73,108,163,237,35,39,Bing,suggestions on finals
2023-12-04 22:51:48,12,46,92,226,34,100,Amazon,suggestions on finals
2023-12-04 22:51:51,43,90,264,375,47,64,Youtube,suggestions on finals
2023-12-04 22:51:55,7,39,87,299,32,180,Bing,start
2023-12-04 22:51:57,3,37,83,225,34,108,Amazon,start
2023-12-04 22:52:00,43,89,266,375,46,63,Youtube,start
2023-12-04 22:52:04,7,47,101,232,40,91,Bing,ending
2023-12-04 22:52:06,4,37,87,226,33,106,Amazon,ending
2023-12-04 22:52:08,40,85,263,370,45,62,Youtube,ending
2023-12-04 22:52:12,42,76,133,227,34,60,Bing,safety
2023-12-04 22:52:14,4,39,83,205,35,87,Amazon,safety
2023-12-04 22:52:16,48,109,277,386,61,48,Youtube,safety
2023-12-04 22:52:21,7,42,101,179,35,43,Bing,data
2023-12-04 22:52:22,7,42,94,215,35,86,Amazon,data
2023-12-04 22:52:25,52,110,302,415,58,55,Youtube,data
2023-12-04 22:52:29,36,72,126,210,36,48,Bing,DDIO
2023-12-04 22:52:31,10,45,92,216,35,89,Amazon,DDIO
2023-12-04 22:52:35,39,90,262,372,51,59,Youtube,DDIO
2023-12-04 22:52:39,7,42,309,382,35,38,Bing,MSFG
2023-12-04 22:52:41,4,41,85,391,37,269,Amazon,MSFG
2023-12-04 22:52:45,46,98,383,480,52,45,Youtube,MSFG
2023-12-04 22:52:50,38,71,394,908,33,481,Bing,HOA
2023-12-04 22:52:55,44,231,424,713,187,102,Youtube,HOA
2023-12-04 22:53:01,41,83,127,251,42,82,Amazon,FAFR
2023-12-04 22:53:03,186,235,389,539,49,101,Youtube,FAFR
2023-12-04 22:53:08,245,305,360,736,60,316,Bing,WieSOichDichEmpfangen
2023-12-04 22:53:10,5,61,310,504,56,138,Amazon,WieSOichDichEmpfangen
2023-12-04 22:53:13,39,39,542,856,0,314,Youtube,WieSOichDichEmpfangen
2023-12-04 22:53:17,7,42,89,213,35,89,Bing,sagmichbitte
2023-12-04 22:53:19,3,37,281,431,34,116,Amazon,sagmichbitte
2023-12-04 22:53:21,38,116,264,367,78,25,Youtube,sagmichbitte
2023-12-04 22:53:25,37,78,124,392,41,227,Bing,ilAuraitSuffi
2023-12-04 22:53:27,7,42,85,200,35,80,Amazon,ilAuraitSuffi
2023-12-04 22:53:29,31,79,230,302,48,24,Youtube,ilAuraitSuffi
2023-12-04 22:53:43,7,47,97,176,40,39,Bing,Carnegie Mellon University
