64 bytes from 154.6.91.4: icmp_seq=0 ttl=41 time=79.037 ms
64 bytes from 154.6.91.4: icmp_seq=1 ttl=41 time=77.264 ms
64 bytes from 154.6.91.4: icmp_seq=2 ttl=41 time=76.379 ms
64 bytes from 154.6.91.4: icmp_seq=3 ttl=41 time=75.795 ms
64 bytes from 154.6.91.4: icmp_seq=4 ttl=41 time=75.136 ms
64 bytes from 154.6.91.4: icmp_seq=5 ttl=41 time=76.938 ms
64 bytes from 154.6.91.4: icmp_seq=6 ttl=41 time=74.191 ms
64 bytes from 154.6.91.4: icmp_seq=7 ttl=41 time=74.761 ms
64 bytes from 154.6.91.4: icmp_seq=8 ttl=41 time=77.310 ms
64 bytes from 154.6.91.4: icmp_seq=0 ttl=63 time=74.129 ms
64 bytes from 154.6.91.4: icmp_seq=1 ttl=63 time=74.482 ms
64 bytes from 154.6.91.4: icmp_seq=2 ttl=63 time=75.413 ms
64 bytes from 154.6.91.4: icmp_seq=3 ttl=63 time=76.507 ms
64 bytes from 154.6.91.4: icmp_seq=4 ttl=63 time=80.735 ms
64 bytes from 154.6.91.4: icmp_seq=5 ttl=63 time=75.481 ms
64 bytes from 154.6.91.4: icmp_seq=6 ttl=63 time=76.121 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 20:11:41,189,289,396,530,100,134
2023-11-05 20:11:56,3,105,211,346,102,135
2023-11-05 20:12:10,3,101,210,344,98,134
2023-11-05 20:12:25,3,101,200,333,98,133
2023-11-05 20:12:40,3,102,203,336,99,133
2023-11-05 20:12:54,5,103,207,344,98,137
2023-11-05 20:13:09,4,101,205,479,97,274
2023-11-05 20:13:23,4,105,208,341,101,133
2023-11-05 20:13:38,3,102,208,343,99,135
2023-11-05 20:13:55,5,373,486,902,368,416
2023-11-05 20:14:10,3,100,205,335,97,130
2023-11-05 20:14:25,4,104,236,371,100,135
2023-11-05 20:14:39,3,103,206,340,100,134
2023-11-05 20:14:54,3,99,202,333,96,131
2023-11-05 20:15:08,2,99,200,330,97,130
2023-11-05 20:15:23,4,99,200,331,95,131
2023-11-05 20:15:38,3,103,206,341,100,135
2023-11-05 20:15:52,3,99,199,331,96,132
2023-11-05 20:16:07,4,105,212,345,101,133
2023-11-05 20:16:22,3,101,205,338,98,133
2023-11-05 20:16:36,3,101,203,335,98,132
2023-11-05 20:16:51,3,98,201,435,95,234
2023-11-05 20:17:05,2,101,203,336,99,133
2023-11-05 20:17:20,3,99,203,337,96,134
2023-11-05 20:17:35,3,102,205,339,99,134
2023-11-05 20:17:49,3,102,204,337,99,133
2023-11-05 20:18:04,7,106,214,351,99,137
2023-11-05 20:18:19,2,101,203,337,99,134
2023-11-05 20:18:34,4,103,203,335,99,132
2023-11-05 20:18:48,4,104,206,344,100,138
