dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 14:37:46,Bing,Carnegie Mellon University,0,0,6,196,197,227,371,371,442,442,453
2023-12-05 14:38:01,Bing,Airbnb,0,0,5,26,27,53,127,127,199,199,319
2023-12-05 14:38:03,Amazon,Airbnb,0,0,6,8,8,39,78,79,190,190,199
2023-12-05 14:38:04,Youtube,Airbnb,0,37,40,43,44,86,232,232,323,323,333
2023-12-05 14:38:09,Bing,Facebook,0,0,5,6,6,36,139,139,250,250,385
2023-12-05 14:38:11,Amazon,Facebook,0,1,4,5,6,174,341,341,519,519,533
2023-12-05 14:38:14,Youtube,Facebook,0,48,50,53,54,96,270,271,360,360,380
2023-12-05 14:38:19,Bing,Youtube,0,0,7,8,8,47,351,352,507,507,525
2023-12-05 14:38:21,Amazon,Youtube,0,1,18,19,19,49,398,399,547,547,561
2023-12-05 14:38:23,Youtube,Youtube,0,41,44,46,46,81,231,232,308,308,323
2023-12-05 14:38:29,Bing,cirtic,0,0,7,138,138,307,516,516,643,643,668
2023-12-05 14:38:30,Amazon,cirtic,0,5,8,9,9,40,81,82,193,193,207
2023-12-05 14:38:33,Youtube,cirtic,0,20,22,25,25,70,231,231,310,310,326
2023-12-05 14:38:37,Bing,when would there be,0,0,4,4,5,80,247,251,407,407,419
2023-12-05 14:38:41,Amazon,when would there be,0,1,4,5,5,153,193,193,616,616,627
2023-12-05 14:38:43,Youtube,when would there be,0,36,37,40,42,84,245,246,334,334,343
2023-12-05 14:38:48,Bing,search the map for new,0,0,4,4,5,37,157,157,310,310,335
2023-12-05 14:38:50,Amazon,search the map for new,0,1,4,6,6,124,162,162,306,306,318
2023-12-05 14:38:52,Youtube,search the map for new,0,47,49,52,53,98,262,262,345,345,355
2023-12-05 14:38:56,Bing,suggestions on finals,0,0,4,25,25,54,123,123,372,372,383
2023-12-05 14:38:59,Amazon,suggestions on finals,0,0,4,5,5,76,173,173,354,354,367
2023-12-05 14:39:01,Youtube,suggestions on finals,0,37,38,41,41,97,369,370,449,449,462
2023-12-05 14:39:05,Bing,start,0,0,5,5,5,33,103,104,176,176,299
2023-12-05 14:39:09,Amazon,start,0,0,3,244,244,275,345,346,458,458,467
2023-12-05 14:39:11,Youtube,start,0,44,46,50,51,88,238,238,322,322,333
2023-12-05 14:39:16,Bing,ending,0,0,5,65,65,291,382,382,586,586,603
2023-12-05 14:39:21,Youtube,ending,0,39,42,49,49,108,527,527,625,625,636
2023-12-05 14:39:25,Bing,safety,0,0,6,6,6,33,96,96,167,167,292
2023-12-05 14:39:31,Youtube,safety,0,58,61,63,64,102,207,207,296,296,313
2023-12-05 14:39:36,Bing,data,0,0,7,7,8,96,585,587,722,722,737
2023-12-05 14:39:40,Amazon,data,0,1,5,33,34,75,117,117,408,408,425
2023-12-05 14:39:44,Youtube,data,0,57,60,64,66,108,281,282,371,371,383
2023-12-05 14:39:49,Bing,DDIO,0,0,5,5,5,130,193,193,495,495,509
2023-12-05 14:39:55,Youtube,DDIO,0,46,49,53,54,89,223,224,485,485,515
2023-12-05 14:40:00,Bing,MSFG,0,0,4,31,31,106,237,237,400,400,412
