dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 22:39:32,67,113,205,470,46,219,Bing,Carnegie Mellon University
2023-12-04 22:39:34,75,145,439,587,70,78,Amazon,Carnegie Mellon University
2023-12-04 22:39:40,1287,1364,1971,2238,77,190,Youtube,Carnegie Mellon University
2023-12-04 22:39:44,7,47,143,229,40,46,Bing,Airbnb
2023-12-04 22:39:47,6,85,161,353,79,113,Amazon,Airbnb
2023-12-04 22:39:54,7,48,157,239,41,41,Bing,Facebook
2023-12-04 22:39:57,4,76,207,370,72,91,Amazon,Facebook
2023-12-04 22:40:01,43,121,587,805,78,140,Youtube,Facebook
2023-12-04 22:40:05,6,52,219,309,46,44,Bing,Youtube
2023-12-04 22:40:07,7,79,214,392,72,106,Amazon,Youtube
2023-12-04 22:40:11,48,136,434,796,88,274,Youtube,Youtube
2023-12-04 22:40:15,6,47,301,388,41,46,Bing,cirtic
2023-12-04 22:40:18,8,91,465,907,83,359,Amazon,cirtic
2023-12-04 22:40:23,52,369,665,1024,317,42,Youtube,cirtic
2023-12-04 22:40:27,7,294,394,920,287,239,Bing,when would there be
2023-12-04 22:40:34,42,117,453,580,75,52,Youtube,when would there be
2023-12-04 22:40:39,6,48,152,237,42,43,Bing,search the map for new
2023-12-04 22:40:40,5,78,160,308,73,75,Amazon,search the map for new
2023-12-04 22:40:44,51,125,406,535,74,55,Youtube,search the map for new
2023-12-04 22:40:48,6,45,140,223,39,44,Bing,suggestions on finals
2023-12-04 22:40:54,41,117,930,1058,76,52,Youtube,suggestions on finals
2023-12-04 22:40:59,97,148,437,525,51,37,Bing,start
2023-12-04 22:41:01,6,81,413,580,75,92,Amazon,start
2023-12-04 22:41:05,47,122,483,647,75,89,Youtube,start
2023-12-04 22:41:09,7,51,377,470,44,49,Bing,ending
2023-12-04 22:41:12,4,86,170,442,82,190,Amazon,ending
2023-12-04 22:41:15,44,119,478,608,75,55,Youtube,ending
2023-12-04 22:41:19,7,48,230,354,41,83,Bing,safety
2023-12-04 22:41:22,12,84,164,486,72,250,Amazon,safety
2023-12-04 22:41:25,42,170,503,638,128,7,Youtube,safety
2023-12-04 22:41:30,6,51,198,285,45,42,Bing,data
2023-12-04 22:41:32,7,83,240,461,76,145,Amazon,data
2023-12-04 22:41:39,46,128,409,707,82,216,Youtube,data
2023-12-04 22:41:43,6,46,142,444,40,262,Bing,DDIO
2023-12-04 22:41:45,7,77,157,312,70,85,Amazon,DDIO
2023-12-04 22:41:49,49,125,611,740,76,53,Youtube,DDIO
2023-12-04 22:41:53,7,45,159,243,38,46,Bing,MSFG
2023-12-04 22:41:54,5,79,176,430,74,180,Amazon,MSFG
2023-12-04 22:42:03,7,50,232,348,43,73,Bing,HOA
2023-12-04 22:42:05,10,78,201,366,68,97,Amazon,HOA
2023-12-04 22:42:08,45,121,378,507,76,53,Youtube,HOA
2023-12-04 22:42:12,6,50,141,224,44,39,Bing,FAFR
2023-12-04 22:42:13,9,77,156,349,68,125,Amazon,FAFR
2023-12-04 22:42:16,50,124,496,683,74,113,Youtube,FAFR
2023-12-04 22:42:20,39,80,172,257,41,44,Bing,WieSOichDichEmpfangen
2023-12-04 22:42:22,6,75,152,367,69,146,Amazon,WieSOichDichEmpfangen
2023-12-04 22:42:25,44,113,364,479,69,46,Youtube,WieSOichDichEmpfangen
2023-12-04 22:42:29,7,48,139,227,41,47,Bing,sagmichbitte
2023-12-04 22:42:30,7,77,158,304,70,76,Amazon,sagmichbitte
2023-12-04 22:42:33,49,130,399,535,81,55,Youtube,sagmichbitte
2023-12-04 22:42:37,6,45,136,234,39,59,Bing,ilAuraitSuffi
2023-12-04 22:42:38,6,79,159,312,73,80,Amazon,ilAuraitSuffi
2023-12-04 22:42:41,45,117,381,510,72,57,Youtube,ilAuraitSuffi
2023-12-04 22:42:58,5,160,359,530,155,16,Amazon,Carnegie Mellon University
2023-12-04 22:43:03,44,117,678,797,73,46,Youtube,Carnegie Mellon University
2023-12-04 22:43:07,7,76,167,254,69,18,Bing,Airbnb
2023-12-04 22:43:10,38,110,215,458,72,171,Amazon,Airbnb
2023-12-04 22:43:15,56,56,688,822,0,134,Youtube,Airbnb
2023-12-04 22:43:19,287,332,653,737,45,39,Bing,Facebook
2023-12-04 22:43:22,7,81,373,607,74,160,Amazon,Facebook
2023-12-04 22:43:30,8,47,229,347,39,79,Bing,Youtube
2023-12-04 22:43:32,22,166,247,410,144,19,Amazon,Youtube
2023-12-04 22:43:36,56,144,577,703,88,38,Youtube,Youtube
2023-12-04 22:43:40,7,49,143,455,42,270,Bing,cirtic
2023-12-04 22:43:43,9,366,470,881,357,54,Amazon,cirtic
2023-12-04 22:43:47,54,309,600,955,255,100,Youtube,cirtic
2023-12-04 22:43:57,49,129,627,806,80,99,Youtube,when would there be
2023-12-04 22:44:12,7,50,142,229,43,44,Bing,suggestions on finals
2023-12-04 22:44:14,8,79,159,322,71,92,Amazon,suggestions on finals
2023-12-04 22:44:17,80,152,414,545,72,59,Youtube,suggestions on finals
2023-12-04 22:44:21,6,48,144,226,42,40,Bing,start
2023-12-04 22:44:23,7,86,169,332,79,84,Amazon,start
2023-12-04 22:44:27,54,127,385,533,73,75,Youtube,start
2023-12-04 22:44:30,6,46,140,221,40,41,Bing,ending
2023-12-04 22:44:38,44,121,596,760,77,87,Youtube,ending
2023-12-04 22:44:42,41,81,171,254,40,43,Bing,safety
2023-12-04 22:44:44,5,76,160,390,71,159,Amazon,safety
2023-12-04 22:44:48,72,146,423,570,74,73,Youtube,safety
2023-12-04 22:44:52,7,49,139,228,42,47,Bing,data
2023-12-04 22:44:55,4,79,163,345,75,107,Amazon,data
2023-12-04 22:44:58,48,123,398,518,75,45,Youtube,data
2023-12-04 22:45:03,6,48,138,224,42,44,Bing,DDIO
2023-12-04 22:45:05,49,120,203,386,71,112,Amazon,DDIO
2023-12-04 22:45:10,44,116,390,514,72,52,Youtube,DDIO
2023-12-04 22:45:14,6,47,133,213,41,39,Bing,MSFG
2023-12-04 22:45:17,77,161,478,640,84,78,Amazon,MSFG
2023-12-04 22:45:21,44,154,622,737,110,5,Youtube,MSFG
2023-12-04 22:45:25,159,203,264,476,44,168,Bing,HOA
2023-12-04 22:45:27,7,76,158,404,69,177,Amazon,HOA
2023-12-04 22:45:40,6,84,168,324,78,78,Amazon,FAFR
2023-12-04 22:45:43,46,121,407,543,75,61,Youtube,FAFR
2023-12-04 22:45:47,122,177,232,626,55,339,Bing,WieSOichDichEmpfangen
2023-12-04 22:45:49,4,73,150,310,69,91,Amazon,WieSOichDichEmpfangen
2023-12-04 22:45:51,38,112,366,493,74,53,Youtube,WieSOichDichEmpfangen
2023-12-04 22:45:59,7,76,159,507,69,279,Amazon,sagmichbitte
2023-12-04 22:46:04,38,111,569,898,73,256,Youtube,sagmichbitte
2023-12-04 22:46:08,7,254,319,771,247,205,Bing,ilAuraitSuffi
2023-12-04 22:46:10,7,78,157,420,71,192,Amazon,ilAuraitSuffi
2023-12-04 22:46:29,5,48,115,217,43,59,Bing,Carnegie Mellon University
2023-12-04 22:46:31,7,80,164,390,73,153,Amazon,Carnegie Mellon University
2023-12-04 22:46:34,88,163,467,589,75,47,Youtube,Carnegie Mellon University
2023-12-04 22:46:38,7,46,98,198,39,61,Bing,Airbnb
2023-12-04 22:46:40,6,77,154,305,71,80,Amazon,Airbnb
2023-12-04 22:46:43,46,118,403,530,72,55,Youtube,Airbnb
2023-12-04 22:46:47,39,79,140,246,40,66,Bing,Facebook
2023-12-04 22:46:49,4,78,164,330,74,92,Amazon,Facebook
2023-12-04 22:46:51,61,139,399,528,78,51,Youtube,Facebook
2023-12-04 22:46:56,8,50,112,227,42,73,Bing,Youtube
2023-12-04 22:46:57,5,75,154,324,70,100,Amazon,Youtube
2023-12-04 22:47:00,57,131,387,517,74,56,Youtube,Youtube
2023-12-04 22:47:04,6,51,112,288,45,131,Bing,cirtic
2023-12-04 22:47:06,4,71,165,330,67,98,Amazon,cirtic
2023-12-04 22:47:09,38,109,363,483,71,49,Youtube,cirtic
2023-12-04 22:47:13,46,88,144,285,42,99,Bing,when would there be
2023-12-04 22:47:14,7,78,168,318,71,79,Amazon,when would there be
2023-12-04 22:47:17,41,119,380,511,78,53,Youtube,when would there be
2023-12-04 22:47:21,6,45,99,248,39,110,Bing,search the map for new
2023-12-04 22:47:23,6,76,158,323,70,95,Amazon,search the map for new
2023-12-04 22:47:28,45,120,379,507,75,53,Youtube,search the map for new
2023-12-04 22:47:33,6,94,181,287,88,18,Bing,suggestions on finals
2023-12-04 22:47:36,4,77,161,331,73,97,Amazon,suggestions on finals
2023-12-04 22:47:46,8,62,117,317,54,146,Bing,start
2023-12-04 22:47:49,6,81,162,323,75,86,Amazon,start
2023-12-04 22:47:58,124,166,283,365,42,40,Bing,ending
2023-12-04 22:48:01,4,73,162,516,69,285,Amazon,ending
2023-12-04 22:48:04,51,126,668,921,75,178,Youtube,ending
2023-12-04 22:48:09,6,46,139,221,40,42,Bing,safety
2023-12-04 22:48:11,19,89,172,328,70,86,Amazon,safety
2023-12-04 22:48:13,55,127,393,520,72,55,Youtube,safety
2023-12-04 22:48:20,6,49,139,221,43,39,Bing,data
2023-12-04 22:48:23,5,76,161,323,71,91,Amazon,data
2023-12-04 22:48:38,52,158,399,566,106,61,Youtube,data
2023-12-04 22:48:43,6,45,140,222,39,43,Bing,DDIO
2023-12-04 22:48:44,7,81,161,315,74,80,Amazon,DDIO
2023-12-04 22:48:47,47,122,372,511,75,64,Youtube,DDIO
2023-12-04 22:48:51,7,47,136,220,40,44,Bing,MSFG
2023-12-04 22:48:53,5,74,152,314,69,93,Amazon,MSFG
2023-12-04 22:48:58,48,121,355,487,73,59,Youtube,MSFG
2023-12-04 22:49:02,7,45,139,256,38,79,Bing,HOA
2023-12-04 22:49:04,8,82,169,328,74,85,Amazon,HOA
2023-12-04 22:49:07,47,124,357,487,77,53,Youtube,HOA
2023-12-04 22:49:11,7,51,356,456,44,56,Bing,FAFR
2023-12-04 22:49:13,87,131,184,360,44,132,Amazon,FAFR
2023-12-04 22:49:16,61,143,373,516,82,61,Youtube,FAFR
2023-12-04 22:49:20,101,148,209,325,47,69,Bing,WieSOichDichEmpfangen
2023-12-04 22:49:21,4,47,94,273,43,136,Amazon,WieSOichDichEmpfangen
2023-12-04 22:49:24,49,125,355,498,76,67,Youtube,WieSOichDichEmpfangen
2023-12-04 22:49:28,6,55,105,218,49,64,Bing,sagmichbitte
2023-12-04 22:49:29,9,50,102,232,41,89,Amazon,sagmichbitte
2023-12-04 22:49:32,47,122,353,481,75,53,Youtube,sagmichbitte
2023-12-04 22:49:36,5,42,97,264,37,130,Bing,ilAuraitSuffi
2023-12-04 22:49:37,5,43,96,231,38,97,Amazon,ilAuraitSuffi
2023-12-04 22:49:53,36,138,397,520,102,21,Youtube,ilAuraitSuffi
