dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-06 14:02:48,Bing,Carnegie Mellon University,0,0,2,28,29,48,92,93,149,218,236
2023-12-06 14:02:48,Amazon,Carnegie Mellon University,0,1,15,25,26,35,57,57,93,93,106
2023-12-06 14:02:51,Youtube,Carnegie Mellon University,0,0,1,16,16,35,162,163,227,227,235
2023-12-06 14:02:55,Bing,Airbnb,0,0,2,7,9,31,74,75,141,212,226
2023-12-06 14:02:56,Amazon,Airbnb,0,1,29,31,31,42,65,65,103,103,111
2023-12-06 14:02:58,Youtube,Airbnb,0,0,1,3,4,28,142,142,218,218,229
2023-12-06 14:03:02,Bing,Facebook,0,0,2,7,9,34,82,82,149,301,162
2023-12-06 14:03:03,Amazon,Facebook,0,1,19,19,20,35,59,59,93,93,101
2023-12-06 14:03:05,Youtube,Facebook,0,0,1,3,3,26,152,152,298,298,309
2023-12-06 14:03:09,Bing,Youtube,0,0,2,6,7,26,71,71,134,169,197
2023-12-06 14:03:10,Amazon,Youtube,0,1,15,83,84,95,123,123,180,180,188
2023-12-06 14:03:12,Youtube,Youtube,0,0,3,6,6,25,137,138,210,210,220
2023-12-06 14:03:16,Bing,cirtic,0,0,1,5,6,25,71,72,132,207,230
2023-12-06 14:03:16,Amazon,cirtic,0,1,18,20,20,35,57,57,91,91,100
2023-12-06 14:03:18,Youtube,cirtic,0,0,1,4,5,26,138,140,206,206,214
2023-12-06 14:03:22,Bing,when would there be,0,0,2,4,5,24,70,70,134,177,258
2023-12-06 14:03:23,Amazon,when would there be,0,1,18,19,19,34,57,57,101,101,108
2023-12-06 14:03:25,Youtube,when would there be,0,0,0,3,4,28,141,141,219,219,227
2023-12-06 14:03:29,Bing,search the map for new,0,0,2,5,7,25,72,72,169,248,294
2023-12-06 14:03:29,Amazon,search the map for new,0,1,16,18,18,40,58,59,95,95,104
2023-12-06 14:03:32,Youtube,search the map for new,0,0,1,3,4,24,141,142,218,218,227
2023-12-06 14:03:36,Bing,suggestions on finals,0,0,1,7,8,29,76,76,145,215,160
2023-12-06 14:03:36,Amazon,suggestions on finals,0,1,23,24,24,38,58,58,97,97,104
2023-12-06 14:03:39,Youtube,suggestions on finals,0,0,1,5,5,30,135,136,206,206,215
2023-12-06 14:03:43,Bing,start,0,0,2,18,18,50,98,98,161,274,172
2023-12-06 14:03:43,Amazon,start,0,1,11,29,29,46,68,68,100,100,108
2023-12-06 14:03:46,Youtube,start,0,0,1,3,4,28,142,142,223,223,233
2023-12-06 14:03:50,Bing,ending,1701889429734,1701889429734,1701889429736,1701889429741,1701889429742,1701889429759,1701889429802,1701889429802,1701889429867,1701889429903,1701889429886
2023-12-06 14:03:50,Amazon,ending,0,2,27,29,29,45,79,79,116,116,124
2023-12-06 14:03:52,Youtube,ending,0,0,1,5,6,32,138,139,220,220,230
2023-12-06 14:03:56,Bing,safety,0,0,2,6,8,24,72,73,139,203,153
2023-12-06 14:03:56,Amazon,safety,0,1,13,15,16,29,50,50,85,85,93
2023-12-06 14:03:58,Youtube,safety,0,0,1,4,5,25,132,132,207,207,216
2023-12-06 14:04:02,Bing,data,0,0,1,28,29,47,94,95,155,224,211
2023-12-06 14:04:03,Amazon,data,0,1,18,20,20,36,62,63,98,98,108
2023-12-06 14:04:05,Youtube,data,0,0,1,3,4,25,138,139,209,209,218
2023-12-06 14:04:09,Bing,DDIO,0,0,1,6,8,31,75,76,141,223,276
2023-12-06 14:04:10,Amazon,DDIO,0,1,22,24,24,33,57,57,89,89,98
2023-12-06 14:04:12,Youtube,DDIO,0,0,1,5,5,27,135,136,207,207,216
2023-12-06 14:04:16,Bing,MSFG,0,0,1,6,7,29,74,75,139,171,219
2023-12-06 14:04:16,Amazon,MSFG,0,0,13,15,15,36,61,62,105,105,115
2023-12-06 14:04:18,Youtube,MSFG,0,0,1,4,4,32,165,165,269,269,284
2023-12-06 14:04:22,Bing,HOA,0,0,1,20,21,42,96,97,168,285,240
2023-12-06 14:04:23,Amazon,HOA,0,1,16,40,42,52,73,75,115,115,124
2023-12-06 14:04:24,Youtube,HOA,0,0,0,5,5,29,144,144,222,222,230
2023-12-06 14:04:29,Bing,FAFR,0,0,1,6,8,26,79,79,142,237,172
2023-12-06 14:04:30,Amazon,FAFR,0,0,33,35,35,46,68,68,103,103,111
2023-12-06 14:04:32,Youtube,FAFR,0,0,1,3,4,34,143,143,223,223,234
2023-12-06 14:04:37,Bing,WieSOichDichEmpfangen,0,0,4,11,12,32,86,87,156,218,174
2023-12-06 14:04:37,Amazon,WieSOichDichEmpfangen,0,1,37,56,57,69,95,95,136,136,149
2023-12-06 14:04:39,Youtube,WieSOichDichEmpfangen,0,0,2,5,6,36,145,146,210,210,224
2023-12-06 14:04:44,Bing,sagmichbitte,0,0,2,10,14,33,93,94,150,211,166
2023-12-06 14:04:44,Amazon,sagmichbitte,0,1,33,35,35,46,69,70,110,110,124
2023-12-06 14:04:46,Youtube,sagmichbitte,0,0,2,3,4,25,144,145,212,212,223
2023-12-06 14:04:51,Bing,ilAuraitSuffi,0,0,1,6,7,29,77,77,136,174,215
2023-12-06 14:04:51,Amazon,ilAuraitSuffi,0,1,26,27,27,41,64,64,100,100,109
2023-12-06 14:04:53,Youtube,ilAuraitSuffi,0,0,1,4,4,31,151,151,230,230,245
2023-12-06 14:04:57,Bing,Carnegie Mellon University,0,0,1,7,13,31,75,77,138,193,272
2023-12-06 14:04:58,Amazon,Carnegie Mellon University,0,1,28,29,29,38,58,59,94,95,103
2023-12-06 14:05:00,Youtube,Carnegie Mellon University,0,0,2,5,5,34,435,435,519,519,528
2023-12-06 14:05:05,Bing,Airbnb,0,0,1,6,7,28,79,80,145,194,156
2023-12-06 14:05:05,Amazon,Airbnb,0,1,19,20,20,38,58,59,93,93,102
2023-12-06 14:05:07,Youtube,Airbnb,0,0,1,4,4,23,138,139,215,215,223
2023-12-06 14:05:11,Bing,Facebook,0,0,2,6,7,27,72,72,131,181,211
2023-12-06 14:05:12,Amazon,Facebook,0,0,12,14,14,46,65,66,131,131,140
2023-12-06 14:05:14,Youtube,Facebook,0,0,1,19,20,45,163,164,233,233,246
2023-12-06 14:05:18,Bing,Youtube,0,0,2,8,9,29,71,72,130,273,150
2023-12-06 14:05:18,Amazon,Youtube,0,2,35,37,37,49,69,69,103,103,111
2023-12-06 14:05:20,Youtube,Youtube,0,0,1,3,3,24,132,132,205,205,217
2023-12-06 14:05:25,Bing,cirtic,0,0,2,7,8,28,75,75,135,207,224
2023-12-06 14:05:25,Amazon,cirtic,0,1,29,30,31,46,69,69,102,102,111
2023-12-06 14:05:27,Youtube,cirtic,0,0,1,3,4,26,136,137,229,229,240
2023-12-06 14:05:31,Bing,when would there be,0,0,1,6,8,27,76,76,142,191,157
2023-12-06 14:05:31,Amazon,when would there be,0,1,18,35,35,49,70,70,126,126,136
2023-12-06 14:05:34,Youtube,when would there be,0,0,1,3,4,25,134,134,196,196,205
2023-12-06 14:05:38,Bing,search the map for new,0,0,2,27,27,44,91,91,153,224,174
2023-12-06 14:05:38,Amazon,search the map for new,0,1,26,27,28,40,61,61,102,102,111
2023-12-06 14:05:42,Youtube,search the map for new,0,0,1,4,4,22,140,140,213,213,221
2023-12-06 14:05:46,Bing,suggestions on finals,0,0,2,6,8,27,76,77,142,215,267
2023-12-06 14:05:47,Amazon,suggestions on finals,0,1,27,51,51,61,82,82,115,115,126
2023-12-06 14:05:49,Youtube,suggestions on finals,0,0,1,4,5,26,136,137,206,206,214
2023-12-06 14:05:53,Bing,start,0,0,2,7,8,25,68,69,136,299,149
2023-12-06 14:05:53,Amazon,start,0,2,31,32,32,42,61,62,96,96,104
2023-12-06 14:05:55,Youtube,start,0,0,1,3,4,23,134,135,204,204,218
2023-12-06 14:05:59,Bing,ending,0,0,1,5,7,26,72,73,135,193,263
2023-12-06 14:05:59,Amazon,ending,0,1,26,27,28,37,57,58,94,94,104
2023-12-06 14:06:02,Youtube,ending,0,0,4,6,7,31,142,143,208,208,220
2023-12-06 14:06:06,Bing,safety,0,0,8,26,26,50,93,94,154,154,261
2023-12-06 14:06:06,Amazon,safety,0,3,17,32,32,43,70,72,109,109,122
2023-12-06 14:06:08,Youtube,safety,0,0,2,4,5,25,149,149,219,219,228
2023-12-06 14:06:13,Bing,data,0,0,1,6,7,29,73,73,137,181,270
2023-12-06 14:06:13,Amazon,data,0,1,41,44,44,54,75,75,113,113,123
2023-12-06 14:06:17,Youtube,data,0,0,2,4,5,26,139,140,211,211,223
2023-12-06 14:06:21,Bing,DDIO,0,0,1,26,26,51,99,99,173,320,188
2023-12-06 14:06:21,Amazon,DDIO,0,1,16,17,17,37,64,65,98,99,106
2023-12-06 14:06:24,Youtube,DDIO,0,0,3,5,6,26,137,137,210,210,226
2023-12-06 14:06:28,Bing,MSFG,0,0,2,7,8,25,69,69,174,334,205
2023-12-06 14:06:28,Amazon,MSFG,0,1,19,20,21,34,60,61,95,96,103
2023-12-06 14:06:30,Youtube,MSFG,0,0,1,4,4,35,169,169,239,239,252
2023-12-06 14:06:36,Bing,HOA,0,0,2,6,7,25,69,69,134,179,272
2023-12-06 14:06:36,Amazon,HOA,0,0,14,15,15,33,56,57,96,96,109
