64 bytes from 181.214.166.67: icmp_seq=0 ttl=51 time=34.250 ms
64 bytes from 181.214.166.67: icmp_seq=1 ttl=51 time=31.781 ms
64 bytes from 181.214.166.67: icmp_seq=2 ttl=51 time=32.263 ms
64 bytes from 181.214.166.67: icmp_seq=3 ttl=51 time=32.196 ms
64 bytes from 181.214.166.67: icmp_seq=4 ttl=51 time=31.598 ms
64 bytes from 181.214.166.67: icmp_seq=5 ttl=51 time=30.819 ms
64 bytes from 181.214.166.67: icmp_seq=6 ttl=51 time=31.982 ms
64 bytes from 181.214.166.67: icmp_seq=7 ttl=51 time=34.502 ms
64 bytes from 181.214.166.67: icmp_seq=8 ttl=51 time=38.259 ms
64 bytes from 181.214.166.67: icmp_seq=9 ttl=51 time=37.832 ms
64 bytes from 181.214.166.67: icmp_seq=10 ttl=51 time=36.261 ms
64 bytes from 181.214.166.67: icmp_seq=11 ttl=51 time=35.799 ms
64 bytes from 181.214.166.67: icmp_seq=12 ttl=51 time=32.463 ms
64 bytes from 181.214.166.67: icmp_seq=13 ttl=51 time=37.938 ms
64 bytes from 181.214.166.67: icmp_seq=14 ttl=51 time=40.372 ms
64 bytes from 181.214.166.67: icmp_seq=15 ttl=51 time=37.802 ms
64 bytes from 181.214.166.67: icmp_seq=16 ttl=51 time=38.788 ms
64 bytes from 181.214.166.67: icmp_seq=17 ttl=51 time=38.683 ms
64 bytes from 181.214.166.67: icmp_seq=18 ttl=51 time=38.729 ms
64 bytes from 181.214.166.67: icmp_seq=19 ttl=51 time=40.735 ms
64 bytes from 181.214.166.67: icmp_seq=20 ttl=51 time=39.187 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 20:42:13,299,380,464,574,81,110
2023-11-05 20:42:27,3,85,175,285,82,110
2023-11-05 20:42:42,6,87,174,283,81,109
2023-11-05 20:42:56,3,84,169,279,81,110
2023-11-05 20:43:10,3,83,172,284,80,112
2023-11-05 20:43:25,4,85,171,279,81,108
2023-11-05 20:43:39,3,83,173,286,80,113
2023-11-05 20:43:54,4,86,173,283,82,110
2023-11-05 20:44:08,3,82,169,281,79,112
2023-11-05 20:44:23,5,85,170,281,80,111
2023-11-05 20:44:37,4,85,173,285,81,112
2023-11-05 20:44:52,3,85,172,282,82,110
2023-11-05 20:45:06,3,84,170,283,81,113
2023-11-05 20:45:20,4,86,181,290,82,109
2023-11-05 20:45:35,4,85,174,288,81,114
2023-11-05 20:45:49,3,84,166,276,81,110
2023-11-05 20:46:04,3,84,168,277,81,109
2023-11-05 20:46:19,3,86,173,284,83,111
2023-11-05 20:46:33,3,84,166,274,81,108
2023-11-05 20:46:48,2,84,174,286,82,112
2023-11-05 20:47:02,2,82,166,279,80,113
2023-11-05 20:47:16,3,89,174,283,86,109
2023-11-05 20:47:30,3,84,173,283,81,110
2023-11-05 20:47:45,3,84,171,280,81,109
2023-11-05 20:47:59,3,85,169,277,82,108
2023-11-05 20:48:14,2,84,170,278,82,108
2023-11-05 20:48:28,3,87,173,284,84,111
2023-11-05 20:48:42,3,83,177,286,80,109
2023-11-05 20:48:57,3,82,165,275,79,110
2023-11-05 20:49:11,3,88,180,288,85,108
