dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:09:11,Bing,Carnegie Mellon University,0,0,6,32,32,73,152,152,249,249,372
2023-12-05 21:09:11,Amazon,Carnegie Mellon University,0,1,3,72,72,121,178,179,265,265,273
2023-12-05 21:09:14,Youtube,Carnegie Mellon University,0,0,1,31,32,94,345,345,484,484,500
2023-12-05 21:09:19,Bing,Airbnb,0,1,7,7,7,384,515,515,870,870,883
2023-12-05 21:09:20,Amazon,Airbnb,0,6,12,13,14,59,197,198,361,361,375
2023-12-05 21:09:26,Youtube,Airbnb,0,0,2,6,7,69,230,231,595,595,611
2023-12-05 21:09:30,Bing,Facebook,0,0,8,8,8,38,279,279,350,350,362
2023-12-05 21:09:31,Amazon,Facebook,0,1,5,7,8,46,95,95,251,251,259
2023-12-05 21:09:34,Youtube,Facebook,0,0,1,4,4,43,201,202,286,286,293
2023-12-05 21:09:38,Bing,Youtube,0,0,7,7,7,39,127,127,200,200,333
2023-12-05 21:09:39,Amazon,Youtube,0,0,4,5,5,33,115,115,170,170,178
2023-12-05 21:09:41,Youtube,Youtube,0,0,3,6,7,44,230,231,342,342,355
2023-12-05 21:09:46,Bing,cirtic,0,0,8,8,8,37,120,120,198,198,208
2023-12-05 21:09:46,Amazon,cirtic,0,1,3,4,5,58,110,110,183,183,190
2023-12-05 21:09:48,Youtube,cirtic,0,0,1,3,3,38,243,243,329,329,339
2023-12-05 21:09:52,Bing,when would there be,0,0,7,7,7,56,132,132,214,214,225
2023-12-05 21:09:53,Amazon,when would there be,0,0,2,3,5,45,99,99,163,163,170
2023-12-05 21:09:56,Youtube,when would there be,0,0,1,5,5,75,436,437,555,555,573
2023-12-05 21:10:00,Bing,search the map for new,0,0,6,6,7,35,115,115,181,181,311
2023-12-05 21:10:00,Amazon,search the map for new,0,4,6,8,8,40,95,95,147,147,157
2023-12-05 21:10:04,Youtube,search the map for new,0,0,3,5,6,40,358,358,447,447,463
2023-12-05 21:10:08,Bing,suggestions on finals,0,0,9,62,62,96,147,147,282,282,298
2023-12-05 21:10:09,Amazon,suggestions on finals,0,0,6,7,7,46,95,95,153,153,161
2023-12-05 21:10:12,Youtube,suggestions on finals,0,0,2,5,5,73,290,290,441,441,449
2023-12-05 21:10:16,Bing,start,0,0,7,7,7,47,96,96,179,179,218
2023-12-05 21:10:16,Amazon,start,0,1,6,7,8,40,83,83,128,128,137
2023-12-05 21:10:19,Youtube,start,0,0,1,3,4,103,549,549,652,652,660
2023-12-05 21:10:23,Bing,ending,0,0,7,7,7,36,85,85,207,207,355
2023-12-05 21:10:24,Amazon,ending,0,1,12,13,15,81,367,368,447,447,457
2023-12-05 21:10:32,Bing,safety,0,0,4,4,5,48,97,97,182,182,260
2023-12-05 21:10:32,Amazon,safety,0,1,5,37,38,93,133,133,200,200,209
2023-12-05 21:10:35,Youtube,safety,0,0,2,4,4,58,317,317,485,485,494
2023-12-05 21:10:40,Bing,data,0,0,7,7,7,38,100,100,187,187,341
2023-12-05 21:10:43,Youtube,data,0,0,2,4,5,44,201,202,305,305,315
2023-12-05 21:10:48,Bing,DDIO,0,0,7,7,7,46,96,96,171,171,314
2023-12-05 21:10:48,Amazon,DDIO,0,1,5,7,7,44,112,112,165,165,172
2023-12-05 21:10:55,Bing,MSFG,0,0,6,39,39,74,129,129,203,203,344
2023-12-05 21:10:55,Amazon,MSFG,0,1,3,5,5,35,99,100,165,165,174
2023-12-05 21:11:00,Youtube,MSFG,0,0,1,2,3,44,284,285,369,369,380
2023-12-05 21:11:04,Bing,HOA,0,0,16,43,44,79,325,326,402,402,419
2023-12-05 21:11:07,Youtube,HOA,0,0,1,3,4,59,217,217,324,324,333
2023-12-05 21:11:12,Bing,FAFR,0,0,8,9,9,35,125,125,238,238,251
2023-12-05 21:11:16,Youtube,FAFR,0,0,1,5,5,50,289,291,409,409,419
2023-12-05 21:11:21,Bing,WieSOichDichEmpfangen,0,0,7,7,7,31,140,141,290,290,303
2023-12-05 21:11:21,Amazon,WieSOichDichEmpfangen,0,1,3,4,4,36,267,267,334,334,342
2023-12-05 21:11:25,Youtube,WieSOichDichEmpfangen,0,0,1,4,5,45,528,529,639,639,648
2023-12-05 21:11:29,Bing,sagmichbitte,0,0,9,9,10,67,150,151,219,219,230
2023-12-05 21:11:30,Amazon,sagmichbitte,0,0,4,81,82,115,175,175,221,222,229
2023-12-05 21:11:36,Youtube,sagmichbitte,0,0,1,3,3,44,213,213,315,315,322
2023-12-05 21:11:40,Bing,ilAuraitSuffi,0,0,6,6,7,53,139,140,227,227,368
2023-12-05 21:11:45,Youtube,ilAuraitSuffi,0,0,1,4,4,44,244,245,414,414,424
2023-12-05 21:11:49,Bing,Carnegie Mellon University,0,0,8,8,8,139,306,306,404,404,416
2023-12-05 21:11:54,Youtube,Carnegie Mellon University,0,0,1,3,3,67,259,260,375,375,387
2023-12-05 21:11:58,Bing,Airbnb,0,0,6,6,7,42,127,128,240,240,256
2023-12-05 21:11:59,Amazon,Airbnb,0,0,3,4,5,58,110,110,174,174,182
2023-12-05 21:12:02,Youtube,Airbnb,0,0,1,5,6,73,259,260,351,351,359
2023-12-05 21:12:06,Bing,Facebook,0,0,7,7,7,53,145,146,243,243,255
2023-12-05 21:12:07,Amazon,Facebook,0,1,8,9,10,53,98,98,175,175,187
2023-12-05 21:12:10,Youtube,Facebook,0,0,8,11,12,71,278,279,533,533,547
2023-12-05 21:12:15,Bing,Youtube,0,0,7,56,56,97,146,146,240,240,258
2023-12-05 21:12:17,Amazon,Youtube,0,1,4,5,6,32,85,86,247,247,255
2023-12-05 21:12:19,Youtube,Youtube,0,54,55,59,60,144,456,456,580,580,589
2023-12-05 21:12:24,Bing,cirtic,0,0,8,8,8,43,95,95,173,173,194
2023-12-05 21:12:25,Amazon,cirtic,0,1,6,7,8,49,87,88,160,160,174
2023-12-05 21:12:30,Youtube,cirtic,0,0,1,3,3,36,197,198,288,288,296
2023-12-05 21:12:35,Bing,when would there be,0,0,8,33,33,74,121,122,195,195,209
2023-12-05 21:12:35,Amazon,when would there be,0,1,6,83,83,124,185,186,250,250,259
2023-12-05 21:12:38,Youtube,when would there be,0,0,1,6,6,46,520,520,658,658,667
2023-12-05 21:12:43,Bing,search the map for new,0,0,7,7,8,37,87,87,253,253,350
2023-12-05 21:12:43,Amazon,search the map for new,0,1,4,6,7,32,70,70,182,183,191
2023-12-05 21:12:46,Youtube,search the map for new,0,0,3,5,6,120,323,324,464,464,474
2023-12-05 21:12:51,Bing,suggestions on finals,0,0,8,9,9,50,164,165,365,365,397
2023-12-05 21:12:52,Amazon,suggestions on finals,0,1,5,7,7,44,142,142,204,204,212
2023-12-05 21:12:56,Youtube,suggestions on finals,0,0,1,5,5,68,233,233,335,335,347
2023-12-05 21:13:00,Bing,start,0,0,5,6,6,60,138,139,284,284,331
2023-12-05 21:13:00,Amazon,start,0,1,3,4,5,41,94,94,157,157,165
2023-12-05 21:13:03,Youtube,start,0,0,1,3,4,51,217,217,323,323,332
2023-12-05 21:13:08,Bing,ending,0,0,6,7,7,32,84,84,408,408,510
2023-12-05 21:13:14,Youtube,ending,0,0,1,3,4,70,550,551,655,655,664
2023-12-05 21:13:19,Bing,safety,0,0,9,567,567,730,790,791,879,879,1007
2023-12-05 21:13:20,Amazon,safety,0,3,6,7,8,38,95,96,157,157,169
2023-12-05 21:13:23,Youtube,safety,0,0,1,3,3,60,249,250,332,332,344
2023-12-05 21:13:28,Bing,data,0,0,6,7,7,49,115,115,244,244,301
2023-12-05 21:13:28,Amazon,data,0,0,5,8,8,57,124,124,195,195,203
2023-12-05 21:13:32,Youtube,data,0,0,1,2,4,72,430,430,562,562,575
2023-12-05 21:13:36,Bing,DDIO,0,0,6,7,7,33,111,112,192,192,216
2023-12-05 21:13:42,Youtube,DDIO,0,0,1,2,3,94,292,293,387,387,396
2023-12-05 21:13:47,Bing,MSFG,0,0,6,6,6,35,103,104,422,422,439
2023-12-05 21:13:51,Youtube,MSFG,0,0,1,3,4,54,287,288,521,521,534
