dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 23:01:33,85,128,184,276,43,49,Bing,Carnegie Mellon University
2023-12-04 23:01:35,41,90,150,281,49,82,Amazon,Carnegie Mellon University
2023-12-04 23:01:37,88,130,359,522,42,121,Youtube,Carnegie Mellon University
2023-12-04 23:01:42,8,46,99,209,38,72,Bing,Airbnb
2023-12-04 23:01:44,6,52,107,220,46,67,Amazon,Airbnb
2023-12-04 23:01:54,4,57,302,425,53,70,Amazon,Facebook
2023-12-04 23:01:57,58,100,333,407,42,32,Youtube,Facebook
2023-12-04 23:02:01,42,83,136,258,41,81,Bing,Youtube
2023-12-04 23:02:03,7,58,114,242,51,77,Amazon,Youtube
2023-12-04 23:02:05,43,78,203,279,35,41,Youtube,Youtube
2023-12-04 23:02:09,7,41,92,316,34,190,Bing,cirtic
2023-12-04 23:02:10,4,53,111,221,49,61,Amazon,cirtic
2023-12-04 23:02:12,41,77,193,263,36,34,Youtube,cirtic
2023-12-04 23:02:16,41,78,133,280,37,110,Bing,when would there be
2023-12-04 23:02:19,5,55,110,224,50,64,Amazon,when would there be
2023-12-04 23:02:21,41,76,212,289,35,42,Youtube,when would there be
2023-12-04 23:02:25,8,44,103,209,36,70,Bing,search the map for new
2023-12-04 23:02:26,7,60,118,245,53,74,Amazon,search the map for new
2023-12-04 23:02:28,45,85,213,286,40,33,Youtube,search the map for new
2023-12-04 23:02:32,44,81,136,241,37,68,Bing,suggestions on finals
2023-12-04 23:02:34,3,54,112,232,51,69,Amazon,suggestions on finals
2023-12-04 23:02:37,41,79,209,276,38,29,Youtube,suggestions on finals
2023-12-04 23:02:41,6,42,92,213,36,85,Bing,start
2023-12-04 23:02:43,93,148,204,328,55,69,Amazon,start
2023-12-04 23:02:45,45,87,213,279,42,24,Youtube,start
2023-12-04 23:02:49,6,40,91,189,34,64,Bing,ending
2023-12-04 23:02:52,5,52,109,221,47,65,Amazon,ending
2023-12-04 23:02:54,45,82,221,288,37,30,Youtube,ending
2023-12-04 23:02:58,40,77,131,265,37,97,Bing,safety
2023-12-04 23:03:00,4,89,166,284,85,33,Amazon,safety
2023-12-04 23:03:04,58,95,235,309,37,37,Youtube,safety
2023-12-04 23:03:09,6,53,315,415,47,53,Bing,data
2023-12-04 23:03:11,5,52,320,439,47,72,Amazon,data
2023-12-04 23:03:14,52,111,452,530,59,19,Youtube,data
2023-12-04 23:03:19,172,212,263,363,40,60,Bing,DDIO
2023-12-04 23:03:23,41,79,470,540,38,32,Youtube,DDIO
2023-12-04 23:03:28,6,43,99,433,37,297,Bing,MSFG
2023-12-04 23:03:29,5,63,130,285,58,97,Amazon,MSFG
2023-12-04 23:03:36,6,40,89,179,34,56,Bing,HOA
2023-12-04 23:03:38,4,56,117,294,52,125,Amazon,HOA
2023-12-04 23:03:40,50,99,244,318,49,25,Youtube,HOA
2023-12-04 23:03:44,6,40,92,185,34,59,Bing,FAFR
2023-12-04 23:03:45,6,53,115,239,47,77,Amazon,FAFR
2023-12-04 23:03:47,43,81,201,272,38,33,Youtube,FAFR
2023-12-04 23:03:51,9,44,94,211,35,82,Bing,WieSOichDichEmpfangen
2023-12-04 23:03:52,7,59,123,245,52,70,Amazon,WieSOichDichEmpfangen
2023-12-04 23:03:54,37,77,211,276,40,25,Youtube,WieSOichDichEmpfangen
2023-12-04 23:03:58,9,44,101,200,35,64,Bing,sagmichbitte
2023-12-04 23:03:59,5,52,112,225,47,66,Amazon,sagmichbitte
2023-12-04 23:04:00,39,74,197,274,35,42,Youtube,sagmichbitte
2023-12-04 23:04:05,41,77,129,295,36,130,Bing,ilAuraitSuffi
2023-12-04 23:04:06,4,52,111,225,48,66,Amazon,ilAuraitSuffi
2023-12-04 23:04:08,72,110,233,301,38,30,Youtube,ilAuraitSuffi
2023-12-04 23:04:22,6,46,96,194,40,58,Bing,Carnegie Mellon University
2023-12-04 23:04:24,7,54,110,227,47,70,Amazon,Carnegie Mellon University
2023-12-04 23:04:26,61,98,235,309,37,37,Youtube,Carnegie Mellon University
2023-12-04 23:04:30,54,91,142,254,37,75,Bing,Airbnb
2023-12-04 23:04:32,6,53,109,220,47,64,Amazon,Airbnb
2023-12-04 23:04:34,50,83,208,287,33,46,Youtube,Airbnb
2023-12-04 23:04:38,7,42,90,182,35,57,Bing,Facebook
2023-12-04 23:04:39,6,57,119,230,51,60,Amazon,Facebook
2023-12-04 23:04:42,44,86,230,311,42,39,Youtube,Facebook
2023-12-04 23:04:46,7,46,106,233,39,88,Bing,Youtube
2023-12-04 23:04:48,7,53,112,242,46,84,Amazon,Youtube
2023-12-04 23:04:51,50,85,240,313,35,38,Youtube,Youtube
2023-12-04 23:04:55,40,76,128,218,36,54,Bing,cirtic
2023-12-04 23:04:56,8,64,123,240,56,61,Amazon,cirtic
2023-12-04 23:04:59,39,80,213,289,41,35,Youtube,cirtic
2023-12-04 23:05:03,7,44,107,248,37,104,Bing,when would there be
2023-12-04 23:05:04,4,53,115,241,49,77,Amazon,when would there be
2023-12-04 23:05:07,38,81,219,287,43,25,Youtube,when would there be
2023-12-04 23:05:11,7,43,93,192,36,63,Bing,search the map for new
2023-12-04 23:05:12,17,66,126,245,49,70,Amazon,search the map for new
2023-12-04 23:05:14,60,96,225,298,36,37,Youtube,search the map for new
2023-12-04 23:05:18,43,82,138,237,39,60,Bing,suggestions on finals
2023-12-04 23:05:20,203,266,341,478,63,74,Amazon,suggestions on finals
2023-12-04 23:05:22,42,81,205,287,39,43,Youtube,suggestions on finals
2023-12-04 23:05:26,9,46,109,231,37,85,Bing,start
2023-12-04 23:05:28,10,58,161,291,48,82,Amazon,start
2023-12-04 23:05:30,44,83,212,289,39,38,Youtube,start
2023-12-04 23:05:34,6,45,94,190,39,57,Bing,ending
2023-12-04 23:05:36,4,58,119,242,54,69,Amazon,ending
2023-12-04 23:05:38,49,93,220,314,44,50,Youtube,ending
2023-12-04 23:05:42,7,43,101,235,36,98,Bing,safety
2023-12-04 23:05:50,57,97,199,269,40,30,Youtube,safety
2023-12-04 23:05:53,40,76,125,395,36,234,Bing,data
2023-12-04 23:05:55,4,54,110,239,50,79,Amazon,data
2023-12-04 23:05:58,46,85,227,312,39,46,Youtube,data
