64 bytes from 89.149.14.78: icmp_seq=0 ttl=43 time=50.334 ms
64 bytes from 89.149.14.78: icmp_seq=1 ttl=43 time=47.512 ms
64 bytes from 89.149.14.78: icmp_seq=2 ttl=43 time=47.751 ms
64 bytes from 89.149.14.78: icmp_seq=3 ttl=43 time=51.089 ms
64 bytes from 89.149.14.78: icmp_seq=4 ttl=43 time=46.884 ms
64 bytes from 89.149.14.78: icmp_seq=5 ttl=43 time=50.219 ms
64 bytes from 89.149.14.78: icmp_seq=6 ttl=43 time=56.523 ms
64 bytes from 89.149.14.78: icmp_seq=7 ttl=43 time=49.669 ms
64 bytes from 89.149.14.78: icmp_seq=8 ttl=43 time=48.227 ms
64 bytes from 89.149.14.78: icmp_seq=9 ttl=43 time=54.911 ms
64 bytes from 89.149.14.78: icmp_seq=10 ttl=43 time=48.432 ms
64 bytes from 89.149.14.78: icmp_seq=11 ttl=43 time=54.770 ms
64 bytes from 89.149.14.78: icmp_seq=12 ttl=43 time=61.620 ms
64 bytes from 89.149.14.78: icmp_seq=13 ttl=43 time=54.798 ms
64 bytes from 89.149.14.78: icmp_seq=14 ttl=43 time=53.685 ms
64 bytes from 89.149.14.78: icmp_seq=15 ttl=43 time=54.480 ms
64 bytes from 89.149.14.78: icmp_seq=16 ttl=43 time=53.823 ms
64 bytes from 89.149.14.78: icmp_seq=17 ttl=43 time=55.584 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 20:20:59,211,262,318,385,51,67
2023-11-05 20:21:13,9,57,114,184,48,70
2023-11-05 20:21:27,3,54,106,177,51,71
2023-11-05 20:21:42,4,56,112,178,52,66
2023-11-05 20:21:56,3,51,104,170,48,66
2023-11-05 20:22:10,3,52,107,178,49,71
2023-11-05 20:22:26,6,55,111,181,49,70
2023-11-05 20:22:41,3,52,112,178,49,66
2023-11-05 20:22:57,4,73,158,448,69,290
2023-11-05 20:23:11,3,54,109,177,51,68
2023-11-05 20:23:26,3,51,110,179,48,69
2023-11-05 20:23:41,6,58,112,179,52,67
2023-11-05 20:23:55,3,54,110,178,51,68
2023-11-05 20:24:09,3,52,105,170,49,65
2023-11-05 20:24:23,4,55,106,173,51,67
2023-11-05 20:24:38,2,53,106,171,51,65
2023-11-05 20:24:53,3,54,110,178,51,68
2023-11-05 20:25:07,3,53,111,176,50,65
2023-11-05 20:25:22,3,55,332,397,52,65
2023-11-05 20:25:36,3,52,106,172,49,66
2023-11-05 20:25:50,3,58,111,176,55,65
2023-11-05 20:26:04,3,51,104,172,48,68
2023-11-05 20:26:19,3,52,115,183,49,68
2023-11-05 20:26:33,3,52,104,170,49,66
2023-11-05 20:26:47,2,51,106,176,49,70
2023-11-05 20:27:01,2,51,102,168,49,66
2023-11-05 20:27:15,3,58,112,178,55,66
2023-11-05 20:27:30,2,53,106,177,51,71
2023-11-05 20:27:44,2,51,107,175,49,68
2023-11-05 20:27:58,3,52,110,176,49,66
