dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 14:01:45,49,74,120,182,25,37,Bing,Carnegie Mellon University
2023-12-04 14:01:47,67,97,133,240,30,77,Amazon,Carnegie Mellon University
2023-12-04 14:01:49,70,97,308,409,27,74,Youtube,Carnegie Mellon University
2023-12-04 14:01:54,7,35,80,159,28,51,Bing,Airbnb
2023-12-04 14:01:56,7,38,77,191,31,83,Amazon,Airbnb
2023-12-04 14:01:58,56,86,303,436,30,103,Youtube,Airbnb
2023-12-04 14:02:02,34,70,119,187,36,32,Bing,Facebook
2023-12-04 14:02:04,12,42,80,187,30,77,Amazon,Facebook
2023-12-04 14:02:06,47,84,229,313,37,47,Youtube,Facebook
2023-12-04 14:02:10,7,32,75,221,25,121,Bing,Youtube
2023-12-04 14:02:12,4,39,74,181,35,72,Amazon,Youtube
2023-12-04 14:02:14,43,72,232,304,29,43,Youtube,Youtube
2023-12-04 14:02:18,7,39,78,238,32,128,Bing,cirtic
2023-12-04 14:02:20,4,34,72,179,30,77,Amazon,cirtic
2023-12-04 14:02:22,55,87,233,320,32,55,Youtube,cirtic
2023-12-04 14:02:25,6,33,79,156,27,50,Bing,when would there be
2023-12-04 14:02:27,4,34,73,173,30,70,Amazon,when would there be
2023-12-04 14:02:29,47,81,233,314,34,47,Youtube,when would there be
2023-12-04 14:02:33,33,60,110,215,27,78,Bing,search the map for new
2023-12-04 14:02:35,5,33,74,184,28,82,Amazon,search the map for new
2023-12-04 14:02:39,56,90,226,306,34,46,Youtube,search the map for new
2023-12-04 14:02:43,7,37,76,145,30,39,Bing,suggestions on finals
2023-12-04 14:02:44,9,36,72,188,27,89,Amazon,suggestions on finals
2023-12-04 14:02:46,46,78,224,302,32,46,Youtube,suggestions on finals
2023-12-04 14:02:51,6,39,78,199,33,88,Bing,start
2023-12-04 14:02:53,9,38,77,182,29,76,Amazon,start
2023-12-04 14:02:55,45,82,248,382,37,97,Youtube,start
2023-12-04 14:02:59,6,34,81,204,28,95,Bing,ending
2023-12-04 14:03:01,6,34,70,207,28,109,Amazon,ending
2023-12-04 14:03:05,49,81,221,307,32,54,Youtube,ending
2023-12-04 14:03:09,38,66,106,173,28,39,Bing,safety
2023-12-04 14:03:11,64,91,127,234,27,80,Amazon,safety
2023-12-04 14:03:13,56,94,234,324,38,52,Youtube,safety
2023-12-04 14:03:17,7,33,72,163,26,65,Bing,data
2023-12-04 14:03:19,9,45,83,188,36,69,Amazon,data
2023-12-04 14:03:21,40,75,223,304,35,46,Youtube,data
2023-12-04 14:03:25,47,75,141,208,28,39,Bing,DDIO
2023-12-04 14:03:26,7,36,73,209,29,107,Amazon,DDIO
2023-12-04 14:03:29,45,86,226,307,41,40,Youtube,DDIO
2023-12-04 14:03:33,4,33,98,171,29,44,Bing,MSFG
2023-12-04 14:03:34,5,34,73,234,29,132,Amazon,MSFG
2023-12-04 14:03:36,53,87,228,313,34,51,Youtube,MSFG
2023-12-04 14:03:40,8,34,94,185,26,65,Bing,HOA
2023-12-04 14:03:42,7,43,86,190,36,68,Amazon,HOA
2023-12-04 14:03:45,58,93,249,322,35,38,Youtube,HOA
2023-12-04 14:03:49,34,60,126,198,26,46,Bing,FAFR
2023-12-04 14:03:51,5,35,78,184,30,76,Amazon,FAFR
2023-12-04 14:03:53,61,95,255,330,34,41,Youtube,FAFR
2023-12-04 14:03:57,6,33,95,167,27,45,Bing,WieSOichDichEmpfangen
2023-12-04 14:03:58,6,37,76,202,31,95,Amazon,WieSOichDichEmpfangen
2023-12-04 14:04:00,41,74,223,307,33,51,Youtube,WieSOichDichEmpfangen
2023-12-04 14:04:04,8,33,93,163,25,45,Bing,sagmichbitte
2023-12-04 14:04:05,5,48,86,187,43,58,Amazon,sagmichbitte
2023-12-04 14:04:08,39,70,220,298,31,47,Youtube,sagmichbitte
2023-12-04 14:04:13,5,34,101,214,29,84,Amazon,ilAuraitSuffi
2023-12-04 14:04:15,32,60,204,278,28,46,Youtube,ilAuraitSuffi
2023-12-04 14:04:29,7,32,72,149,25,52,Bing,Carnegie Mellon University
2023-12-04 14:04:31,58,88,128,233,30,75,Amazon,Carnegie Mellon University
2023-12-04 14:04:32,57,88,226,310,31,53,Youtube,Carnegie Mellon University
2023-12-04 14:04:37,6,34,81,147,28,38,Bing,Airbnb
2023-12-04 14:04:38,5,37,78,178,32,68,Amazon,Airbnb
2023-12-04 14:04:40,68,101,249,340,33,58,Youtube,Airbnb
2023-12-04 14:04:45,11,36,84,154,25,45,Bing,Facebook
2023-12-04 14:04:47,16,55,97,200,39,64,Amazon,Facebook
2023-12-04 14:04:48,87,117,269,343,30,44,Youtube,Facebook
2023-12-04 14:04:54,10,47,96,291,37,158,Bing,Youtube
2023-12-04 14:04:55,10,42,82,182,32,68,Amazon,Youtube
2023-12-04 14:04:57,63,102,257,333,39,37,Youtube,Youtube
2023-12-04 14:05:02,11,59,109,195,48,38,Bing,cirtic
2023-12-04 14:05:04,10,45,91,207,35,81,Amazon,cirtic
2023-12-04 14:05:11,10,43,100,194,33,61,Bing,when would there be
2023-12-04 14:05:12,18,46,87,198,28,83,Amazon,when would there be
2023-12-04 14:05:17,48,89,241,317,41,35,Youtube,when would there be
2023-12-04 14:05:22,15,45,91,161,30,40,Bing,search the map for new
2023-12-04 14:05:23,10,40,79,209,30,100,Amazon,search the map for new
2023-12-04 14:05:26,58,90,246,358,32,80,Youtube,search the map for new
2023-12-04 14:05:34,14,163,333,504,149,22,Amazon,suggestions on finals
2023-12-04 14:05:37,78,115,264,342,37,41,Youtube,suggestions on finals
2023-12-04 14:05:42,16,51,104,172,35,33,Bing,start
2023-12-04 14:05:45,24,58,99,220,34,87,Amazon,start
2023-12-04 14:05:47,64,97,232,313,33,48,Youtube,start
2023-12-04 14:05:52,9,37,91,160,28,41,Bing,ending
2023-12-04 14:05:54,14,45,88,185,31,66,Amazon,ending
2023-12-04 14:05:56,60,92,246,320,32,42,Youtube,ending
2023-12-04 14:06:01,9,34,84,392,25,283,Bing,safety
2023-12-04 14:06:03,12,45,87,211,33,91,Amazon,safety
2023-12-04 14:06:05,51,82,240,327,31,56,Youtube,safety
2023-12-04 14:06:10,50,80,142,212,30,40,Bing,data
2023-12-04 14:06:12,8,47,87,226,39,100,Amazon,data
2023-12-04 14:06:15,61,89,227,307,28,52,Youtube,data
2023-12-04 14:06:20,9,32,100,203,23,80,Bing,DDIO
2023-12-04 14:06:21,18,57,101,202,39,62,Amazon,DDIO
2023-12-04 14:06:23,59,108,266,360,49,45,Youtube,DDIO
2023-12-04 14:06:30,39,65,117,524,26,381,Bing,MSFG
2023-12-04 14:06:31,14,45,93,199,31,75,Amazon,MSFG
2023-12-04 14:06:34,80,111,255,337,31,51,Youtube,MSFG
2023-12-04 14:06:39,11,40,95,171,29,47,Bing,HOA
2023-12-04 14:06:40,9,38,79,191,29,83,Amazon,HOA
2023-12-04 14:06:43,77,136,276,358,59,23,Youtube,HOA
2023-12-04 14:06:47,12,60,125,201,48,28,Bing,FAFR
2023-12-04 14:06:49,19,56,100,210,37,73,Amazon,FAFR
2023-12-04 14:06:52,66,98,247,333,32,54,Youtube,FAFR
