dateTime,service site,searching string,navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,secureConnectionStart,connectEnd,requestStart,responseStart,responseEnd,domLoading
2023-12-05 21:54:40,Bing,Carnegie Mellon University,0,0,9,93,93,176,271,271,458,458,498
2023-12-05 21:54:41,Amazon,Carnegie Mellon University,0,1,11,109,109,280,379,379,570,571,580
2023-12-05 21:54:46,Youtube,Carnegie Mellon University,0,0,1,86,87,218,743,744,948,948,958
2023-12-05 21:54:52,Bing,Airbnb,0,0,19,19,20,167,277,278,478,478,525
2023-12-05 21:54:53,Amazon,Airbnb,0,1,14,21,21,142,240,240,419,419,437
2023-12-05 21:54:58,Youtube,Airbnb,0,0,0,3,4,133,581,581,749,749,761
2023-12-05 21:55:03,Bing,Facebook,0,0,12,114,115,213,317,317,479,479,519
2023-12-05 21:55:04,Amazon,Facebook,0,1,3,100,101,207,307,307,482,484,493
2023-12-05 21:55:08,Youtube,Facebook,0,0,1,4,4,144,591,591,906,906,923
2023-12-05 21:55:12,Bing,Youtube,0,0,7,7,7,93,200,200,362,362,420
2023-12-05 21:55:13,Amazon,Youtube,0,0,3,4,4,101,207,207,391,391,403
2023-12-05 21:55:19,Youtube,Youtube,0,0,1,3,3,146,599,600,759,759,768
2023-12-05 21:55:23,Bing,cirtic,0,0,7,102,103,202,304,304,435,435,487
2023-12-05 21:55:24,Amazon,cirtic,0,0,2,5,5,94,199,199,489,489,508
2023-12-05 21:55:34,Bing,when would there be,0,0,9,9,9,119,225,225,396,396,432
2023-12-05 21:55:35,Amazon,when would there be,0,1,4,5,6,110,224,225,441,441,449
2023-12-05 21:55:39,Youtube,when would there be,0,0,1,3,4,116,545,546,718,718,727
2023-12-05 21:55:44,Bing,search the map for new,0,0,7,97,97,185,291,292,456,456,508
2023-12-05 21:55:45,Amazon,search the map for new,0,1,3,93,94,184,288,288,451,455,465
2023-12-05 21:55:49,Youtube,search the map for new,0,0,1,4,4,127,612,612,775,775,785
2023-12-05 21:55:55,Bing,suggestions on finals,0,0,12,13,13,105,204,204,420,420,519
2023-12-05 21:55:56,Amazon,suggestions on finals,0,1,5,7,7,106,232,232,393,393,407
2023-12-05 21:56:01,Youtube,suggestions on finals,0,0,1,3,3,115,579,580,750,750,760
2023-12-05 21:56:06,Bing,start,0,0,7,7,8,98,233,233,448,448,569
2023-12-05 21:56:07,Amazon,start,0,1,8,10,10,107,325,326,498,498,506
2023-12-05 21:56:11,Youtube,start,0,0,1,3,3,122,574,574,841,841,849
2023-12-05 21:56:16,Bing,ending,0,0,5,366,367,462,585,585,720,720,770
2023-12-05 21:56:17,Amazon,ending,0,1,4,5,6,110,289,289,449,451,459
2023-12-05 21:56:21,Youtube,ending,0,0,1,3,4,168,618,619,809,809,818
2023-12-05 21:56:26,Bing,safety,0,0,8,109,110,194,307,307,442,442,500
2023-12-05 21:56:27,Amazon,safety,0,1,3,4,4,108,215,215,415,416,422
2023-12-05 21:56:31,Youtube,safety,0,0,1,3,3,117,520,521,852,852,864
2023-12-05 21:56:36,Bing,data,0,0,7,7,7,91,208,209,395,395,431
2023-12-05 21:56:39,Amazon,data,0,1,6,7,7,120,261,261,484,484,497
2023-12-05 21:56:43,Youtube,data,0,60,65,69,71,181,490,490,684,684,700
2023-12-05 21:56:47,Bing,DDIO,0,0,8,12,13,107,221,221,397,397,437
2023-12-05 21:56:48,Amazon,DDIO,0,0,5,6,7,121,229,230,417,418,434
2023-12-05 21:56:52,Youtube,DDIO,0,0,1,4,4,170,643,643,853,853,867
2023-12-05 21:56:57,Bing,MSFG,0,0,6,93,93,178,291,291,506,506,539
2023-12-05 21:56:58,Amazon,MSFG,0,1,3,105,105,204,298,299,515,515,526
2023-12-05 21:57:02,Youtube,MSFG,0,0,1,4,5,139,548,549,724,724,732
2023-12-05 21:57:07,Bing,HOA,0,0,8,8,9,92,191,192,353,353,384
2023-12-05 21:57:08,Amazon,HOA,0,1,3,4,5,99,195,196,561,561,577
2023-12-05 21:57:13,Youtube,HOA,0,0,1,3,4,157,584,584,751,751,764
2023-12-05 21:57:18,Bing,FAFR,0,0,8,8,8,89,191,191,377,377,413
2023-12-05 21:57:19,Amazon,FAFR,0,1,5,6,7,103,226,226,391,391,402
2023-12-05 21:57:24,Youtube,FAFR,0,0,2,5,6,131,559,559,752,752,767
2023-12-05 21:57:29,Bing,WieSOichDichEmpfangen,0,0,8,114,114,214,321,321,619,619,672
2023-12-05 21:57:30,Amazon,WieSOichDichEmpfangen,0,1,3,4,5,146,253,253,429,429,437
2023-12-05 21:57:34,Youtube,WieSOichDichEmpfangen,0,0,1,4,4,126,603,603,816,816,829
2023-12-05 21:57:38,Bing,sagmichbitte,0,0,6,7,7,104,218,218,413,413,444
2023-12-05 21:57:39,Amazon,sagmichbitte,0,1,3,4,5,93,186,187,347,347,364
2023-12-05 21:57:44,Youtube,sagmichbitte,0,0,1,3,4,148,903,904,1067,1067,1081
2023-12-05 21:57:49,Bing,ilAuraitSuffi,0,0,8,94,95,177,295,296,438,438,488
2023-12-05 21:57:51,Amazon,ilAuraitSuffi,0,1,4,95,95,279,815,815,1039,1039,1049
2023-12-05 21:57:56,Youtube,ilAuraitSuffi,0,0,1,3,3,112,580,581,830,830,841
2023-12-05 21:58:01,Bing,Carnegie Mellon University,0,0,5,5,5,94,207,207,429,429,478
2023-12-05 21:58:22,Youtube,Carnegie Mellon University,0,0,1,3,3,499,1893,1894,2706,2706,2715
2023-12-05 21:58:27,Bing,Airbnb,0,0,8,145,145,238,381,382,712,712,816
2023-12-05 21:58:28,Amazon,Airbnb,0,0,6,7,7,91,370,371,538,538,548
2023-12-05 21:58:36,Bing,Facebook,0,0,7,7,7,94,196,196,389,389,413
