dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 22:55:37,1346,1346,1348,1471,0,123
2023-11-08 22:55:54,1170,1170,1173,1286,0,113
2023-11-08 22:56:11,1064,1064,1065,1185,0,120
2023-11-08 22:56:29,1037,1037,1039,1158,0,119
2023-11-08 22:56:46,995,995,996,1151,0,155
2023-11-08 22:57:04,1273,1273,1275,1411,0,136
2023-11-08 22:57:21,1140,1140,1141,1260,0,119
2023-11-08 22:57:40,1287,1287,1289,1404,0,115
2023-11-08 22:57:57,1028,1028,1029,1178,0,149
2023-11-08 22:58:13,968,968,969,1094,0,125
2023-11-08 22:58:30,1066,1066,1068,1180,0,112
2023-11-08 22:58:47,1172,1172,1174,1290,0,116
2023-11-08 22:59:04,1133,1133,1134,1250,0,116
2023-11-08 22:59:21,1051,1051,1052,1169,0,117
2023-11-08 22:59:38,968,968,969,1102,0,133
2023-11-08 22:59:55,1130,1130,1131,1250,0,119
2023-11-08 23:00:12,1059,1059,1060,1183,0,123
2023-11-08 23:00:32,1517,1517,1519,2006,0,487
2023-11-08 23:00:50,1098,1098,1101,1218,0,117
2023-11-08 23:01:07,945,945,948,1104,0,156
2023-11-08 23:01:24,1168,1168,1169,1499,0,330
2023-11-08 23:01:41,1022,1022,1023,1141,0,118
2023-11-08 23:01:58,1169,1169,1171,1296,0,125
2023-11-08 23:02:15,925,925,926,1051,0,125
2023-11-08 23:02:32,1162,1162,1165,1286,0,121
2023-11-08 23:02:49,1147,1147,1149,1277,0,128
2023-11-08 23:03:06,979,979,982,1114,0,132
2023-11-08 23:03:24,920,920,921,1051,0,130
2023-11-08 23:03:40,1265,1265,1267,1392,0,125
2023-11-08 23:03:57,950,950,952,1177,0,225
