64 bytes from 181.214.166.67: icmp_seq=0 ttl=51 time=37.898 ms
64 bytes from 181.214.166.67: icmp_seq=1 ttl=51 time=35.492 ms
64 bytes from 181.214.166.67: icmp_seq=2 ttl=51 time=36.450 ms
64 bytes from 181.214.166.67: icmp_seq=3 ttl=51 time=32.278 ms
64 bytes from 181.214.166.67: icmp_seq=4 ttl=51 time=32.224 ms
64 bytes from 181.214.166.67: icmp_seq=5 ttl=51 time=33.810 ms
64 bytes from 181.214.166.67: icmp_seq=6 ttl=51 time=33.083 ms
64 bytes from 181.214.166.67: icmp_seq=7 ttl=51 time=33.361 ms
64 bytes from 181.214.166.67: icmp_seq=8 ttl=51 time=47.145 ms
64 bytes from 181.214.166.67: icmp_seq=9 ttl=51 time=36.794 ms
64 bytes from 181.214.166.67: icmp_seq=10 ttl=51 time=31.285 ms
64 bytes from 181.214.166.67: icmp_seq=11 ttl=51 time=31.050 ms
64 bytes from 181.214.166.67: icmp_seq=12 ttl=51 time=31.566 ms
64 bytes from 181.214.166.67: icmp_seq=13 ttl=51 time=32.696 ms
64 bytes from 181.214.166.67: icmp_seq=14 ttl=51 time=32.272 ms
64 bytes from 181.214.166.67: icmp_seq=15 ttl=51 time=37.271 ms
64 bytes from 181.214.166.67: icmp_seq=16 ttl=51 time=38.060 ms
64 bytes from 181.214.166.67: icmp_seq=17 ttl=51 time=37.651 ms
64 bytes from 181.214.166.67: icmp_seq=18 ttl=51 time=39.032 ms
64 bytes from 181.214.166.67: icmp_seq=19 ttl=51 time=32.326 ms
64 bytes from 181.214.166.67: icmp_seq=20 ttl=51 time=36.676 ms
64 bytes from 181.214.166.67: icmp_seq=21 ttl=51 time=37.440 ms
64 bytes from 181.214.166.67: icmp_seq=22 ttl=51 time=32.444 ms
64 bytes from 181.214.166.67: icmp_seq=23 ttl=51 time=32.326 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 20:29:31,105,164,222,300,59,78
2023-11-05 20:29:45,4,59,116,189,55,73
2023-11-05 20:30:00,3,57,121,195,54,74
2023-11-05 20:30:14,2,59,123,198,57,75
2023-11-05 20:30:28,3,62,125,210,59,85
2023-11-05 20:30:42,2,61,118,193,59,75
2023-11-05 20:30:57,2,57,114,188,55,74
2023-11-05 20:31:11,3,64,126,213,61,87
2023-11-05 20:31:26,3,277,342,421,274,79
2023-11-05 20:31:41,3,60,125,203,57,78
2023-11-05 20:31:55,4,59,123,198,55,75
2023-11-05 20:32:10,4,61,120,194,57,74
2023-11-05 20:32:24,2,60,121,202,58,81
2023-11-05 20:32:38,3,58,117,191,55,74
2023-11-05 20:32:52,7,65,123,198,58,75
2023-11-05 20:33:07,3,61,126,199,58,73
2023-11-05 20:33:21,3,60,120,195,57,75
2023-11-05 20:33:35,3,58,118,196,55,78
2023-11-05 20:33:50,4,59,119,196,55,77
2023-11-05 20:34:05,4,70,133,212,66,79
2023-11-05 20:34:19,3,66,124,208,63,84
2023-11-05 20:34:33,6,62,122,197,56,75
2023-11-05 20:34:47,3,58,117,191,55,74
2023-11-05 20:35:02,3,60,120,194,57,74
2023-11-05 20:35:16,2,56,114,189,54,75
2023-11-05 20:35:30,2,56,116,192,54,76
2023-11-05 20:35:45,2,242,303,380,240,77
2023-11-05 20:35:59,3,61,124,199,58,75
2023-11-05 20:36:13,3,59,116,190,56,74
2023-11-05 20:36:28,20,76,134,212,56,78
