64 bytes from 154.6.89.23: icmp_seq=0 ttl=41 time=55.480 ms
64 bytes from 154.6.89.23: icmp_seq=1 ttl=41 time=48.636 ms
64 bytes from 154.6.89.23: icmp_seq=2 ttl=41 time=56.077 ms
64 bytes from 154.6.89.23: icmp_seq=3 ttl=41 time=52.090 ms
64 bytes from 154.6.89.23: icmp_seq=4 ttl=41 time=55.968 ms
64 bytes from 154.6.89.23: icmp_seq=5 ttl=41 time=59.535 ms
64 bytes from 154.6.89.23: icmp_seq=6 ttl=41 time=49.410 ms
64 bytes from 154.6.89.23: icmp_seq=7 ttl=41 time=49.727 ms
64 bytes from 154.6.89.23: icmp_seq=8 ttl=41 time=254.415 ms
64 bytes from 154.6.89.23: icmp_seq=9 ttl=41 time=105.263 ms
64 bytes from 154.6.89.23: icmp_seq=10 ttl=41 time=175.511 ms
64 bytes from 154.6.89.23: icmp_seq=11 ttl=41 time=52.741 ms
64 bytes from 154.6.89.23: icmp_seq=12 ttl=41 time=53.787 ms
64 bytes from 154.6.89.23: icmp_seq=13 ttl=41 time=55.467 ms
64 bytes from 154.6.89.23: icmp_seq=0 ttl=63 time=55.147 ms
64 bytes from 154.6.89.23: icmp_seq=1 ttl=63 time=57.969 ms
64 bytes from 154.6.89.23: icmp_seq=2 ttl=63 time=47.761 ms
64 bytes from 154.6.89.23: icmp_seq=3 ttl=63 time=50.373 ms
64 bytes from 154.6.89.23: icmp_seq=4 ttl=63 time=53.672 ms
64 bytes from 154.6.89.23: icmp_seq=5 ttl=63 time=55.772 ms
64 bytes from 154.6.89.23: icmp_seq=6 ttl=63 time=55.042 ms
64 bytes from 154.6.89.23: icmp_seq=7 ttl=63 time=48.906 ms
64 bytes from 154.6.89.23: icmp_seq=8 ttl=63 time=55.287 ms
64 bytes from 154.6.89.23: icmp_seq=9 ttl=63 time=54.517 ms
ç64 bytes from 154.6.89.23: icmp_seq=10 ttl=63 time=55.485 ms
64 bytes from 154.6.89.23: icmp_seq=11 ttl=63 time=48.740 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 19:48:55,88,141,195,267,53,72
2023-11-05 19:49:09,3,52,108,176,49,68
2023-11-05 19:49:24,5,55,121,193,50,72
2023-11-05 19:49:38,2,54,109,183,52,74
2023-11-05 19:49:52,4,55,112,181,51,69
2023-11-05 19:50:07,2,52,117,472,50,355
2023-11-05 19:50:22,4,54,107,176,50,69
2023-11-05 19:50:36,4,55,111,183,51,72
2023-11-05 19:50:50,3,57,111,180,54,69
2023-11-05 19:51:04,4,55,114,187,51,73
2023-11-05 19:51:19,3,53,107,176,50,69
2023-11-05 19:51:33,3,56,113,181,53,68
2023-11-05 19:51:48,4,54,110,193,50,83
2023-11-05 19:52:02,3,53,111,182,50,71
2023-11-05 19:52:16,3,53,107,177,50,70
2023-11-05 19:52:31,3,53,106,175,50,69
2023-11-05 19:52:45,3,52,109,180,49,71
2023-11-05 19:52:59,3,56,111,185,53,74
2023-11-05 19:53:13,2,54,111,186,52,75
2023-11-05 19:53:31,3,299,487,664,296,177
2023-11-05 19:53:45,3,55,108,177,52,69
2023-11-05 19:53:59,3,55,111,181,52,70
2023-11-05 19:54:13,4,56,110,182,52,72
2023-11-05 19:54:28,3,54,109,179,51,70
2023-11-05 19:54:42,3,55,110,179,52,69
2023-11-05 19:54:56,3,53,110,179,50,69
2023-11-05 19:55:10,3,52,110,179,49,69
2023-11-05 19:55:24,3,54,108,178,51,70
2023-11-05 19:55:39,3,53,112,180,50,68
2023-11-05 19:55:53,5,55,110,178,50,68

