dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 21:39:29,127,186,470,634,59,105
2023-11-08 21:39:47,11,64,263,380,53,64
2023-11-08 21:40:05,7,59,266,374,52,56
2023-11-08 21:40:23,8,116,356,598,108,134
2023-11-08 21:40:45,6,65,480,593,59,54
2023-11-08 21:41:03,8,66,367,488,58,63
2023-11-08 21:41:20,7,58,270,400,51,79
2023-11-08 21:41:42,7,127,463,670,120,87
2023-11-08 21:42:02,7,73,590,717,66,61
2023-11-08 21:42:20,7,81,303,421,74,44
2023-11-08 21:42:38,7,59,283,415,52,80
2023-11-08 21:42:56,7,62,255,738,55,428
2023-11-08 21:43:14,6,58,272,448,52,124
2023-11-08 21:43:31,7,65,283,423,58,82
2023-11-08 21:43:50,7,65,277,399,58,64
2023-11-08 21:44:09,8,58,253,372,50,69
2023-11-08 21:44:28,8,63,323,440,55,62
2023-11-08 21:44:46,8,61,263,403,53,87
2023-11-08 21:45:04,7,62,363,488,55,70
2023-11-08 21:45:22,6,62,259,403,56,88
2023-11-08 21:45:41,7,66,288,422,59,75
2023-11-08 21:45:59,7,57,335,450,50,65
2023-11-08 21:46:18,8,130,366,494,122,6
2023-11-08 21:46:36,7,60,261,381,53,67
2023-11-08 21:46:54,9,75,315,444,66,63
2023-11-08 21:47:15,7,160,495,752,153,104
2023-11-08 21:47:32,6,68,296,486,62,128
2023-11-08 21:47:50,7,68,297,413,61,55
2023-11-08 21:48:07,7,75,347,491,68,76
2023-11-08 21:48:25,6,63,302,420,57,61
