dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 22:14:28,1068,1068,1069,1155,0,86
2023-11-08 22:14:45,862,862,863,949,0,86
2023-11-08 22:15:01,1011,1011,1013,1110,0,97
2023-11-08 22:15:18,811,811,812,899,0,87
2023-11-08 22:15:34,833,833,835,921,0,86
2023-11-08 22:15:50,998,998,1000,1096,0,96
2023-11-08 22:16:07,938,938,939,1046,0,107
2023-11-08 22:16:23,971,971,973,1062,0,89
2023-11-08 22:16:39,974,974,977,1066,0,89
2023-11-08 22:16:55,725,725,726,842,0,116
2023-11-08 22:17:11,757,757,759,844,0,85
2023-11-08 22:17:27,941,941,943,1027,0,84
2023-11-08 22:17:43,1032,1032,1035,1123,0,88
2023-11-08 22:18:01,938,938,943,1039,0,96
2023-11-08 22:18:17,841,841,843,940,0,97
2023-11-08 22:18:33,852,852,853,939,0,86
2023-11-08 22:18:50,777,777,779,872,0,93
2023-11-08 22:19:06,955,955,956,1047,0,91
2023-11-08 22:19:23,962,962,963,1058,0,95
2023-11-08 22:19:39,902,902,903,988,0,85
2023-11-08 22:19:55,868,868,869,952,0,83
2023-11-08 22:20:11,726,726,727,825,0,98
2023-11-08 22:20:27,1295,1295,1296,1409,0,113
2023-11-08 22:20:45,861,861,863,951,0,88
2023-11-08 22:21:01,728,728,730,813,0,83
2023-11-08 22:21:17,978,978,980,1064,0,84
2023-11-08 22:21:33,862,862,863,987,0,124
2023-11-08 22:21:49,803,803,804,890,0,86
2023-11-08 22:22:05,808,808,809,903,0,94
2023-11-08 22:22:22,926,926,929,1014,0,85
