dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 23:06:26,825,825,827,856,0,29
2023-11-08 23:06:41,555,555,557,595,0,38
2023-11-08 23:06:56,652,652,653,682,0,29
2023-11-08 23:07:10,500,500,502,532,0,30
2023-11-08 23:07:25,736,736,738,770,0,32
2023-11-08 23:07:40,698,698,699,743,0,44
2023-11-08 23:07:55,678,678,679,712,0,33
2023-11-08 23:08:10,729,729,732,761,0,29
2023-11-08 23:08:25,584,584,586,617,0,31
2023-11-08 23:08:40,630,630,632,663,0,31
2023-11-08 23:08:55,723,723,724,756,0,32
2023-11-08 23:09:10,729,729,730,761,0,31
2023-11-08 23:09:24,701,701,704,738,0,34
2023-11-08 23:09:39,490,490,491,524,0,33
2023-11-08 23:09:54,579,579,581,609,0,28
2023-11-08 23:10:09,683,683,684,718,0,34
2023-11-08 23:10:24,662,662,665,693,0,28
2023-11-08 23:10:42,847,847,848,901,0,53
2023-11-08 23:10:58,627,627,628,662,0,34
2023-11-08 23:11:13,650,650,651,682,0,31
2023-11-08 23:11:29,765,765,766,801,0,35
2023-11-08 23:11:45,757,757,758,787,0,29
2023-11-08 23:12:00,746,746,747,791,0,44
2023-11-08 23:12:15,1699503134701,1699503134701,1699503134702,1699503134795,0,93
2023-11-08 23:12:31,692,692,693,756,0,63
2023-11-08 23:12:46,671,671,672,703,0,31
2023-11-08 23:13:01,578,578,580,676,0,96
2023-11-08 23:13:17,726,726,728,780,0,52
2023-11-08 23:13:33,563,563,564,605,0,41
2023-11-08 23:13:48,535,535,537,566,0,29
