64 bytes from 191.96.227.108: icmp_seq=0 ttl=50 time=20.064 ms
64 bytes from 191.96.227.108: icmp_seq=1 ttl=50 time=21.343 ms
64 bytes from 191.96.227.108: icmp_seq=2 ttl=50 time=21.761 ms
64 bytes from 191.96.227.108: icmp_seq=3 ttl=50 time=22.157 ms
64 bytes from 191.96.227.108: icmp_seq=4 ttl=50 time=21.979 ms
64 bytes from 191.96.227.108: icmp_seq=5 ttl=50 time=24.680 ms
64 bytes from 191.96.227.108: icmp_seq=6 ttl=50 time=27.507 ms
64 bytes from 191.96.227.108: icmp_seq=7 ttl=50 time=28.342 ms
64 bytes from 191.96.227.108: icmp_seq=8 ttl=50 time=28.441 ms
64 bytes from 191.96.227.108: icmp_seq=9 ttl=50 time=27.433 ms
64 bytes from 191.96.227.108: icmp_seq=10 ttl=50 time=23.042 ms
64 bytes from 191.96.227.108: icmp_seq=11 ttl=50 time=27.952 ms
64 bytes from 191.96.227.108: icmp_seq=12 ttl=50 time=30.204 ms
64 bytes from 191.96.227.108: icmp_seq=0 ttl=62 time=28.143 ms
64 bytes from 191.96.227.108: icmp_seq=1 ttl=62 time=30.671 ms
64 bytes from 191.96.227.108: icmp_seq=2 ttl=62 time=30.045 ms
64 bytes from 191.96.227.108: icmp_seq=3 ttl=62 time=29.899 ms
64 bytes from 191.96.227.108: icmp_seq=4 ttl=62 time=27.511 ms
64 bytes from 191.96.227.108: icmp_seq=5 ttl=62 time=34.183 ms
64 bytes from 191.96.227.108: icmp_seq=6 ttl=62 time=28.726 ms
64 bytes from 191.96.227.108: icmp_seq=7 ttl=62 time=28.077 ms

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-05 20:02:27,141,186,234,296,45,62
2023-11-05 20:02:41,2,47,98,164,45,66
2023-11-05 20:02:55,3,47,101,165,44,64
2023-11-05 20:03:09,3,48,97,160,45,63
2023-11-05 20:03:24,3,47,102,167,44,65
2023-11-05 20:03:38,3,48,100,159,45,59
2023-11-05 20:03:52,3,50,106,169,47,63
2023-11-05 20:04:06,3,48,96,160,45,64
2023-11-05 20:04:20,3,54,109,174,51,65
2023-11-05 20:04:35,3,48,96,155,45,59
2023-11-05 20:04:49,2,47,97,164,45,67
2023-11-05 20:05:03,2,48,97,158,46,61
2023-11-05 20:05:18,3,48,95,155,45,60
2023-11-05 20:05:32,2,49,99,161,47,62
2023-11-05 20:05:49,3,52,101,165,49,64
2023-11-05 20:06:04,2,48,103,167,46,64
2023-11-05 20:06:18,3,51,99,165,48,66
2023-11-05 20:06:32,3,50,98,159,47,61
2023-11-05 20:06:46,3,52,102,164,49,62
2023-11-05 20:07:01,2,47,97,157,45,60
2023-11-05 20:07:15,3,48,100,161,45,61
2023-11-05 20:07:29,2,47,96,155,45,59
2023-11-05 20:07:43,3,51,103,165,48,62
2023-11-05 20:07:57,3,47,95,156,44,61
2023-11-05 20:08:12,3,55,105,168,52,63
2023-11-05 20:08:26,3,47,97,166,44,69
2023-11-05 20:08:40,3,47,98,163,44,65
2023-11-05 20:08:55,3,48,99,159,45,60
2023-11-05 20:09:09,4,49,100,161,45,61
2023-11-05 20:09:24,4,49,100,163,45,63
