dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 21:51:49,99,225,809,1291,126,356
2023-11-08 21:52:05,9,89,1378,1523,80,65
2023-11-08 21:52:19,7,95,570,714,88,56
2023-11-08 21:52:34,8,96,563,719,88,68
2023-11-08 21:52:48,6,92,564,758,86,108
2023-11-08 21:53:03,6,98,618,778,92,68
2023-11-08 21:53:17,8,97,572,721,89,60
2023-11-08 21:53:32,6,98,413,552,92,47
2023-11-08 21:53:47,7,97,758,1121,90,273
2023-11-08 21:54:02,4,4,1194,1377,0,183
2023-11-08 21:54:17,6,91,632,779,85,62
2023-11-08 21:54:31,7,92,618,789,85,86
2023-11-08 21:54:46,8,96,605,742,88,49
2023-11-08 21:55:00,7,107,673,823,100,50
2023-11-08 21:55:15,7,89,587,770,82,101
2023-11-08 21:55:29,6,102,630,780,96,54
2023-11-08 21:55:44,9,152,726,879,143,10
2023-11-08 21:55:58,6,92,611,761,86,64
2023-11-08 21:56:12,10,118,434,583,108,41
2023-11-08 21:56:28,9,99,575,723,90,58
2023-11-08 21:56:44,15,132,685,829,117,27
2023-11-08 21:56:59,7,113,1056,1213,106,51
2023-11-08 21:57:14,10,101,605,751,91,55
2023-11-08 21:57:28,6,90,560,703,84,59
2023-11-08 21:57:43,7,92,665,814,85,64
2023-11-08 21:57:57,7,93,680,825,86,59
2023-11-08 21:58:12,7,91,636,781,84,61
2023-11-08 21:58:27,10,97,559,703,87,57
2023-11-08 21:58:41,7,97,857,1004,90,57
2023-11-08 21:58:56,6,93,587,733,87,59
