dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 23:23:39,40,71,261,836,31,544
2023-11-08 23:23:54,8,36,187,411,28,196
2023-11-08 23:24:09,7,67,213,828,60,555
dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 23:25:04,8,40,182,436,32,222
2023-11-08 23:25:19,8,39,183,370,31,156
2023-11-08 23:25:33,10,40,195,376,30,151
2023-11-08 23:25:48,7,40,194,801,33,574
2023-11-08 23:26:02,7,42,190,401,35,176
2023-11-08 23:26:17,10,42,190,810,32,588
2023-11-08 23:26:32,6,40,212,816,34,570
2023-11-08 23:26:46,8,44,211,829,36,582
2023-11-08 23:27:01,7,40,208,462,33,221
2023-11-08 23:27:15,8,44,206,393,36,151
2023-11-08 23:27:30,6,39,224,414,33,157
2023-11-08 23:27:54,8,74,221,10499,66,10212
2023-11-08 23:28:09,6,46,216,801,40,545
2023-11-08 23:28:26,7,50,204,819,43,572
2023-11-08 23:28:40,5,37,208,400,32,160
2023-11-08 23:28:55,7,41,247,437,34,156
2023-11-08 23:29:09,8,65,212,849,57,580
2023-11-08 23:29:24,9,39,185,803,30,588
2023-11-08 23:29:39,6,40,192,816,34,590
2023-11-08 23:29:54,8,45,190,863,37,636
2023-11-08 23:30:08,5,38,186,376,33,157
2023-11-08 23:30:23,9,41,200,398,32,166
2023-11-08 23:30:37,6,67,218,410,61,131
2023-11-08 23:30:52,7,42,226,422,35,161
2023-11-08 23:31:06,7,38,219,399,31,149
2023-11-08 23:31:21,8,44,237,501,36,228
2023-11-08 23:31:35,9,48,208,404,39,157
2023-11-08 23:31:50,7,42,191,375,35,149
2023-11-08 23:32:05,8,43,229,859,35,595
2023-11-08 23:32:19,7,38,213,404,31,160
