dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 22:26:21,92,187,785,1003,95,123
2023-11-08 22:26:36,7,98,415,575,91,69
2023-11-08 22:26:53,6,100,632,780,94,54
2023-11-08 22:27:11,8,99,417,585,91,77
2023-11-08 22:27:28,7,108,514,659,101,44
2023-11-08 22:27:42,92,186,520,665,94,51
2023-11-08 22:27:57,6,93,434,587,87,66
2023-11-08 22:28:11,8,93,402,552,85,65
2023-11-08 22:28:29,6,98,500,652,92,60
2023-11-08 22:28:43,6,153,674,822,147,1
2023-11-08 22:29:00,7,94,407,563,87,69
2023-11-08 22:29:14,8,97,412,555,89,54
2023-11-08 22:29:29,8,97,435,582,89,58
2023-11-08 22:29:46,6,115,505,670,109,56
2023-11-08 22:30:04,7,93,591,749,86,72
2023-11-08 22:30:21,7,105,464,663,98,101
2023-11-08 22:30:38,8,99,616,762,91,55
2023-11-08 22:30:52,7,101,439,602,94,69
2023-11-08 22:31:07,7,93,405,549,86,58
2023-11-08 22:31:21,7,104,439,590,97,54
2023-11-08 22:31:36,7,95,625,770,88,57
2023-11-08 22:31:50,6,94,441,598,88,69
2023-11-08 22:32:05,11,108,472,621,97,52
2023-11-08 22:32:20,7,92,431,578,85,62
2023-11-08 22:32:37,11,100,414,570,89,67
2023-11-08 22:32:52,7,99,424,573,92,57
2023-11-08 22:33:06,23,123,442,594,100,52
2023-11-08 22:33:21,7,116,635,781,109,37
2023-11-08 22:33:36,12,102,626,770,90,54
2023-11-08 22:33:53,7,93,646,807,86,75
