dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 22:35:43,36,65,321,497,29,147
2023-11-08 22:35:58,17,94,279,453,77,97
2023-11-08 22:36:12,9,36,206,367,27,134
2023-11-08 22:36:27,13,37,216,374,24,134
2023-11-08 22:36:41,8,28,205,371,20,146
2023-11-08 22:36:55,7,186,358,693,179,156
2023-11-08 22:37:13,7,34,248,421,27,146
2023-11-08 22:37:31,5,32,209,375,27,139
2023-11-08 22:37:45,7,44,230,392,37,125
2023-11-08 22:38:00,6,63,234,396,57,105
2023-11-08 22:38:14,76,102,280,526,26,220
2023-11-08 22:38:29,9,36,213,389,27,149
2023-11-08 22:38:43,7,29,193,362,22,147
2023-11-08 22:38:57,9,35,219,385,26,140
2023-11-08 22:39:12,17,40,209,706,23,474
2023-11-08 22:39:26,9,36,501,888,27,360
2023-11-08 22:39:40,8,33,230,585,25,330
2023-11-08 22:39:55,7,36,214,377,29,134
2023-11-08 22:40:09,8,38,211,408,30,167
2023-11-08 22:40:23,7,32,202,366,25,139
2023-11-08 22:40:38,6,35,199,361,29,133
2023-11-08 22:40:53,7,30,191,349,23,135
2023-11-08 22:41:10,10,35,209,367,25,133
2023-11-08 22:41:25,9,76,586,919,67,266
2023-11-08 22:41:40,7,48,907,1093,41,145
2023-11-08 22:41:54,7,236,409,633,229,-5
2023-11-08 22:42:09,7,33,272,447,26,149
2023-11-08 22:42:23,7,33,212,416,26,178
2023-11-08 22:42:38,15,47,217,386,32,137
2023-11-08 22:42:52,7,38,237,413,31,145
