dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-07 12:27:11,7,30,277,375,23,75
2023-11-07 12:27:27,11,31,126,231,20,85
2023-11-07 12:27:42,8,30,129,221,22,70
2023-11-07 12:27:57,4,25,111,210,21,78
2023-11-07 12:28:12,7,26,113,289,19,157
dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-07 12:30:58,23,41,163,407,18,226
2023-11-07 12:31:12,4,24,119,277,20,138
2023-11-07 12:31:27,6,26,120,280,20,140
2023-11-07 12:31:41,7,26,122,272,19,131
2023-11-07 12:31:55,6,25,120,272,19,133
