dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-07 12:37:33,40,86,272,397,46,79
2023-11-07 12:37:47,4,47,199,408,43,166
2023-11-07 12:38:02,6,51,197,397,45,155
2023-11-07 12:38:16,41,86,237,439,45,157
2023-11-07 12:38:30,6,51,196,394,45,153

dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 21:28:37,35,83,277,395,48,70
2023-11-08 21:28:54,7,62,249,455,55,151
2023-11-08 21:29:09,8,59,253,371,51,67
2023-11-08 21:29:25,11,316,485,590,305,-200
2023-11-08 21:29:39,16,82,275,487,66,146
2023-11-08 21:29:55,43,127,337,470,84,49
2023-11-08 21:30:11,8,44,488,621,36,97
2023-11-08 21:30:27,11,112,742,1107,101,264
2023-11-08 21:30:42,13,251,402,595,238,-45
2023-11-08 21:30:56,6,61,291,541,55,195
2023-11-08 21:31:10,9,63,237,351,54,60
2023-11-08 21:31:24,8,44,176,269,36,57
2023-11-08 21:31:39,27,78,274,387,51,62
2023-11-08 21:31:53,6,53,189,287,47,51
2023-11-08 21:32:11,6,43,223,336,37,76
2023-11-08 21:32:26,15,70,432,765,55,278
2023-11-08 21:32:40,7,39,163,259,32,64
2023-11-08 21:32:54,8,43,172,273,35,66
2023-11-08 21:33:09,8,61,471,601,53,77
2023-11-08 21:33:23,4,38,205,314,34,75
2023-11-08 21:33:37,8,40,461,599,32,106
2023-11-08 21:33:51,7,42,228,361,35,98
2023-11-08 21:34:06,7,144,521,819,137,161
2023-11-08 21:34:20,6,56,235,407,50,122
2023-11-08 21:34:36,9,62,218,342,53,71
2023-11-08 21:34:50,7,57,248,466,50,168
2023-11-08 21:35:04,34,68,212,319,34,73
2023-11-08 21:35:19,13,46,182,276,33,61
2023-11-08 21:35:34,7,61,440,972,54,478
2023-11-08 21:35:51,6,51,891,992,45,56
