dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
2023-11-08 22:05:09,79,160,592,770,81,97
2023-11-08 22:05:23,7,85,399,542,78,65
2023-11-08 22:05:38,8,96,394,550,88,68
2023-11-08 22:05:52,7,86,400,538,79,59
2023-11-08 22:06:07,5,81,384,550,76,90
2023-11-08 22:06:21,9,89,428,594,80,86
2023-11-08 22:06:36,7,100,411,580,93,76
2023-11-08 22:06:53,7,84,370,536,77,89
2023-11-08 22:07:09,12,134,476,682,122,84
2023-11-08 22:07:25,14,111,436,583,97,50
2023-11-08 22:07:40,93,171,483,629,78,68
2023-11-08 22:07:56,8,101,413,608,93,102
2023-11-08 22:08:13,7,100,405,547,93,49
2023-11-08 22:08:29,9,91,471,614,82,61
2023-11-08 22:08:44,6,84,380,522,78,64
2023-11-08 22:08:58,7,88,397,545,81,67
2023-11-08 22:09:13,7,83,410,557,76,71
2023-11-08 22:09:27,6,92,391,538,86,61
2023-11-08 22:09:42,8,85,375,521,77,69
2023-11-08 22:09:56,8,85,389,537,77,71
2023-11-08 22:10:11,7,85,474,619,78,67
2023-11-08 22:10:25,9,87,476,666,78,112
2023-11-08 22:10:39,7,89,387,532,82,63
2023-11-08 22:10:54,8,84,466,611,76,69
2023-11-08 22:11:09,9,91,378,517,82,57
2023-11-08 22:11:24,7,91,399,548,84,65
2023-11-08 22:11:38,7,83,422,573,76,75
2023-11-08 22:11:52,6,87,415,568,81,72
2023-11-08 22:12:08,8,85,393,632,77,162
2023-11-08 22:12:23,7,85,475,618,78,65
