connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
5,22,47,71,17,24
4,23,48,71,19,23
3,21,45,69,18,24
3,26,49,71,23,22
3,21,43,66,18,23
13,32,56,78,19,22
3,22,48,71,19,23
3,21,44,66,18,22
2,20,43,67,18,24
3,21,52,75,18,23

connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
1667,1779,1906,2121,112,215
4,112,242,453,108,211
5,113,235,450,108,215
3,114,243,457,111,214
4,111,234,452,107,218
4,114,247,461,110,214
3,111,236,451,108,215
4,113,240,454,109,214
4,114,443,906,110,463
3,112,238,450,109,212
connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
26,45,67,89,19,22
5,24,59,94,19,35
4,23,46,69,19,23
3,21,43,65,18,22
4,24,47,71,20,24
4,23,46,69,19,23
3,22,43,66,19,23
3,20,44,67,17,23
4,22,45,68,18,23
3,23,45,69,20,24
connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime
868,992,1137,1371,124,234
4,127,268,503,123,235
3,126,270,506,123,236
4,128,271,507,124,236
3,124,266,684,121,418
3,125,268,502,122,234
3,124,267,500,121,233
3,125,272,506,122,234
3,126,267,503,123,236
3,124,274,504,121,230


