dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 21:48:40,121,260,413,618,139,66,Bing,Carnegie Mellon University
2023-12-04 21:48:43,205,309,421,681,104,156,Amazon,Carnegie Mellon University
2023-12-04 21:48:47,138,237,704,843,99,40,Youtube,Carnegie Mellon University
2023-12-04 21:48:51,6,135,287,501,129,85,Bing,Airbnb
2023-12-04 21:48:53,6,109,221,479,103,155,Amazon,Airbnb
2023-12-04 21:48:57,41,146,514,649,105,30,Youtube,Airbnb
2023-12-04 21:49:02,7,143,302,512,136,74,Bing,Facebook
2023-12-04 21:49:05,9,109,218,478,100,160,Amazon,Facebook
2023-12-04 21:49:09,169,277,540,674,108,26,Youtube,Facebook
2023-12-04 21:49:15,1222,1375,1569,1803,153,81,Bing,Youtube
2023-12-04 21:49:17,16,118,225,478,102,151,Amazon,Youtube
2023-12-04 21:49:21,44,150,415,574,106,53,Youtube,Youtube
2023-12-04 21:49:25,11,163,319,526,152,55,Bing,cirtic
2023-12-04 21:49:27,5,106,219,493,101,173,Amazon,cirtic
2023-12-04 21:49:31,42,151,530,685,109,46,Youtube,cirtic
2023-12-04 21:49:36,9,143,296,506,134,76,Bing,when would there be
2023-12-04 21:49:39,6,109,219,488,103,166,Amazon,when would there be
2023-12-04 21:49:42,44,151,527,672,107,38,Youtube,when would there be
2023-12-04 21:49:47,104,241,397,609,137,75,Bing,search the map for new
2023-12-04 21:49:50,9,111,220,655,102,333,Amazon,search the map for new
2023-12-04 21:49:53,76,188,593,729,112,24,Youtube,search the map for new
2023-12-04 21:49:58,120,249,392,599,129,78,Bing,suggestions on finals
2023-12-04 21:50:00,129,228,337,626,99,190,Amazon,suggestions on finals
2023-12-04 21:50:03,42,149,525,682,107,50,Youtube,suggestions on finals
2023-12-04 21:50:08,8,142,302,513,134,77,Bing,start
2023-12-04 21:50:10,5,113,222,478,108,148,Amazon,start
2023-12-04 21:50:15,55,157,537,694,102,55,Youtube,start
2023-12-04 21:50:20,7,141,280,493,134,79,Bing,ending
2023-12-04 21:50:22,9,110,220,479,101,158,Amazon,ending
2023-12-04 21:50:26,52,163,546,697,111,40,Youtube,ending
2023-12-04 21:50:30,123,257,410,639,134,95,Bing,safety
2023-12-04 21:50:33,6,111,219,482,105,158,Amazon,safety
2023-12-04 21:50:36,61,173,442,594,112,40,Youtube,safety
2023-12-04 21:50:41,7,143,291,503,136,76,Bing,data
2023-12-04 21:50:44,10,110,222,473,100,151,Amazon,data
2023-12-04 21:50:47,64,174,439,589,110,40,Youtube,data
2023-12-04 21:50:52,7,142,297,504,135,72,Bing,DDIO
2023-12-04 21:50:54,7,106,216,757,99,442,Amazon,DDIO
2023-12-04 21:50:57,41,150,526,677,109,42,Youtube,DDIO
2023-12-04 21:51:01,7,135,289,483,128,66,Bing,MSFG
2023-12-04 21:51:03,9,110,218,478,101,159,Amazon,MSFG
