dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 19:34:00,70,92,166,360,22,172,Bing,Carnegie Mellon University
2023-12-04 19:34:02,300,339,500,612,39,73,Amazon,Carnegie Mellon University
2023-12-04 19:34:11,150,176,649,801,26,126,Youtube,Carnegie Mellon University
2023-12-04 19:34:15,7,28,63,137,21,53,Bing,Airbnb
2023-12-04 19:34:16,18,55,103,165,37,25,Amazon,Airbnb
2023-12-04 19:34:20,3,26,184,246,23,39,Youtube,Airbnb
2023-12-04 19:34:24,7,27,61,215,20,134,Bing,Facebook
2023-12-04 19:34:24,21,57,103,166,36,27,Amazon,Facebook
2023-12-04 19:34:26,5,28,186,256,23,47,Youtube,Facebook
2023-12-04 19:34:32,39,60,182,378,21,175,Bing,Youtube
2023-12-04 19:34:32,10,50,114,179,40,25,Amazon,Youtube
2023-12-04 19:34:34,3,27,185,246,24,37,Youtube,Youtube
2023-12-04 19:34:39,7,75,294,384,68,22,Bing,cirtic
2023-12-04 19:34:40,11,176,342,519,165,12,Amazon,cirtic
2023-12-04 19:34:43,3,99,459,618,96,63,Youtube,cirtic
2023-12-04 19:34:51,10,31,203,378,21,154,Bing,when would there be
2023-12-04 19:34:52,31,79,132,199,48,19,Amazon,when would there be
2023-12-04 19:34:55,3,24,196,267,21,50,Youtube,when would there be
2023-12-04 19:34:59,8,175,231,555,167,157,Bing,search the map for new
2023-12-04 19:35:00,5,85,245,403,80,78,Amazon,search the map for new
2023-12-04 19:35:03,3,32,193,258,29,36,Youtube,search the map for new
2023-12-04 19:35:08,8,29,122,498,21,355,Bing,suggestions on finals
2023-12-04 19:35:17,8,29,66,308,21,221,Bing,start
2023-12-04 19:35:18,5,88,282,458,83,93,Amazon,start
2023-12-04 19:35:26,35,56,143,331,21,167,Bing,ending
2023-12-04 19:35:28,11,159,321,495,148,26,Amazon,ending
2023-12-04 19:35:32,3,92,316,491,89,86,Youtube,ending
2023-12-04 19:35:37,10,31,113,205,21,71,Bing,safety
2023-12-04 19:35:40,3,149,474,652,146,32,Youtube,safety
2023-12-04 19:35:45,6,27,69,143,21,53,Bing,data
2023-12-04 19:35:46,5,183,255,455,178,22,Amazon,data
2023-12-04 19:35:55,8,30,67,316,22,227,Bing,DDIO
2023-12-04 19:35:56,9,159,354,529,150,25,Amazon,DDIO
2023-12-04 19:36:00,4,114,345,525,110,70,Youtube,DDIO
2023-12-04 19:36:05,9,39,106,319,30,183,Bing,MSFG
2023-12-04 19:36:06,10,141,299,454,131,24,Amazon,MSFG
2023-12-04 19:36:09,4,60,355,517,56,106,Youtube,MSFG
2023-12-04 19:36:13,8,33,98,172,25,49,Bing,HOA
2023-12-04 19:36:14,14,59,260,360,45,55,Amazon,HOA
2023-12-04 19:36:19,3,79,396,575,76,103,Youtube,HOA
2023-12-04 19:36:24,14,84,292,379,70,17,Bing,FAFR
2023-12-04 19:36:32,7,30,80,156,23,53,Bing,WieSOichDichEmpfangen
2023-12-04 19:36:33,8,195,244,490,187,59,Amazon,WieSOichDichEmpfangen
2023-12-04 19:36:44,7,135,311,628,128,189,Amazon,sagmichbitte
2023-12-04 19:36:47,3,88,604,788,85,99,Youtube,sagmichbitte
2023-12-04 19:36:51,26,47,82,156,21,53,Bing,ilAuraitSuffi
2023-12-04 19:36:52,10,74,272,357,64,21,Amazon,ilAuraitSuffi
2023-12-04 19:36:58,3,173,548,727,170,9,Youtube,ilAuraitSuffi
2023-12-04 19:37:13,8,170,342,507,162,3,Bing,Carnegie Mellon University
2023-12-04 19:37:14,7,127,365,598,120,113,Amazon,Carnegie Mellon University
2023-12-04 19:37:17,4,26,189,278,22,67,Youtube,Carnegie Mellon University
2023-12-04 19:37:22,78,275,318,577,197,62,Bing,Airbnb
2023-12-04 19:37:23,5,87,192,316,82,42,Amazon,Airbnb
2023-12-04 19:37:30,6,27,64,138,21,53,Bing,Facebook
2023-12-04 19:37:39,39,59,102,266,20,144,Bing,Youtube
2023-12-04 19:37:45,5,159,536,724,154,34,Youtube,Youtube
2023-12-04 19:37:49,7,29,72,264,22,170,Bing,cirtic
2023-12-04 19:37:51,4,108,275,448,104,69,Amazon,cirtic
2023-12-04 19:37:56,4,113,333,528,109,86,Youtube,cirtic
2023-12-04 19:38:00,9,161,206,500,152,142,Bing,when would there be
2023-12-04 19:38:01,7,151,322,487,144,21,Amazon,when would there be
2023-12-04 19:38:03,5,28,185,253,23,45,Youtube,when would there be
2023-12-04 19:38:08,9,31,67,144,22,55,Bing,search the map for new
2023-12-04 19:38:18,7,31,70,161,24,67,Bing,suggestions on finals
2023-12-04 19:38:28,9,155,192,434,146,96,Bing,start
2023-12-04 19:38:29,6,161,321,497,155,21,Amazon,start
2023-12-04 19:38:34,3,97,315,501,94,92,Youtube,start
2023-12-04 19:38:38,7,81,115,438,74,249,Bing,ending
2023-12-04 19:38:39,6,86,162,275,80,33,Amazon,ending
2023-12-04 19:38:47,10,78,128,382,68,186,Bing,safety
2023-12-04 19:38:52,4,28,302,476,24,150,Youtube,safety
2023-12-04 19:38:56,7,28,65,139,21,53,Bing,data
2023-12-04 19:38:56,9,61,104,166,52,10,Amazon,data
2023-12-04 19:38:58,3,24,180,244,21,43,Youtube,data
2023-12-04 19:39:03,6,27,71,149,21,57,Bing,DDIO
2023-12-04 19:39:03,86,123,171,234,37,26,Amazon,DDIO
2023-12-04 19:39:05,4,38,203,285,34,48,Youtube,DDIO
2023-12-04 19:39:09,7,29,70,146,22,54,Bing,MSFG
2023-12-04 19:39:10,8,45,94,160,37,29,Amazon,MSFG
2023-12-04 19:39:12,3,25,186,254,22,46,Youtube,MSFG
2023-12-04 19:39:16,8,29,75,165,21,69,Bing,HOA
2023-12-04 19:39:16,8,48,94,157,40,23,Amazon,HOA
2023-12-04 19:39:19,4,28,183,256,24,49,Youtube,HOA
