dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 14:46:50,89,174,416,644,85,143,Bing,Carnegie Mellon University
2023-12-04 14:46:53,124,209,301,528,85,142,Amazon,Carnegie Mellon University
2023-12-04 14:46:57,146,240,574,756,94,88,Youtube,Carnegie Mellon University
2023-12-04 14:47:03,8,97,198,642,89,355,Bing,Airbnb
2023-12-04 14:47:05,7,92,188,413,85,140,Amazon,Airbnb
2023-12-04 14:47:09,54,151,594,757,97,66,Youtube,Airbnb
2023-12-04 14:47:15,7,94,200,440,87,153,Bing,Facebook
2023-12-04 14:47:17,92,173,267,487,81,139,Amazon,Facebook
2023-12-04 14:47:21,59,152,580,735,93,62,Youtube,Facebook
2023-12-04 14:47:26,90,181,341,509,91,77,Bing,Youtube
2023-12-04 14:47:29,11,110,212,439,99,128,Amazon,Youtube
2023-12-04 14:47:33,65,162,942,1129,97,90,Youtube,Youtube
2023-12-04 14:47:39,9,92,194,368,83,91,Bing,cirtic
2023-12-04 14:47:41,8,93,191,414,85,138,Amazon,cirtic
2023-12-04 14:47:45,56,154,584,734,98,52,Youtube,cirtic
2023-12-04 14:47:50,9,100,208,384,91,85,Bing,when would there be
2023-12-04 14:47:52,13,102,199,412,89,124,Amazon,when would there be
2023-12-04 14:47:56,66,167,601,788,101,86,Youtube,when would there be
2023-12-04 14:48:02,7,91,195,429,84,150,Bing,search the map for new
2023-12-04 14:48:04,17,105,213,469,88,168,Amazon,search the map for new
2023-12-04 14:48:08,44,138,578,723,94,51,Youtube,search the map for new
2023-12-04 14:48:13,7,89,199,366,82,85,Bing,suggestions on finals
2023-12-04 14:48:17,14,98,196,429,84,149,Amazon,suggestions on finals
2023-12-04 14:48:21,51,146,567,721,95,59,Youtube,suggestions on finals
2023-12-04 14:48:26,94,179,285,507,85,137,Bing,start
2023-12-04 14:48:29,18,103,195,423,85,143,Amazon,start
2023-12-04 14:48:33,59,156,592,753,97,64,Youtube,start
2023-12-04 14:48:38,9,96,199,389,87,103,Bing,ending
