dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 14:21:59,80,118,173,411,38,200,Bing,Carnegie Mellon University
2023-12-04 14:22:01,40,99,169,344,59,116,Amazon,Carnegie Mellon University
2023-12-04 14:22:04,80,148,405,512,68,39,Youtube,Carnegie Mellon University
2023-12-04 14:22:09,29,70,127,616,41,448,Bing,Airbnb
2023-12-04 14:22:12,8,78,156,345,70,119,Amazon,Airbnb
2023-12-04 14:22:15,77,145,367,467,68,32,Youtube,Airbnb
2023-12-04 14:22:20,11,71,133,256,60,63,Bing,Facebook
2023-12-04 14:22:22,6,66,136,304,60,108,Amazon,Facebook
2023-12-04 14:22:25,53,125,339,436,72,25,Youtube,Facebook
2023-12-04 14:22:29,12,58,146,265,46,73,Bing,Youtube
2023-12-04 14:22:31,6,76,150,313,70,93,Amazon,Youtube
2023-12-04 14:22:34,70,144,545,667,74,48,Youtube,Youtube
2023-12-04 14:22:38,9,48,109,213,39,65,Bing,cirtic
2023-12-04 14:22:40,5,68,145,335,63,127,Amazon,cirtic
2023-12-04 14:22:43,71,145,407,538,74,57,Youtube,cirtic
2023-12-04 14:22:48,9,50,111,302,41,150,Bing,when would there be
2023-12-04 14:22:50,5,65,144,323,60,119,Amazon,when would there be
2023-12-04 14:22:52,48,127,441,525,79,5,Youtube,when would there be
2023-12-04 14:22:58,8,49,116,233,41,76,Bing,search the map for new
2023-12-04 14:23:00,9,68,137,306,59,110,Amazon,search the map for new
2023-12-04 14:23:02,56,129,351,444,73,20,Youtube,search the map for new
2023-12-04 14:23:07,8,51,111,244,43,90,Bing,suggestions on finals
2023-12-04 14:23:09,7,65,137,292,58,97,Amazon,suggestions on finals
2023-12-04 14:23:12,58,131,349,458,73,36,Youtube,suggestions on finals
2023-12-04 14:23:17,60,105,169,449,45,235,Bing,start
2023-12-04 14:23:19,13,85,163,317,72,82,Amazon,start
2023-12-04 14:23:22,58,128,340,428,70,18,Youtube,start
2023-12-04 14:23:27,9,52,125,233,43,65,Bing,ending
