dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 22:02:59,408,719,1051,1551,311,189,Bing,Carnegie Mellon University
2023-12-04 22:03:04,300,449,620,1172,149,403,Amazon,Carnegie Mellon University
2023-12-04 22:03:09,196,364,744,963,168,51,Youtube,Carnegie Mellon University
2023-12-04 22:03:19,10,323,651,1158,313,194,Bing,Airbnb
2023-12-04 22:03:22,6,154,312,624,148,164,Amazon,Airbnb
2023-12-04 22:03:26,50,215,589,782,165,28,Youtube,Airbnb
2023-12-04 22:03:33,503,812,1138,1656,309,209,Bing,Facebook
2023-12-04 22:03:35,8,158,319,632,150,163,Amazon,Facebook
2023-12-04 22:03:40,47,211,757,960,164,39,Youtube,Facebook
2023-12-04 22:03:49,6,6,954,1577,0,623,Bing,Youtube
2023-12-04 22:03:53,6,311,469,839,305,65,Amazon,Youtube
2023-12-04 22:04:00,442,617,1060,1468,175,233,Youtube,Youtube
2023-12-04 22:04:05,308,615,939,1436,307,190,Bing,cirtic
2023-12-04 22:04:08,8,156,316,635,148,171,Amazon,cirtic
2023-12-04 22:04:13,43,209,766,968,166,36,Youtube,cirtic
2023-12-04 22:04:19,237,541,857,1362,304,201,Bing,when would there be
2023-12-04 22:04:24,247,399,558,888,152,178,Amazon,when would there be
2023-12-04 22:04:31,58,220,1003,1203,162,38,Youtube,when would there be
2023-12-04 22:04:37,7,324,676,1317,317,324,Bing,search the map for new
2023-12-04 22:04:40,6,241,407,892,235,250,Amazon,search the map for new
2023-12-04 22:04:51,316,631,968,1473,315,190,Bing,suggestions on finals
2023-12-04 22:04:55,7,155,311,637,148,178,Amazon,suggestions on finals
2023-12-04 22:05:00,42,216,783,982,174,25,Youtube,suggestions on finals
2023-12-04 22:05:05,6,306,633,1115,300,182,Bing,start
2023-12-04 22:05:08,7,156,314,945,149,482,Amazon,start
2023-12-04 22:05:13,50,212,767,972,162,43,Youtube,start
2023-12-04 22:05:19,332,644,979,1494,312,203,Bing,ending
2023-12-04 22:05:22,6,158,320,671,152,199,Amazon,ending
2023-12-04 22:05:28,43,213,1179,1376,170,27,Youtube,ending
2023-12-04 22:05:33,7,312,633,1132,305,194,Bing,safety
2023-12-04 22:05:37,8,156,321,664,148,195,Amazon,safety
2023-12-04 22:05:42,54,218,614,840,164,62,Youtube,safety
2023-12-04 22:05:48,473,861,1401,1915,388,126,Bing,data
2023-12-04 22:05:53,499,650,908,1420,151,361,Amazon,data
2023-12-04 22:05:58,44,377,999,1426,333,94,Youtube,data
2023-12-04 22:06:04,6,347,763,1399,341,295,Bing,DDIO
2023-12-04 22:06:08,16,254,417,1078,238,423,Amazon,DDIO
2023-12-04 22:06:14,44,208,1219,1428,164,45,Youtube,DDIO
2023-12-04 22:06:20,309,619,955,1451,310,186,Bing,MSFG
2023-12-04 22:06:24,7,294,461,818,287,70,Amazon,MSFG
2023-12-04 22:06:33,252,252,1529,1747,0,218,Youtube,MSFG
2023-12-04 22:06:39,6,371,793,1446,365,288,Bing,HOA
2023-12-04 22:06:43,8,157,318,633,149,166,Amazon,HOA
