dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 18:56:16,45,145,258,500,100,142,Bing,Carnegie Mellon University
2023-12-04 18:56:21,96,161,262,422,65,95,Amazon,Carnegie Mellon University
2023-12-04 18:56:24,106,164,292,393,58,43,Youtube,Carnegie Mellon University
2023-12-04 18:56:28,7,46,126,222,39,57,Bing,Airbnb
2023-12-04 18:56:31,16,95,164,304,79,61,Amazon,Airbnb
2023-12-04 18:56:38,62,111,313,384,49,22,Youtube,Airbnb
2023-12-04 18:56:43,6,336,399,830,330,101,Bing,Facebook
2023-12-04 18:56:47,7,62,132,440,55,253,Amazon,Facebook
2023-12-04 18:56:53,52,118,301,382,66,15,Youtube,Facebook
2023-12-04 18:56:57,51,134,265,369,83,21,Bing,Youtube
2023-12-04 18:57:02,5,41,143,287,36,108,Amazon,Youtube
2023-12-04 18:57:06,54,108,229,318,54,35,Youtube,Youtube
2023-12-04 18:57:10,7,66,127,215,59,29,Bing,cirtic
2023-12-04 18:57:12,4,82,186,336,78,72,Amazon,cirtic
2023-12-04 18:57:33,4,94,198,379,90,91,Amazon,when would there be
2023-12-04 18:57:42,5,56,145,317,51,121,Bing,search the map for new
2023-12-04 18:57:53,55,129,648,970,74,248,Youtube,search the map for new
2023-12-04 18:57:58,105,162,243,625,57,325,Bing,suggestions on finals
2023-12-04 18:58:05,12,89,238,477,77,162,Amazon,suggestions on finals
2023-12-04 18:58:17,53,115,352,432,62,18,Youtube,suggestions on finals
2023-12-04 18:58:22,9,81,191,364,72,101,Bing,start
2023-12-04 18:58:26,5,77,121,336,72,143,Amazon,start
2023-12-04 18:58:39,43,82,151,380,39,190,Bing,ending
2023-12-04 18:58:43,45,129,178,322,84,60,Amazon,ending
2023-12-04 18:58:53,48,332,1461,1762,284,17,Youtube,ending
2023-12-04 18:58:58,15,92,180,338,77,81,Bing,safety
2023-12-04 18:59:06,4,82,187,321,78,56,Amazon,safety
2023-12-04 18:59:18,7,90,167,267,83,17,Bing,data
2023-12-04 18:59:27,70,108,174,295,38,83,Amazon,data
2023-12-04 18:59:32,27,73,206,308,46,56,Youtube,data
2023-12-04 18:59:37,80,173,255,484,93,136,Bing,DDIO
2023-12-04 18:59:41,91,185,258,410,94,58,Amazon,DDIO
2023-12-04 18:59:49,47,127,293,390,80,17,Youtube,DDIO
2023-12-04 18:59:54,7,77,147,635,70,418,Bing,MSFG
2023-12-04 18:59:58,9,50,103,259,41,115,Amazon,MSFG
2023-12-04 19:00:05,56,135,525,618,79,14,Youtube,MSFG
2023-12-04 19:00:10,8,45,134,248,37,77,Bing,HOA
2023-12-04 19:00:12,10,65,128,256,55,73,Amazon,HOA
2023-12-04 19:00:16,50,97,254,344,47,43,Youtube,HOA
2023-12-04 19:00:25,5,71,149,267,66,52,Amazon,FAFR
2023-12-04 19:00:38,47,47,1173,1363,0,190,Youtube,FAFR
2023-12-04 19:00:42,91,160,236,341,69,36,Bing,WieSOichDichEmpfangen
2023-12-04 19:00:45,5,57,145,296,52,99,Amazon,WieSOichDichEmpfangen
2023-12-04 19:00:59,54,135,606,827,81,140,Youtube,WieSOichDichEmpfangen
2023-12-04 19:01:03,7,101,179,288,94,15,Bing,sagmichbitte
2023-12-04 19:01:06,48,109,185,307,61,61,Amazon,sagmichbitte
2023-12-04 19:01:22,45,366,2294,2987,321,372,Youtube,sagmichbitte
2023-12-04 19:01:27,57,118,190,335,61,84,Bing,ilAuraitSuffi
2023-12-04 19:01:31,4,86,137,259,82,40,Amazon,ilAuraitSuffi
2023-12-04 19:01:47,51,142,600,959,91,268,Youtube,ilAuraitSuffi
