dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 23:15:44,39,83,172,430,44,214,Bing,Carnegie Mellon University
2023-12-04 23:15:51,150,184,228,672,34,410,Amazon,Carnegie Mellon University
2023-12-04 23:15:54,302,355,965,1038,53,20,Youtube,Carnegie Mellon University
2023-12-04 23:15:59,147,189,269,349,42,38,Bing,Airbnb
2023-12-04 23:16:02,6,43,326,469,37,106,Amazon,Airbnb
2023-12-04 23:16:05,50,88,231,317,38,48,Youtube,Airbnb
2023-12-04 23:16:09,7,44,387,471,37,47,Bing,Facebook
2023-12-04 23:16:11,6,43,92,365,37,236,Amazon,Facebook
2023-12-04 23:16:14,61,148,452,541,87,2,Youtube,Facebook
2023-12-04 23:16:18,8,44,146,570,36,388,Bing,Youtube
2023-12-04 23:16:29,6,70,177,257,64,16,Bing,cirtic
2023-12-04 23:16:30,6,40,83,254,34,137,Amazon,cirtic
2023-12-04 23:16:33,38,74,211,295,36,48,Youtube,cirtic
2023-12-04 23:16:39,4,42,89,241,38,114,Amazon,when would there be
2023-12-04 23:16:42,44,80,455,551,36,60,Youtube,when would there be
2023-12-04 23:16:46,6,68,167,246,62,17,Bing,search the map for new
2023-12-04 23:16:48,6,69,330,484,63,91,Amazon,search the map for new
2023-12-04 23:16:51,45,79,329,428,34,65,Youtube,search the map for new
2023-12-04 23:16:55,8,43,137,218,35,46,Bing,suggestions on finals
2023-12-04 23:16:57,8,49,191,321,41,89,Amazon,suggestions on finals
2023-12-04 23:17:00,53,121,289,525,68,168,Youtube,suggestions on finals
2023-12-04 23:17:04,6,70,187,266,64,15,Bing,start
2023-12-04 23:17:07,85,130,245,362,45,72,Amazon,start
2023-12-04 23:17:10,55,93,472,559,38,49,Youtube,start
2023-12-04 23:17:14,351,388,465,747,37,245,Bing,ending
2023-12-04 23:17:24,69,135,289,367,66,12,Bing,safety
2023-12-04 23:17:26,6,41,84,234,35,115,Amazon,safety
2023-12-04 23:17:33,8,49,171,265,41,53,Bing,data
2023-12-04 23:17:35,10,67,111,241,57,73,Amazon,data
2023-12-04 23:17:43,267,303,380,467,36,51,Bing,DDIO
2023-12-04 23:17:52,8,42,123,349,34,192,Bing,MSFG
2023-12-04 23:17:57,41,80,252,345,39,54,Youtube,MSFG
2023-12-04 23:18:01,4,38,168,326,34,124,Bing,HOA
2023-12-04 23:18:04,7,68,112,267,61,94,Amazon,HOA
2023-12-04 23:18:08,62,95,484,553,33,36,Youtube,HOA
2023-12-04 23:18:12,245,280,359,440,35,46,Bing,FAFR
2023-12-04 23:18:14,8,41,86,365,33,246,Amazon,FAFR
2023-12-04 23:18:17,193,238,534,807,45,228,Youtube,FAFR
2023-12-04 23:18:22,8,66,368,453,58,27,Bing,WieSOichDichEmpfangen
2023-12-04 23:18:23,3,40,85,383,37,261,Amazon,WieSOichDichEmpfangen
2023-12-04 23:18:28,43,173,374,649,130,145,Youtube,WieSOichDichEmpfangen
2023-12-04 23:18:33,41,81,260,363,40,63,Bing,sagmichbitte
2023-12-04 23:18:34,4,40,93,251,36,122,Amazon,sagmichbitte
2023-12-04 23:18:37,40,103,302,577,63,212,Youtube,sagmichbitte
2023-12-04 23:18:41,6,43,120,197,37,40,Bing,ilAuraitSuffi
2023-12-04 23:18:43,5,55,313,465,50,102,Amazon,ilAuraitSuffi
2023-12-04 23:18:46,30,281,491,766,251,24,Youtube,ilAuraitSuffi
2023-12-04 23:19:00,47,81,225,304,34,45,Bing,Carnegie Mellon University
2023-12-04 23:19:02,6,46,89,299,40,170,Amazon,Carnegie Mellon University
2023-12-04 23:19:05,49,103,267,339,54,18,Youtube,Carnegie Mellon University
2023-12-04 23:19:09,7,43,217,320,36,67,Bing,Airbnb
2023-12-04 23:19:12,4,39,80,498,35,383,Amazon,Airbnb
2023-12-04 23:19:14,48,82,258,528,34,236,Youtube,Airbnb
2023-12-04 23:19:19,50,83,165,243,33,45,Bing,Facebook
2023-12-04 23:19:20,5,40,86,203,35,82,Amazon,Facebook
2023-12-04 23:19:27,7,41,391,475,34,50,Bing,Youtube
2023-12-04 23:19:29,5,39,305,425,34,86,Amazon,Youtube
2023-12-04 23:19:32,45,171,360,658,126,172,Youtube,Youtube
2023-12-04 23:19:41,39,244,444,716,205,67,Youtube,cirtic
2023-12-04 23:19:48,40,70,114,349,30,205,Amazon,when would there be
2023-12-04 23:19:51,40,156,329,506,116,61,Youtube,when would there be
2023-12-04 23:19:57,4,41,84,416,37,295,Amazon,search the map for new
2023-12-04 23:20:01,42,223,420,767,181,166,Youtube,search the map for new
2023-12-04 23:20:04,6,42,134,210,36,40,Bing,suggestions on finals
2023-12-04 23:20:09,40,100,473,582,60,49,Youtube,suggestions on finals
2023-12-04 23:20:16,5,63,106,386,58,222,Amazon,start
2023-12-04 23:20:19,46,81,490,576,35,51,Youtube,start
2023-12-04 23:20:24,6,44,127,244,38,79,Bing,ending
2023-12-04 23:20:26,6,40,83,212,34,95,Amazon,ending
2023-12-04 23:20:29,40,82,278,363,42,43,Youtube,ending
2023-12-04 23:20:33,7,43,147,226,36,43,Bing,safety
2023-12-04 23:20:35,6,40,87,297,34,176,Amazon,safety
2023-12-04 23:20:42,41,80,166,247,39,42,Bing,data
2023-12-04 23:20:44,7,40,104,312,33,175,Amazon,data
2023-12-04 23:20:47,44,90,283,347,46,18,Youtube,data
2023-12-04 23:20:51,7,86,187,468,79,202,Bing,DDIO
2023-12-04 23:20:56,7,56,126,310,49,135,Amazon,DDIO
2023-12-04 23:20:58,56,97,270,352,41,41,Youtube,DDIO
2023-12-04 23:21:02,71,104,182,265,33,50,Bing,MSFG
2023-12-04 23:21:04,42,74,118,236,32,86,Amazon,MSFG
2023-12-04 23:21:06,103,140,321,388,37,30,Youtube,MSFG
2023-12-04 23:21:10,7,44,132,215,37,46,Bing,HOA
2023-12-04 23:21:11,13,50,93,220,37,90,Amazon,HOA
2023-12-04 23:21:13,51,89,255,323,38,30,Youtube,HOA
2023-12-04 23:21:17,7,42,119,203,35,49,Bing,FAFR
2023-12-04 23:21:19,5,38,80,195,33,82,Amazon,FAFR
2023-12-04 23:21:21,45,90,333,409,45,31,Youtube,FAFR
2023-12-04 23:21:25,7,47,123,203,40,40,Bing,WieSOichDichEmpfangen
2023-12-04 23:21:26,8,63,113,233,55,65,Amazon,WieSOichDichEmpfangen
2023-12-04 23:21:28,42,79,240,308,37,31,Youtube,WieSOichDichEmpfangen
2023-12-04 23:21:32,7,40,128,207,33,46,Bing,sagmichbitte
2023-12-04 23:21:33,5,39,88,210,34,88,Amazon,sagmichbitte
2023-12-04 23:21:35,48,85,289,356,37,30,Youtube,sagmichbitte
2023-12-04 23:21:39,10,49,126,209,39,44,Bing,ilAuraitSuffi
2023-12-04 23:21:41,6,41,85,205,35,85,Amazon,ilAuraitSuffi
2023-12-04 23:21:44,57,96,546,609,39,24,Youtube,ilAuraitSuffi
2023-12-04 23:21:58,4,38,125,204,34,45,Bing,Carnegie Mellon University
2023-12-04 23:22:01,46,83,126,253,37,90,Amazon,Carnegie Mellon University
2023-12-04 23:22:03,44,84,260,334,40,34,Youtube,Carnegie Mellon University
2023-12-04 23:22:08,8,43,136,221,35,50,Bing,Airbnb
2023-12-04 23:22:11,27,64,125,524,37,362,Amazon,Airbnb
2023-12-04 23:22:14,59,104,300,603,45,258,Youtube,Airbnb
2023-12-04 23:22:19,254,313,393,475,59,23,Bing,Facebook
2023-12-04 23:22:22,38,74,342,455,36,77,Amazon,Facebook
2023-12-04 23:22:25,57,108,509,571,51,11,Youtube,Facebook
2023-12-04 23:22:29,39,74,365,446,35,46,Bing,Youtube
2023-12-04 23:22:31,11,49,98,437,38,301,Amazon,Youtube
2023-12-04 23:22:34,48,82,491,565,34,40,Youtube,Youtube
2023-12-04 23:22:44,54,92,335,428,38,55,Youtube,cirtic
