dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 19:19:41,33,55,106,191,22,63,Bing,Carnegie Mellon University
2023-12-04 19:19:43,30,51,86,204,21,97,Amazon,Carnegie Mellon University
2023-12-04 19:19:46,92,115,266,631,23,342,Youtube,Carnegie Mellon University
2023-12-04 19:19:51,10,32,89,189,22,78,Bing,Airbnb
2023-12-04 19:19:54,22,44,78,180,22,80,Amazon,Airbnb
2023-12-04 19:19:58,60,85,510,584,25,49,Youtube,Airbnb
2023-12-04 19:20:05,8,30,180,1268,22,1066,Bing,Facebook
2023-12-04 19:20:08,52,104,139,236,52,45,Amazon,Facebook
2023-12-04 19:20:11,63,86,272,368,23,73,Youtube,Facebook
2023-12-04 19:20:16,6,27,310,393,21,62,Bing,Youtube
2023-12-04 19:20:23,61,83,245,318,22,51,Youtube,Youtube
2023-12-04 19:20:28,9,29,79,240,20,141,Bing,cirtic
2023-12-04 19:20:36,54,76,233,297,22,42,Youtube,cirtic
2023-12-04 19:20:44,11,41,1422,1509,30,57,Bing,when would there be
2023-12-04 19:20:46,5,26,55,153,21,77,Amazon,when would there be
2023-12-04 19:20:50,62,86,250,321,24,47,Youtube,when would there be
2023-12-04 19:20:55,6,30,87,173,24,62,Bing,search the map for new
2023-12-04 19:20:59,26,53,89,219,27,103,Amazon,search the map for new
2023-12-04 19:21:02,83,110,265,327,27,35,Youtube,search the map for new
2023-12-04 19:21:07,27,52,105,201,25,71,Bing,suggestions on finals
2023-12-04 19:21:11,6,30,99,204,24,81,Amazon,suggestions on finals
2023-12-04 19:21:16,68,93,263,332,25,44,Youtube,suggestions on finals
2023-12-04 19:21:21,17,40,93,178,23,62,Bing,start
2023-12-04 19:21:25,13,39,72,166,26,68,Amazon,start
2023-12-04 19:21:33,50,74,233,642,24,385,Youtube,start
2023-12-04 19:21:37,7,32,87,171,25,59,Bing,ending
2023-12-04 19:21:40,6,32,62,156,26,68,Amazon,ending
2023-12-04 19:21:42,49,71,243,311,22,46,Youtube,ending
2023-12-04 19:21:47,6,28,76,146,22,48,Bing,safety
2023-12-04 19:21:54,13,34,66,178,21,91,Amazon,safety
2023-12-04 19:21:58,55,81,215,282,26,41,Youtube,safety
2023-12-04 19:22:03,9,31,88,154,22,44,Bing,data
