dateTime,connectStart,secureConnectionStart,requestStart,responseStart,networkTime,serverTime,service site,searching string
2023-12-04 13:19:55,26,49,101,184,23,60,Bing,Carnegie Mellon University
2023-12-04 13:19:57,59,100,150,292,41,101,Amazon,Carnegie Mellon University
2023-12-04 13:19:59,46,71,184,257,25,48,Youtube,Carnegie Mellon University
2023-12-04 13:19:59,0,0,6,94,0,88,Bing,Airbnb
2023-12-04 13:20:01,2,2,6,113,0,107,Amazon,Airbnb
2023-12-04 13:20:02,155,155,155,155,0,0,Youtube,Airbnb
2023-12-04 13:20:03,1,1,4,86,0,82,Bing,Facebook
2023-12-04 13:20:04,1,1,5,153,0,148,Amazon,Facebook
2023-12-04 13:20:05,152,152,152,152,0,0,Youtube,Facebook
2023-12-04 13:20:06,27,27,32,121,0,89,Bing,Youtube
2023-12-04 13:20:08,2,2,6,102,0,96,Amazon,Youtube
2023-12-04 13:20:10,151,151,151,151,0,0,Youtube,Youtube
2023-12-04 13:20:11,36,36,41,184,0,143,Bing,cirtic
2023-12-04 13:20:12,3,3,7,106,0,99,Amazon,cirtic
2023-12-04 13:20:13,118,118,118,118,0,0,Youtube,cirtic
2023-12-04 13:20:14,0,0,7,93,0,86,Bing,when would there be
2023-12-04 13:20:15,4,4,8,110,0,102,Amazon,when would there be
2023-12-04 13:20:18,142,142,142,142,0,0,Youtube,when would there be
2023-12-04 13:20:19,22,22,28,118,0,90,Bing,search the map for new
2023-12-04 13:20:20,3,3,8,135,0,127,Amazon,search the map for new
2023-12-04 13:20:21,138,138,138,138,0,0,Youtube,search the map for new
2023-12-04 13:20:22,0,0,4,87,0,83,Bing,suggestions on finals
2023-12-04 13:20:23,1,1,4,100,0,96,Amazon,suggestions on finals
2023-12-04 13:20:25,154,154,154,154,0,0,Youtube,suggestions on finals
2023-12-04 13:20:25,0,0,4,96,0,92,Bing,start
2023-12-04 13:20:28,1,1,6,104,0,98,Amazon,start
2023-12-04 13:20:29,266,266,266,266,0,0,Youtube,start
2023-12-04 13:20:30,1,1,4,85,0,81,Bing,ending
2023-12-04 13:20:32,2,2,6,110,0,104,Amazon,ending
2023-12-04 13:20:33,139,139,139,139,0,0,Youtube,ending
2023-12-04 13:20:34,1,1,4,88,0,84,Bing,safety
2023-12-04 13:20:35,0,0,5,97,0,92,Amazon,safety
2023-12-04 13:20:36,159,159,159,159,0,0,Youtube,safety
2023-12-04 13:20:37,0,0,3,92,0,89,Bing,data
2023-12-04 13:20:38,1,1,4,101,0,97,Amazon,data
2023-12-04 13:20:40,157,157,157,157,0,0,Youtube,data
2023-12-04 13:20:40,1,1,3,88,0,85,Bing,DDIO
2023-12-04 13:20:41,1,1,5,217,0,212,Amazon,DDIO
2023-12-04 13:20:43,138,138,138,138,0,0,Youtube,DDIO
2023-12-04 13:20:43,1,1,4,97,0,93,Bing,MSFG
2023-12-04 13:20:44,1,1,6,106,0,100,Amazon,MSFG
2023-12-04 13:20:45,138,138,138,138,0,0,Youtube,MSFG
2023-12-04 13:20:46,1,1,5,89,0,84,Bing,HOA
2023-12-04 13:20:48,1,1,7,102,0,95,Amazon,HOA
2023-12-04 13:20:51,144,144,144,144,0,0,Youtube,HOA
2023-12-04 13:20:52,40,40,43,125,0,82,Bing,FAFR
2023-12-04 13:20:53,0,0,7,97,0,90,Amazon,FAFR
2023-12-04 13:20:54,159,159,159,159,0,0,Youtube,FAFR
2023-12-04 13:20:55,1,1,5,99,0,94,Bing,WieSOichDichEmpfangen
2023-12-04 13:20:56,3,3,5,104,0,99,Amazon,WieSOichDichEmpfangen
2023-12-04 13:20:59,141,141,141,141,0,0,Youtube,WieSOichDichEmpfangen
2023-12-04 13:20:59,26,26,29,113,0,84,Bing,sagmichbitte
2023-12-04 13:21:00,2,2,6,108,0,102,Amazon,sagmichbitte
2023-12-04 13:21:02,121,121,121,121,0,0,Youtube,sagmichbitte
2023-12-04 13:21:03,24,24,27,159,0,132,Bing,ilAuraitSuffi
2023-12-04 13:21:03,1,1,4,105,0,101,Amazon,ilAuraitSuffi
2023-12-04 13:21:05,119,119,119,119,0,0,Youtube,ilAuraitSuffi
2023-12-04 13:21:19,8,29,89,177,21,67,Bing,Carnegie Mellon University
2023-12-04 13:21:21,9,64,125,272,55,92,Amazon,Carnegie Mellon University
2023-12-04 13:21:23,76,105,245,312,29,38,Youtube,Carnegie Mellon University
2023-12-04 13:21:24,37,37,43,124,0,81,Bing,Airbnb
2023-12-04 13:21:26,1,1,5,126,0,121,Amazon,Airbnb
2023-12-04 13:21:27,140,140,140,140,0,0,Youtube,Airbnb
2023-12-04 13:21:28,1,1,7,88,0,81,Bing,Facebook
2023-12-04 13:21:29,1,1,6,105,0,99,Amazon,Facebook
2023-12-04 13:21:30,148,148,148,148,0,0,Youtube,Facebook
2023-12-04 13:21:31,37,37,45,128,0,83,Bing,Youtube
2023-12-04 13:21:32,0,0,5,101,0,96,Amazon,Youtube
2023-12-04 13:21:34,174,174,174,174,0,0,Youtube,Youtube
2023-12-04 13:21:35,31,31,38,123,0,85,Bing,cirtic
2023-12-04 13:21:35,1,1,5,105,0,100,Amazon,cirtic
2023-12-04 13:21:37,132,132,132,132,0,0,Youtube,cirtic
2023-12-04 13:21:37,21,21,27,108,0,81,Bing,when would there be
2023-12-04 13:21:38,1,1,6,104,0,98,Amazon,when would there be
2023-12-04 13:21:40,368,368,368,368,0,0,Youtube,when would there be
2023-12-04 13:21:41,30,30,34,268,0,234,Bing,search the map for new
2023-12-04 13:21:42,2,2,5,100,0,95,Amazon,search the map for new
2023-12-04 13:21:44,339,339,339,339,0,0,Youtube,search the map for new
2023-12-04 13:21:45,1,1,6,309,0,303,Bing,suggestions on finals
2023-12-04 13:21:46,0,0,8,190,0,182,Amazon,suggestions on finals
2023-12-04 13:21:50,131,131,131,131,0,0,Youtube,suggestions on finals
2023-12-04 13:21:50,43,43,47,130,0,83,Bing,start
